player,nationality,position,age,club,league,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Júnior Santos,BRA,FW,28,Botafogo (RJ),Brazilian League,24.0,1142.0,27.0,122.0,477.0,572.0,94.0,1142.0,158.0,75.0,47.5,70.0,44.3,770.0,6579.0,3433.0,121.0,87.0,32.0,82.0,45.0,857.0,207.0
João Victor Santos Sá,BRA,FW,28,Botafogo (RJ),Brazilian League,23.6,1043.0,16.0,144.0,450.0,459.0,86.0,1043.0,72.0,32.0,44.4,31.0,43.1,620.0,3983.0,2035.0,73.0,37.0,34.0,41.0,23.0,719.0,226.0
Leonel Di Plácido,ARG,DF,29,Botafogo (RJ),Brazilian League,26.2,1636.0,76.0,470.0,786.0,405.0,22.0,1636.0,65.0,33.0,50.8,23.0,35.4,781.0,4014.0,2258.0,57.0,34.0,8.0,23.0,9.0,829.0,84.0
Fernando Marçal,BRA,DF,33,Botafogo (RJ),Brazilian League,18.1,1249.0,61.0,346.0,580.0,339.0,10.0,1249.0,23.0,10.0,43.5,11.0,47.8,563.0,2426.0,1234.0,17.0,19.0,1.0,10.0,5.0,631.0,64.0
Hugo,BRA,DF,21,Botafogo (RJ),Brazilian League,15.5,997.0,38.0,248.0,470.0,286.0,14.0,997.0,32.0,14.0,43.8,16.0,50.0,450.0,2487.0,1490.0,36.0,24.0,2.0,27.0,5.0,506.0,75.0
Luis Henrique,BRA,"FW,MF",21,Botafogo (RJ),Brazilian League,15.3,785.0,8.0,108.0,343.0,359.0,37.0,785.0,78.0,46.0,59.0,27.0,34.6,505.0,4050.0,1954.0,59.0,42.0,20.0,34.0,19.0,580.0,146.0
Danilo Barbosa,BRA,"MF,DF",26,Botafogo (RJ),Brazilian League,11.2,610.0,52.0,183.0,362.0,72.0,12.0,610.0,24.0,13.0,54.2,6.0,25.0,318.0,1588.0,758.0,14.0,7.0,2.0,12.0,17.0,362.0,7.0
Gabriel,BRA,MF,29,Botafogo (RJ),Brazilian League,9.6,664.0,18.0,121.0,403.0,147.0,16.0,664.0,24.0,12.0,50.0,11.0,45.8,365.0,1784.0,789.0,11.0,12.0,1.0,19.0,17.0,452.0,29.0
Rafael,BRA,DF,32,Botafogo (RJ),Brazilian League,5.4,308.0,18.0,97.0,153.0,66.0,2.0,308.0,14.0,12.0,85.7,2.0,14.3,125.0,861.0,432.0,12.0,6.0,1.0,6.0,1.0,131.0,4.0
Lucas Fernandes,BRA,MF,25,Botafogo (RJ),Brazilian League,5.3,313.0,5.0,45.0,167.0,106.0,13.0,313.0,14.0,5.0,35.7,5.0,35.7,179.0,1232.0,529.0,14.0,8.0,3.0,12.0,5.0,216.0,27.0
