player,nationality,position,age,club,league,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Josué,BRA,MF,17.0,Grêmio,Brazilian League,1.3,2.0,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,6,8.0,5.0,0.0
Brenno,BRA,GK,23.0,Grêmio,Brazilian League,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Wesley,BRA,DF,19.0,Grêmio,Brazilian League,1.0,3.0,2,2.0,1.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,1,4.0,0.0,1.0
Juan Iturbe,PAR,"FW,MF",29.0,Grêmio,Brazilian League,0.8,5.0,5,4.0,1.0,0.0,2.0,5.0,40.0,3.0,1.0,0.0,1.0,2,7.0,3.0,0.0
Luan Vieira,BRA,"FW,MF",29.0,Grêmio,Brazilian League,0.6,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0,1.0,0.0,0.0
Darlan Mendes,BRA,MF,24.0,Grêmio,Brazilian League,0.5,2.0,1,2.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0,2.0,1.0,0.0
Gustavinho,BRA,"FW,MF",21.0,Grêmio,Brazilian League,0.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Freddy Noguera,PAR,FW,19.0,Grêmio,Brazilian League,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Nata,BRA,"FW,DF",21.0,Grêmio,Brazilian League,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
Lian,BRA,MF,17.0,Grêmio,Brazilian League,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
