player,nationality,position,age,club,league,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Skelly Alvero,FRA,MF,21.0,Lyon,Ligue 1,4.7,8.0,7,5.0,2.0,1.0,2.0,9.0,22.2,7.0,5.0,1.0,4.0,2,10.0,5.0,0.0
Gift Orban,NGA,FW,21.0,Lyon,Ligue 1,5.3,4.0,3,0.0,1.0,3.0,1.0,4.0,25.0,3.0,2.0,0.0,2.0,1,5.0,2.0,1.0
Malick Fofana,BEL,FW,18.0,Lyon,Ligue 1,6.2,5.0,4,3.0,1.0,1.0,4.0,9.0,44.4,5.0,3.0,0.0,3.0,5,10.0,9.0,0.0
Mama Samba Baldé,GNB,"FW,MF",27.0,Lyon,Ligue 1,6.1,8.0,5,1.0,2.0,5.0,3.0,9.0,33.3,6.0,0.0,0.0,0.0,3,11.0,1.0,1.0
Orel Mangala,BEL,MF,25.0,Lyon,Ligue 1,4.4,5.0,3,0.0,2.0,3.0,1.0,3.0,33.3,2.0,3.0,2.0,1.0,5,10.0,6.0,0.0
Mahamadou Diawara,FRA,MF,18.0,Lyon,Ligue 1,4.0,9.0,6,4.0,5.0,0.0,3.0,11.0,27.3,8.0,4.0,1.0,3.0,4,13.0,4.0,0.0
Paul Akouokou,CIV,MF,25.0,Lyon,Ligue 1,3.4,14.0,9,2.0,10.0,2.0,6.0,7.0,85.7,1.0,5.0,1.0,4.0,6,20.0,11.0,0.0
Diego Moreira,POR,"FW,MF",18.0,Lyon,Ligue 1,3.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,2,2.0,5.0,0.0
Jeffinho,BRA,"FW,MF",23.0,Lyon,Ligue 1,3.4,11.0,4,3.0,5.0,3.0,4.0,11.0,36.4,7.0,1.0,0.0,1.0,0,11.0,0.0,0.0
Bradley Barcola,FRA,FW,20.0,Lyon,Ligue 1,3.0,5.0,2,0.0,2.0,3.0,1.0,7.0,14.3,6.0,4.0,0.0,4.0,2,7.0,0.0,0.0
Rémy Riou,FRA,GK,35.0,Lyon,Ligue 1,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,1.0
Tino Kadewere,ZIM,"FW,MF",27.0,Lyon,Ligue 1,3.3,1.0,1,0.0,1.0,0.0,1.0,5.0,20.0,4.0,3.0,1.0,2.0,5,6.0,7.0,0.0
Johann Lepenant,FRA,MF,20.0,Lyon,Ligue 1,2.8,4.0,3,2.0,2.0,0.0,1.0,8.0,12.5,7.0,5.0,0.0,5.0,4,8.0,0.0,0.0
Amin Sarr,SWE,"FW,MF",22.0,Lyon,Ligue 1,1.1,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,1.0,0.0
Chaim El Djebali,TUN,MF,19.0,Lyon,Ligue 1,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Mamadou Sarr,FRA,DF,17.0,Lyon,Ligue 1,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Adryelson,BRA,"DF,FW",25.0,Lyon,Ligue 1,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3.0,0.0
Mohamed El Arouch,FRA,FW,19.0,Lyon,Ligue 1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Brice Samba,FRA,GK,29.0,Lens,Ligue 1,33.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,10.0,3.0
Facundo Medina,ARG,DF,24.0,Lens,Ligue 1,30.2,64.0,38,25.0,31.0,8.0,44.0,69.0,63.8,25.0,38.0,13.0,25.0,24,88.0,59.0,2.0
Kevin Danso,AUT,DF,24.0,Lens,Ligue 1,29.5,24.0,14,12.0,11.0,1.0,15.0,30.0,50.0,15.0,43.0,30.0,13.0,23,47.0,115.0,1.0
Florian Sotoca,FRA,"MF,FW",32.0,Lens,Ligue 1,28.9,33.0,22,9.0,21.0,3.0,17.0,38.0,44.7,21.0,41.0,4.0,37.0,20,53.0,34.0,0.0
Jonathan Gradit,FRA,DF,30.0,Lens,Ligue 1,23.5,32.0,20,15.0,14.0,3.0,19.0,35.0,54.3,16.0,30.0,17.0,13.0,37,69.0,61.0,0.0
Przemysław Frankowski,POL,DF,28.0,Lens,Ligue 1,24.4,60.0,39,25.0,26.0,9.0,31.0,74.0,41.9,43.0,30.0,7.0,23.0,25,85.0,36.0,0.0
Ruben Aguilar,FRA,DF,30.0,Lens,Ligue 1,21.4,53.0,31,27.0,23.0,3.0,27.0,45.0,60.0,18.0,35.0,5.0,30.0,26,79.0,46.0,0.0
Elye Wahi,FRA,FW,20.0,Lens,Ligue 1,18.8,6.0,4,1.0,3.0,2.0,2.0,10.0,20.0,8.0,5.0,1.0,4.0,3,9.0,3.0,0.0
Neil El Aynaoui,FRA,MF,22.0,Lens,Ligue 1,17.4,37.0,20,13.0,20.0,4.0,20.0,46.0,43.5,26.0,20.0,6.0,14.0,32,69.0,21.0,1.0
Salis Abdul Samed,GHA,MF,23.0,Lens,Ligue 1,16.9,21.0,14,8.0,10.0,3.0,8.0,18.0,44.4,10.0,12.0,1.0,11.0,12,33.0,18.0,0.0
David Pereira da Costa,POR,MF,22.0,Lens,Ligue 1,16.6,18.0,10,5.0,12.0,1.0,10.0,23.0,43.5,13.0,21.0,4.0,17.0,16,34.0,8.0,1.0
Angelo Fulgini,FRA,MF,26.0,Lens,Ligue 1,15.3,23.0,14,6.0,13.0,4.0,11.0,19.0,57.9,8.0,22.0,1.0,21.0,8,31.0,11.0,0.0
Andy Diouf,FRA,MF,20.0,Lens,Ligue 1,14.6,28.0,19,12.0,11.0,5.0,14.0,22.0,63.6,8.0,13.0,3.0,10.0,3,31.0,5.0,1.0
Adrien Thomasson,FRA,MF,29.0,Lens,Ligue 1,13.3,25.0,14,4.0,16.0,5.0,11.0,34.0,32.4,23.0,14.0,0.0,14.0,9,34.0,10.0,1.0
Deiver Machado,COL,DF,29.0,Lens,Ligue 1,12.5,24.0,18,10.0,10.0,4.0,15.0,20.0,75.0,5.0,13.0,2.0,11.0,7,31.0,8.0,0.0
Nampalys Mendy,SEN,MF,31.0,Lens,Ligue 1,11.7,29.0,18,10.0,13.0,6.0,16.0,20.0,80.0,4.0,11.0,4.0,7.0,14,43.0,14.0,1.0
Wesley Saïd,FRA,"FW,MF",28.0,Lens,Ligue 1,11.3,8.0,4,1.0,2.0,5.0,2.0,9.0,22.2,7.0,4.0,0.0,4.0,4,12.0,3.0,0.0
Abduqodir Xusanov,UZB,DF,19.0,Lens,Ligue 1,9.0,21.0,12,13.0,8.0,0.0,9.0,17.0,52.9,8.0,13.0,8.0,5.0,13,34.0,32.0,2.0
Massadio Haïdara,MLI,DF,30.0,Lens,Ligue 1,8.2,9.0,8,5.0,3.0,1.0,4.0,6.0,66.7,2.0,7.0,2.0,5.0,11,20.0,32.0,3.0
Jhoanner Chávez,ECU,DF,21.0,Lens,Ligue 1,5.3,6.0,5,2.0,2.0,2.0,3.0,9.0,33.3,6.0,2.0,0.0,2.0,5,11.0,11.0,0.0
Morgan Guilavogui,GUI,"FW,MF",25.0,Lens,Ligue 1,6.3,21.0,10,4.0,12.0,5.0,5.0,11.0,45.5,6.0,11.0,2.0,9.0,4,25.0,7.0,0.0
Stijn Spierings,NED,MF,27.0,Lens,Ligue 1,1.3,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0,2,3.0,1.0,0.0
Jean-Louis Leca,FRA,GK,37.0,Lens,Ligue 1,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
Faitout Maouassa,FRA,"MF,DF",25.0,Lens,Ligue 1,0.8,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0,1.0,3.0,0.0
Ayanda Sishuba,BEL,"MF,FW",18.0,Lens,Ligue 1,0.7,3.0,1,0.0,2.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0,3.0,0.0,0.0
Julien Le Cardinal,FRA,DF,25.0,Lens,Ligue 1,0.6,6.0,2,4.0,2.0,0.0,4.0,9.0,44.4,5.0,2.0,1.0,1.0,0,6.0,0.0,0.0
Oscar Cortés,COL,"FW,MF",19.0,Lens,Ligue 1,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0
Pau López,ESP,GK,28.0,Marseille,Ligue 1,32.7,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,10.0,1.0
Pierre-Emerick Aubameyang,GAB,FW,34.0,Marseille,Ligue 1,29.1,22.0,14,4.0,11.0,7.0,7.0,26.0,26.9,19.0,30.0,5.0,25.0,9,31.0,26.0,0.0
Leonardo Balerdi,ARG,DF,24.0,Marseille,Ligue 1,25.2,79.0,50,55.0,23.0,1.0,49.0,67.0,73.1,18.0,38.0,15.0,23.0,51,130.0,91.0,0.0
Chancel Mbemba,COD,DF,28.0,Marseille,Ligue 1,24.5,33.0,21,25.0,7.0,1.0,17.0,30.0,56.7,13.0,21.0,13.0,8.0,13,46.0,95.0,1.0
Jonathan Clauss,FRA,DF,30.0,Marseille,Ligue 1,23.0,47.0,20,22.0,19.0,6.0,26.0,49.0,53.1,23.0,17.0,3.0,14.0,36,83.0,46.0,0.0
Jordan Veretout,FRA,MF,30.0,Marseille,Ligue 1,24.3,38.0,22,19.0,13.0,6.0,18.0,39.0,46.2,21.0,20.0,4.0,16.0,13,51.0,25.0,0.0
Amine Harit,MAR,"MF,FW",26.0,Marseille,Ligue 1,20.2,28.0,16,8.0,17.0,3.0,13.0,37.0,35.1,24.0,31.0,4.0,27.0,12,40.0,4.0,0.0
Samuel Gigot,FRA,DF,29.0,Marseille,Ligue 1,19.2,33.0,22,16.0,13.0,4.0,13.0,19.0,68.4,6.0,28.0,18.0,10.0,25,58.0,93.0,1.0
Iliman Ndiaye,SEN,"FW,MF",23.0,Marseille,Ligue 1,18.0,21.0,18,5.0,11.0,5.0,11.0,29.0,37.9,18.0,14.0,2.0,12.0,6,27.0,6.0,0.0
Geoffrey Kondogbia,CTA,MF,30.0,Marseille,Ligue 1,16.3,48.0,31,18.0,25.0,5.0,13.0,32.0,40.6,19.0,21.0,4.0,17.0,30,78.0,25.0,0.0
Ismaila Sarr,SEN,"FW,MF",25.0,Marseille,Ligue 1,16.1,14.0,8,2.0,10.0,2.0,6.0,17.0,35.3,11.0,21.0,6.0,15.0,13,27.0,11.0,0.0
Azzedine Ounahi,MAR,MF,23.0,Marseille,Ligue 1,13.4,25.0,11,9.0,14.0,2.0,11.0,32.0,34.4,21.0,6.0,1.0,5.0,11,36.0,8.0,0.0
Renan Lodi,BRA,DF,25.0,Marseille,Ligue 1,13.7,24.0,16,8.0,13.0,3.0,13.0,21.0,61.9,8.0,7.0,2.0,5.0,16,40.0,35.0,0.0
Michael Amir Murillo,PAN,DF,27.0,Marseille,Ligue 1,11.1,23.0,11,13.0,6.0,4.0,15.0,23.0,65.2,8.0,9.0,2.0,7.0,11,34.0,34.0,2.0
Vitinha,POR,FW,23.0,Marseille,Ligue 1,10.3,14.0,8,3.0,5.0,6.0,3.0,12.0,25.0,9.0,11.0,2.0,9.0,5,19.0,8.0,0.0
Ulisses Garcia,SUI,DF,27.0,Marseille,Ligue 1,10.1,21.0,16,6.0,13.0,2.0,13.0,20.0,65.0,7.0,8.0,3.0,5.0,7,28.0,13.0,2.0
Valentin Rongier,FRA,MF,28.0,Marseille,Ligue 1,9.5,23.0,12,9.0,12.0,2.0,14.0,26.0,53.8,12.0,16.0,4.0,12.0,15,38.0,18.0,0.0
Pape Gueye,SEN,"MF,DF",24.0,Marseille,Ligue 1,8.5,33.0,21,11.0,19.0,3.0,13.0,19.0,68.4,6.0,17.0,3.0,14.0,13,46.0,12.0,0.0
Luis Henrique,BRA,"FW,DF",21.0,Marseille,Ligue 1,8.7,8.0,7,4.0,1.0,3.0,4.0,7.0,57.1,3.0,9.0,0.0,9.0,8,16.0,3.0,0.0
Quentin Merlin,FRA,DF,21.0,Marseille,Ligue 1,7.8,13.0,12,7.0,5.0,1.0,8.0,20.0,40.0,12.0,4.0,0.0,4.0,6,19.0,14.0,0.0
Bamo Meïté,CIV,DF,21.0,Marseille,Ligue 1,7.1,16.0,10,13.0,3.0,0.0,8.0,12.0,66.7,4.0,11.0,5.0,6.0,11,27.0,35.0,0.0
Joaquín Correa,ARG,"FW,MF",28.0,Marseille,Ligue 1,4.8,7.0,5,4.0,2.0,1.0,0.0,8.0,0.0,8.0,2.0,0.0,2.0,1,8.0,1.0,0.0
Jean Onana,CMR,MF,23.0,Marseille,Ligue 1,6.3,23.0,14,6.0,14.0,3.0,13.0,25.0,52.0,12.0,10.0,2.0,8.0,11,34.0,11.0,1.0
Faris Pemi Moumbagna,CMR,FW,23.0,Marseille,Ligue 1,6.1,2.0,1,0.0,2.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,4.0,3,5.0,1.0,0.0
François Mughe,CMR,"MF,DF",19.0,Marseille,Ligue 1,2.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,1,1.0,1.0,0.0
Rubén Blanco,ESP,GK,28.0,Marseille,Ligue 1,1.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Bilal Nadir,FRA,"MF,FW",19.0,Marseille,Ligue 1,1.3,4.0,3,2.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,2,6.0,2.0,0.0
Emran Soglo,ENG,"MF,DF",18.0,Marseille,Ligue 1,1.2,2.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,6.0,0.0,6.0,1,3.0,3.0,0.0
Raimane Daou,COM,"DF,MF",18.0,Marseille,Ligue 1,0.3,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,1.0,2.0,0.0
Mattéo Guendouzi,FRA,MF,24.0,Marseille,Ligue 1,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0
Sofiane Sidi Ali,FRA,MF,28.0,Marseille,Ligue 1,0.2,2.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,2,4.0,0.0,0.0
Keyliane Abdallah,FRA,FW,17.0,Marseille,Ligue 1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Noam Mayoka-Tika,BEL,MF,19.0,Marseille,Ligue 1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Yehvann Diouf,FRA,GK,23.0,Reims,Ligue 1,34.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.0,19.0,3.0
Yunis Abdelhamid,MAR,DF,35.0,Reims,Ligue 1,30.9,64.0,35,36.0,23.0,5.0,26.0,45.0,57.8,19.0,51.0,32.0,19.0,39,103.0,109.0,2.0
Junya Ito,JPN,"FW,MF",30.0,Reims,Ligue 1,30.2,33.0,15,11.0,14.0,8.0,10.0,36.0,27.8,26.0,23.0,1.0,22.0,14,47.0,7.0,0.0
Emmanuel Agbadou,CIV,DF,26.0,Reims,Ligue 1,28.8,65.0,41,38.0,23.0,4.0,44.0,64.0,68.8,20.0,47.0,25.0,22.0,55,120.0,116.0,1.0
Marshall Munetsi,ZIM,MF,27.0,Reims,Ligue 1,24.1,61.0,39,18.0,34.0,9.0,33.0,61.0,54.1,28.0,21.0,7.0,14.0,14,75.0,33.0,0.0
Teddy Teuma,MLT,MF,29.0,Reims,Ligue 1,23.5,54.0,36,19.0,21.0,14.0,25.0,62.0,40.3,37.0,33.0,4.0,29.0,20,74.0,6.0,0.0
Thomas Foket,BEL,DF,28.0,Reims,Ligue 1,20.4,32.0,17,21.0,8.0,3.0,20.0,45.0,44.4,25.0,34.0,12.0,22.0,25,57.0,36.0,0.0
Thibault De Smet,BEL,DF,25.0,Reims,Ligue 1,20.3,56.0,35,36.0,16.0,4.0,33.0,59.0,55.9,26.0,25.0,5.0,20.0,21,77.0,51.0,1.0
Joseph Okumu,KEN,DF,26.0,Reims,Ligue 1,19.4,44.0,28,28.0,14.0,2.0,24.0,38.0,63.2,14.0,27.0,19.0,8.0,35,79.0,112.0,2.0
Mohammed Daramy,DEN,"FW,MF",21.0,Reims,Ligue 1,18.3,10.0,9,4.0,4.0,2.0,6.0,16.0,37.5,10.0,5.0,1.0,4.0,4,14.0,4.0,0.0
Oumar Diakité,CIV,FW,19.0,Reims,Ligue 1,17.6,25.0,12,10.0,9.0,6.0,7.0,21.0,33.3,14.0,13.0,0.0,13.0,7,32.0,7.0,0.0
Keito Nakamura,JPN,"FW,MF",23.0,Reims,Ligue 1,15.3,28.0,11,9.0,10.0,9.0,17.0,37.0,45.9,20.0,15.0,2.0,13.0,6,34.0,7.0,0.0
Azor Matusiwa,NED,MF,25.0,Reims,Ligue 1,15.4,39.0,27,17.0,19.0,3.0,22.0,32.0,68.8,10.0,21.0,3.0,18.0,33,72.0,32.0,1.0
Reda Khadra,GER,"FW,MF",22.0,Reims,Ligue 1,15.2,16.0,10,5.0,4.0,7.0,8.0,20.0,40.0,12.0,8.0,2.0,6.0,3,19.0,13.0,0.0
Amir Richardson,MAR,MF,21.0,Reims,Ligue 1,15.0,33.0,23,12.0,18.0,3.0,10.0,22.0,45.5,12.0,26.0,5.0,21.0,15,48.0,30.0,0.0
Sergio Akieme,ESP,DF,25.0,Reims,Ligue 1,9.1,11.0,5,6.0,3.0,2.0,8.0,11.0,72.7,3.0,9.0,3.0,6.0,10,21.0,25.0,0.0
Valentin Atangana Edoa,FRA,MF,17.0,Reims,Ligue 1,6.2,19.0,13,6.0,9.0,4.0,5.0,13.0,38.5,8.0,5.0,1.0,4.0,6,25.0,9.0,0.0
Josh Wilson-Esbrand,ENG,"DF,MF",20.0,Reims,Ligue 1,5.1,5.0,4,2.0,3.0,0.0,2.0,8.0,25.0,6.0,5.0,2.0,3.0,6,11.0,7.0,0.0
Amadou Koné,MLI,MF,18.0,Reims,Ligue 1,5.3,13.0,8,11.0,2.0,0.0,6.0,10.0,60.0,4.0,8.0,3.0,5.0,10,23.0,10.0,0.0
Therence Koudou,FRA,DF,18.0,Reims,Ligue 1,3.5,2.0,2,1.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,1.0,4,6.0,9.0,0.0
Benjamin Stambouli,FRA,MF,32.0,Reims,Ligue 1,3.2,9.0,7,3.0,5.0,1.0,6.0,11.0,54.5,5.0,3.0,1.0,2.0,2,11.0,8.0,0.0
Abdoul Koné,FRA,DF,18.0,Reims,Ligue 1,2.1,7.0,7,5.0,2.0,0.0,4.0,11.0,36.4,7.0,2.0,0.0,2.0,2,9.0,9.0,0.0
Amine Salama,FRA,FW,23.0,Reims,Ligue 1,3.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,1.0,0.0
Mamadou Diakhon,FRA,"FW,MF",17.0,Reims,Ligue 1,2.3,5.0,3,2.0,1.0,2.0,3.0,9.0,33.3,6.0,1.0,0.0,1.0,1,6.0,1.0,0.0
Maxime Busi,BEL,"FW,DF",23.0,Reims,Ligue 1,1.8,2.0,0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,6.0,1.0,5.0,4,6.0,5.0,0.0
Ibrahim Diakité,GUI,DF,19.0,Reims,Ligue 1,1.2,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,2,3.0,5.0,0.0
Adama Bojang,GAM,FW,19.0,Reims,Ligue 1,0.9,2.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1,3.0,0.0,0.0
Yaya Kader Fofana,MLI,"MF,DF",19.0,Reims,Ligue 1,0.4,3.0,3,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,4.0,0.0,0.0
Christ Mbondi,FRA,FW,18.0,Reims,Ligue 1,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
Steve Mandanda,FRA,GK,38.0,Rennes,Ligue 1,34.0,2.0,0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,0,2.0,6.0,1.0
Benjamin Bourigeaud,FRA,"MF,FW",29.0,Rennes,Ligue 1,26.9,31.0,18,14.0,9.0,8.0,13.0,44.0,29.5,31.0,31.0,2.0,29.0,22,53.0,39.0,2.0
Arthur Theate,BEL,DF,23.0,Rennes,Ligue 1,25.5,30.0,17,19.0,6.0,5.0,24.0,37.0,64.9,13.0,40.0,23.0,17.0,31,61.0,90.0,2.0
Arnaud Kalimuendo,FRA,FW,21.0,Rennes,Ligue 1,23.8,5.0,4,2.0,2.0,1.0,2.0,5.0,40.0,3.0,13.0,2.0,11.0,4,9.0,4.0,0.0
Adrien Truffert,FRA,DF,21.0,Rennes,Ligue 1,23.8,39.0,21,23.0,10.0,6.0,25.0,40.0,62.5,15.0,31.0,5.0,26.0,19,58.0,49.0,0.0
Amine Gouiri,ALG,"FW,MF",23.0,Rennes,Ligue 1,23.0,20.0,10,4.0,11.0,5.0,8.0,19.0,42.1,11.0,18.0,1.0,17.0,14,34.0,12.0,0.0
Warmed Omari,FRA,DF,23.0,Rennes,Ligue 1,23.0,32.0,19,23.0,7.0,2.0,16.0,28.0,57.1,12.0,30.0,20.0,10.0,33,65.0,77.0,2.0
Baptiste Santamaria,FRA,MF,28.0,Rennes,Ligue 1,21.4,52.0,33,21.0,25.0,6.0,29.0,46.0,63.0,17.0,15.0,6.0,9.0,34,86.0,33.0,1.0
Enzo Le Fée,FRA,MF,23.0,Rennes,Ligue 1,17.0,50.0,35,23.0,17.0,10.0,23.0,47.0,48.9,24.0,17.0,3.0,14.0,19,69.0,20.0,0.0
Martin Terrier,FRA,"FW,MF",26.0,Rennes,Ligue 1,17.0,14.0,9,3.0,8.0,3.0,6.0,14.0,42.9,8.0,21.0,4.0,17.0,9,23.0,17.0,0.0
Ludovic Blas,FRA,"FW,MF",25.0,Rennes,Ligue 1,17.4,30.0,14,16.0,13.0,1.0,12.0,28.0,42.9,16.0,13.0,1.0,12.0,6,36.0,9.0,0.0
Désiré Doué,FRA,"MF,FW",18.0,Rennes,Ligue 1,18.1,32.0,18,11.0,14.0,7.0,10.0,33.0,30.3,23.0,30.0,1.0,29.0,14,46.0,8.0,0.0
Jeanuël Belocian,FRA,DF,18.0,Rennes,Ligue 1,16.1,32.0,22,23.0,8.0,1.0,22.0,28.0,78.6,6.0,18.0,10.0,8.0,13,45.0,49.0,0.0
Christopher Wooh,CMR,DF,21.0,Rennes,Ligue 1,15.4,18.0,12,12.0,6.0,0.0,8.0,15.0,53.3,7.0,19.0,9.0,10.0,18,36.0,51.0,0.0
Guela Doué,CIV,DF,20.0,Rennes,Ligue 1,13.7,28.0,21,14.0,12.0,2.0,22.0,32.0,68.8,10.0,12.0,1.0,11.0,15,43.0,65.0,1.0
Lorenz Assignon,TOG,DF,23.0,Rennes,Ligue 1,11.2,24.0,12,12.0,8.0,4.0,9.0,24.0,37.5,15.0,9.0,4.0,5.0,9,33.0,27.0,1.0
Nemanja Matić,SRB,MF,34.0,Rennes,Ligue 1,11.4,19.0,10,7.0,9.0,3.0,9.0,12.0,75.0,3.0,15.0,7.0,8.0,27,46.0,19.0,0.0
Azor Matusiwa,NED,MF,25.0,Rennes,Ligue 1,8.8,7.0,3,3.0,4.0,0.0,4.0,7.0,57.1,3.0,9.0,2.0,7.0,11,18.0,17.0,0.0
Alidu Seidu,GHA,DF,23.0,Rennes,Ligue 1,6.6,21.0,9,17.0,3.0,1.0,14.0,19.0,73.7,5.0,11.0,3.0,8.0,10,31.0,13.0,0.0
Ibrahim Salah,MAR,"FW,MF",21.0,Rennes,Ligue 1,5.8,15.0,7,5.0,6.0,4.0,11.0,18.0,61.1,7.0,4.0,0.0,4.0,10,25.0,5.0,0.0
Bertuğ Yıldırım,TUR,FW,21.0,Rennes,Ligue 1,5.2,7.0,5,2.0,3.0,2.0,3.0,8.0,37.5,5.0,8.0,0.0,8.0,0,7.0,4.0,0.0
Fabian Rieder,SUI,MF,21.0,Rennes,Ligue 1,4.1,13.0,7,2.0,9.0,2.0,6.0,11.0,54.5,5.0,3.0,1.0,2.0,5,18.0,2.0,0.0
Jeremy Doku,BEL,FW,21.0,Rennes,Ligue 1,1.2,2.0,2,1.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0
Mahamadou Nagida,CMR,DF,18.0,Rennes,Ligue 1,1.2,1.0,1,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,4,5.0,0.0,0.0
Lovro Majer,CRO,MF,25.0,Rennes,Ligue 1,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
Birger Meling,NOR,DF,28.0,Rennes,Ligue 1,0.2,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0,1.0,0.0,0.0
Mathis Lambourde,FRA,FW,17.0,Rennes,Ligue 1,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,1.0,0.0
Jérémy Jacquet,FRA,MF,18.0,Rennes,Ligue 1,0.1,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2.0,0.0,0.0
Djaoui Cissé,FRA,MF,19.0,Rennes,Ligue 1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Guillaume Restes,FRA,GK,18.0,Toulouse,Ligue 1,34.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0,0.0,19.0,1.0
Rasmus Nicolaisen,DEN,DF,26.0,Toulouse,Ligue 1,32.5,50.0,30,39.0,11.0,0.0,26.0,44.0,59.1,18.0,44.0,33.0,11.0,42,92.0,158.0,1.0
Logan Costa,CPV,DF,22.0,Toulouse,Ligue 1,29.4,40.0,24,31.0,9.0,0.0,15.0,24.0,62.5,9.0,42.0,27.0,15.0,23,63.0,120.0,1.0
Thijs Dallinga,NED,FW,22.0,Toulouse,Ligue 1,27.9,29.0,15,6.0,11.0,12.0,9.0,15.0,60.0,6.0,11.0,4.0,7.0,3,32.0,35.0,0.0
Gabriel Suazo,CHI,DF,25.0,Toulouse,Ligue 1,26.2,66.0,32,40.0,19.0,7.0,38.0,86.0,44.2,48.0,37.0,4.0,33.0,26,92.0,33.0,0.0
Vincent Sierro,SUI,MF,27.0,Toulouse,Ligue 1,25.1,41.0,24,15.0,20.0,6.0,27.0,77.0,35.1,50.0,37.0,13.0,24.0,27,68.0,33.0,0.0
