player,nationality,position,age,club,league,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Luis Hernández,ESP,DF,34,Cádiz,La Liga,8.0,1,1,1.0,100.0,0.12,0.12,1.0,1.0,2.2,0.0,0,0,1.0,1.0,0.95,0.0,0.0
Jorge Meré,ESP,DF,26,Cádiz,La Liga,7.5,0,4,1.0,25.0,0.53,0.13,0.0,0.0,18.2,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Aiham Ousou,SYR,DF,23,Cádiz,La Liga,4.8,0,2,0.0,0.0,0.42,0.0,0.0,0.0,13.3,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2
David Gil,ESP,GK,29,Cádiz,La Liga,4.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Fede San Emeterio,ESP,MF,26,Cádiz,La Liga,1.7,1,1,1.0,100.0,0.59,0.59,1.0,1.0,5.0,0.0,0,0,0.1,0.1,0.06,0.9,0.9
Mamadou Mbaye,SEN,DF,25,Cádiz,La Liga,3.2,0,2,1.0,50.0,0.62,0.31,0.0,0.0,7.9,0.0,0,0,0.3,0.3,0.17,-0.3,-0.3
Sergi Guardiola,ESP,"FW,MF",32,Cádiz,La Liga,5.5,1,14,5.0,35.7,2.55,0.91,0.07,0.2,16.9,0.0,0,0,1.8,1.8,0.13,-0.8,-0.8
Brian Ocampo,URU,"MF,FW",24,Cádiz,La Liga,2.8,1,5,2.0,40.0,1.81,0.73,0.2,0.5,23.0,0.0,0,0,0.3,0.3,0.06,0.7,0.7
Diadie Samassékou,MLI,MF,27,Cádiz,La Liga,1.0,0,1,1.0,100.0,0.98,0.98,0.0,0.0,25.6,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Álvaro Negredo,ESP,"FW,MF",37,Cádiz,La Liga,0.6,0,3,1.0,33.3,5.0,1.67,0.0,0.0,29.1,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Karl Etta,CMR,FW,19,Cádiz,La Liga,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
José Mari,ESP,"MF,FW",35,Cádiz,La Liga,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Milutin Osmajić,MNE,MF,24,Cádiz,La Liga,0.1,0,2,0.0,0.0,36.0,0.0,0.0,0.0,12.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
Borja Vázquez,ESP,FW,18,Cádiz,La Liga,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Moussa Diakité,MLI,MF,19,Cádiz,La Liga,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Luís Maximiano,POR,GK,24,Almería,La Liga,33.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Édgar González,ESP,"DF,MF",26,Almería,La Liga,28.0,2,13,3.0,23.1,0.46,0.11,0.15,0.67,10.3,0.0,0,0,2.3,2.3,0.18,-0.3,-0.3
Adri Embarba,ESP,"FW,MF",31,Almería,La Liga,27.5,3,63,24.0,38.1,2.29,0.87,0.03,0.08,24.1,12.0,1,1,4.3,3.5,0.06,-1.3,-1.5
Lucas Robertone,ARG,MF,26,Almería,La Liga,26.5,0,37,13.0,35.1,1.4,0.49,0.0,0.0,28.1,3.0,0,0,1.0,1.0,0.03,-1.0,-1.0
Juan Brandáriz,ESP,DF,24,Almería,La Liga,27.0,0,5,0.0,0.0,0.18,0.0,0.0,0.0,13.8,0.0,0,0,1.0,1.0,0.19,-1.0,-1.0
Dion Lopy,SEN,MF,21,Almería,La Liga,21.3,0,23,8.0,34.8,1.08,0.38,0.0,0.0,26.2,0.0,0,0,1.3,1.3,0.06,-1.3,-1.3
Sergio Arribas,ESP,"MF,FW",21,Almería,La Liga,22.7,9,60,22.0,36.7,2.64,0.97,0.15,0.41,16.8,1.0,0,0,8.6,8.6,0.15,0.4,0.4
Pubill,ESP,DF,20,Almería,La Liga,20.9,1,20,5.0,25.0,0.96,0.24,0.05,0.2,20.8,0.0,0,0,0.7,0.7,0.04,0.3,0.3
Léo Baptistão,BRA,FW,30,Almería,La Liga,20.4,6,48,18.0,37.5,2.35,0.88,0.13,0.33,16.7,0.0,0,0,5.3,5.3,0.11,0.7,0.7
César Montes,MEX,DF,26,Almería,La Liga,19.9,0,13,2.0,15.4,0.65,0.1,0.0,0.0,11.0,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7
Sergio Akieme,ESP,DF,25,Almería,La Liga,18.6,2,9,5.0,55.6,0.48,0.27,0.22,0.4,17.4,0.0,0,0,1.2,1.2,0.13,0.8,0.8
Largie Ramazani,BEL,"FW,MF",22,Almería,La Liga,17.3,3,40,12.0,30.0,2.32,0.69,0.08,0.25,17.5,1.0,0,0,4.7,4.7,0.12,-1.7,-1.7
Iddrisu Baba,GHA,MF,27,Almería,La Liga,15.9,0,8,2.0,25.0,0.5,0.13,0.0,0.0,25.6,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7
Jonathan Viera,ESP,MF,33,Almería,La Liga,10.1,0,12,5.0,41.7,1.18,0.49,0.0,0.0,18.7,1.0,0,0,1.3,1.3,0.11,-1.3,-1.3
Álex Centelles,ESP,DF,25,Almería,La Liga,10.9,0,2,1.0,50.0,0.18,0.09,0.0,0.0,21.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Gonzalo Melero,ESP,"MF,FW",29,Almería,La Liga,12.3,1,14,4.0,28.6,1.14,0.33,0.07,0.25,11.7,0.0,0,0,2.0,2.0,0.14,-1.0,-1.0
Luis Javier Suárez,COL,FW,25,Almería,La Liga,10.2,6,39,13.0,33.3,3.83,1.28,0.13,0.38,14.2,0.0,1,1,6.5,5.7,0.15,-0.5,-0.7
Anthony Lozano,HON,FW,30,Almería,La Liga,8.6,3,23,9.0,39.1,2.68,1.05,0.13,0.33,13.3,0.0,0,0,3.3,3.3,0.14,-0.3,-0.3
Alejandro Pozo Pozo,ESP,"DF,MF",24,Almería,La Liga,10.8,0,4,3.0,75.0,0.37,0.28,0.0,0.0,23.3,0.0,0,0,0.4,0.4,0.1,-0.4,-0.4
Bruno Langa,MOZ,DF,25,Almería,La Liga,9.1,1,8,2.0,25.0,0.88,0.22,0.13,0.5,24.6,0.0,0,0,0.2,0.2,0.02,0.8,0.8
Aleksandar Radovanović,SRB,DF,29,Almería,La Liga,6.3,0,1,0.0,0.0,0.16,0.0,0.0,0.0,10.5,0.0,0,0,0.0,0.0,0.04,0.0,0.0
Kaiky,BRA,DF,19,Almería,La Liga,5.8,1,3,1.0,33.3,0.52,0.17,0.33,1.0,11.4,0.0,0,0,0.2,0.2,0.08,0.8,0.8
Luka Romero,ARG,FW,18,Almería,La Liga,4.9,3,8,3.0,37.5,1.64,0.62,0.38,1.0,15.9,0.0,0,0,1.3,1.3,0.18,1.7,1.7
Marcos Peña,ESP,MF,18,Almería,La Liga,4.9,0,4,1.0,25.0,0.82,0.2,0.0,0.0,28.1,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Houboulang Mendes,GNB,DF,25,Almería,La Liga,4.4,0,1,0.0,0.0,0.23,0.0,0.0,0.0,23.2,0.0,0,0,0.0,0.0,0.01,0.0,0.0
Fernando,ESP,GK,33,Almería,La Liga,4.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Arnau Puigmal,ESP,"FW,DF",22,Almería,La Liga,2.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Marko Milovanović,SRB,"FW,MF",19,Almería,La Liga,3.4,1,5,1.0,20.0,1.46,0.29,0.2,1.0,16.2,0.0,0,0,1.5,1.5,0.31,-0.5,-0.5
Lázaro,BRA,"FW,MF",21,Almería,La Liga,3.2,0,8,4.0,50.0,2.53,1.26,0.0,0.0,18.3,0.0,0,0,0.9,0.9,0.11,-0.9,-0.9
Ibrahima Koné,MLI,FW,24,Almería,La Liga,3.1,0,4,2.0,50.0,1.3,0.65,0.0,0.0,12.9,0.0,0,0,0.4,0.4,0.11,-0.4,-0.4
Srđan Babić,SRB,DF,27,Almería,La Liga,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,11.6,0.0,0,0,0.0,0.0,0.04,0.0,0.0
Diego Mariño,ESP,GK,33,Almería,La Liga,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Marciano Sanca,GNB,"FW,MF",19,Almería,La Liga,0.5,0,1,0.0,0.0,2.09,0.0,0.0,0.0,22.7,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Paco Sanz,ESP,DF,18,Almería,La Liga,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Rachad Fettal,MAR,FW,18,Almería,La Liga,0.2,0,1,0.0,0.0,5.29,0.0,0.0,0.0,8.8,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1
Carlos Neva,ESP,DF,27,Granada,La Liga,35.0,0,4,0.0,0.0,0.11,0.0,0.0,0.0,20.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Ignasi Miquel,ESP,DF,30,Granada,La Liga,33.2,1,22,8.0,36.4,0.66,0.24,0.05,0.13,12.7,0.0,0,0,1.4,1.4,0.06,-0.4,-0.4
Gerard Gumbau,ESP,MF,28,Granada,La Liga,29.7,0,45,9.0,20.0,1.51,0.3,0.0,0.0,28.3,8.0,0,0,1.8,1.8,0.04,-1.8,-1.8
Lucas Boyé,ARG,FW,27,Granada,La Liga,28.2,6,56,15.0,26.8,1.98,0.53,0.11,0.4,13.3,1.0,0,0,6.2,6.2,0.11,-0.2,-0.2
Sergio Ruiz,ESP,MF,28,Granada,La Liga,27.7,0,13,1.0,7.7,0.47,0.04,0.0,0.0,18.2,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7
Myrto Uzuni,ALB,FW,28,Granada,La Liga,27.2,11,58,24.0,41.4,2.13,0.88,0.12,0.29,17.9,2.0,4,5,12.9,9.0,0.16,-1.9,-2.0
Ricard Sánchez,ESP,DF,23,Granada,La Liga,25.5,3,14,5.0,35.7,0.55,0.2,0.21,0.6,19.0,0.0,0,0,1.0,1.0,0.07,2.0,2.0
Gonzalo Villar,ESP,MF,25,Granada,La Liga,20.0,1,22,4.0,18.2,1.1,0.2,0.05,0.25,22.5,0.0,0,0,1.9,1.9,0.08,-0.9,-0.9
Bryan Zaragoza,ESP,"MF,FW",22,Granada,La Liga,18.2,6,33,18.0,54.5,1.81,0.99,0.15,0.28,17.7,1.0,1,1,3.8,3.0,0.09,2.2,2.0
Miguel Ángel Rubio,ESP,DF,25,Granada,La Liga,17.3,1,9,2.0,22.2,0.52,0.12,0.11,0.5,10.4,0.0,0,0,0.8,0.8,0.09,0.2,0.2
Augusto Batalla,ARG,GK,27,Granada,La Liga,17.0,0,1,0.0,0.0,0.06,0.0,0.0,0.0,13.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Bruno Méndez,URU,DF,23,Granada,La Liga,14.8,2,8,4.0,50.0,0.54,0.27,0.25,0.5,15.8,0.0,0,0,0.6,0.6,0.08,1.4,1.4
Óscar Melendo,ESP,"MF,FW",25,Granada,La Liga,12.5,0,6,2.0,33.3,0.48,0.16,0.0,0.0,14.9,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4
André Ferreira,POR,GK,27,Granada,La Liga,14.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Raúl Torrente,ESP,DF,21,Granada,La Liga,13.9,0,3,0.0,0.0,0.22,0.0,0.0,0.0,14.7,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
Facundo Pellistri,URU,"MF,FW",21,Granada,La Liga,13.7,2,17,6.0,35.3,1.24,0.44,0.12,0.33,14.5,0.0,0,0,2.5,2.5,0.14,-0.5,-0.5
José Callejón,ESP,"MF,FW",36,Granada,La Liga,8.9,0,12,4.0,33.3,1.34,0.45,0.0,0.0,14.5,1.0,0,0,1.3,1.3,0.11,-1.3,-1.3
Kamil Jóźwiak,POL,MF,25,Granada,La Liga,6.3,0,4,1.0,25.0,0.63,0.16,0.0,0.0,21.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Antonio Puertas,ESP,"MF,FW",31,Granada,La Liga,8.1,0,17,4.0,23.5,2.1,0.49,0.0,0.0,16.0,0.0,0,2,3.2,1.6,0.09,-3.2,-1.6
Martin Hongla,CMR,"MF,DF",25,Granada,La Liga,6.2,0,3,1.0,33.3,0.48,0.16,0.0,0.0,18.5,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Kamil Piątkowski,POL,DF,23,Granada,La Liga,5.6,0,4,2.0,50.0,0.71,0.36,0.0,0.0,7.3,0.0,0,0,0.8,0.8,0.2,-0.8,-0.8
Álvaro Carreras,ESP,"MF,FW",20,Granada,La Liga,5.3,0,7,1.0,14.3,1.33,0.19,0.0,0.0,12.3,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4
Raúl Fernández,ESP,GK,35,Granada,La Liga,3.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Matias Arezo,URU,FW,20,Granada,La Liga,4.1,0,12,4.0,33.3,2.93,0.98,0.0,0.0,18.1,0.0,0,0,1.2,1.2,0.1,-1.2,-1.2
Marc Martínez,ESP,GK,33,Granada,La Liga,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Wilson Manafá,POR,"DF,MF",29,Granada,La Liga,2.7,0,1,0.0,0.0,0.37,0.0,0.0,0.0,29.4,0.0,0,0,0.0,0.0,0.01,0.0,0.0
Faitout Maouassa,FRA,"DF,MF",25,Granada,La Liga,2.5,0,5,0.0,0.0,1.97,0.0,0.0,0.0,20.0,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2
Theo Corbeanu,CAN,"MF,FW",21,Granada,La Liga,2.0,1,5,2.0,40.0,2.47,0.99,0.2,0.5,23.6,1.0,0,0,0.3,0.3,0.06,0.7,0.7
Víctor Díaz,ESP,"DF,MF",35,Granada,La Liga,1.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Sergio Rodelas,ESP,"FW,DF",18,Granada,La Liga,1.4,0,2,0.0,0.0,1.48,0.0,0.0,0.0,27.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Jesús Vallejo,ESP,DF,26,Granada,La Liga,1.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Samuel Omorodion,ESP,FW,19,Granada,La Liga,0.9,1,3,2.0,66.7,3.38,2.25,0.33,0.5,8.6,0.0,0,0,0.7,0.7,0.23,0.3,0.3
Njegoš Petrović,SRB,"MF,FW",24,Granada,La Liga,1.7,0,2,1.0,50.0,1.15,0.57,0.0,0.0,31.9,1.0,0,0,0.0,0.0,0.02,0.0,0.0
Famara Diedhiou,SEN,"FW,MF",30,Granada,La Liga,1.0,0,5,3.0,60.0,5.06,3.03,0.0,0.0,18.1,0.0,0,0,0.5,0.5,0.1,-0.5,-0.5
Brau,ESP,DF,21,Granada,La Liga,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Adri Bosch,ESP,DF,22,Granada,La Liga,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Pablo Saenz,SPA,MF,23,Granada,La Liga,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Alberto Soro,ESP,MF,24,Granada,La Liga,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Alberto Perea,ESP,"MF,FW",32,Granada,La Liga,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Gianluigi Donnarumma,ITA,GK,24,Paris S-G,Ligue 1,24.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Kylian Mbappé,FRA,FW,24,Paris S-G,Ligue 1,24.0,27,112,50.0,44.6,4.67,2.09,0.19,0.42,18.3,2.0,6,8,21.0,14.5,0.13,6.0,6.5
Vitinha,POR,MF,23,Paris S-G,Ligue 1,23.6,7,45,19.0,42.2,1.9,0.8,0.16,0.37,21.5,1.0,0,0,3.1,3.1,0.07,3.9,3.9
Lucas Hernández,FRA,DF,27,Paris S-G,Ligue 1,21.2,1,6,2.0,33.3,0.28,0.09,0.17,0.5,18.2,0.0,0,0,0.5,0.5,0.08,0.5,0.5
Danilo Pereira,POR,DF,31,Paris S-G,Ligue 1,22.2,0,10,1.0,10.0,0.45,0.05,0.0,0.0,10.8,0.0,0,0,1.4,1.4,0.14,-1.4,-1.4
Warren Zaire-Emery,FRA,"MF,DF",17,Paris S-G,Ligue 1,21.8,2,14,4.0,28.6,0.64,0.18,0.14,0.5,17.9,0.0,0,0,1.4,1.4,0.1,0.6,0.6
Manuel Ugarte Ribeiro,URU,MF,22,Paris S-G,Ligue 1,21.5,0,10,1.0,10.0,0.47,0.05,0.0,0.0,23.4,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6
Achraf Hakimi,MAR,DF,24,Paris S-G,Ligue 1,21.5,4,42,12.0,28.6,1.96,0.56,0.1,0.33,19.8,9.0,0,0,4.2,4.2,0.1,-0.2,-0.2
Marquinhos,BRA,DF,29,Paris S-G,Ligue 1,17.1,0,4,0.0,0.0,0.23,0.0,0.0,0.0,6.5,0.0,0,0,0.4,0.4,0.11,-0.4,-0.4
Lee Kang-in,KOR,"FW,MF",22,Paris S-G,Ligue 1,16.3,3,23,9.0,39.1,1.41,0.55,0.13,0.33,19.5,0.0,0,0,1.5,1.5,0.06,1.5,1.5
Bradley Barcola,FRA,"FW,MF",20,Paris S-G,Ligue 1,15.2,4,31,11.0,35.5,2.04,0.72,0.13,0.36,13.8,0.0,0,0,4.5,4.5,0.15,-0.5,-0.5
Milan Škriniar,SVK,DF,28,Paris S-G,Ligue 1,18.1,0,3,1.0,33.3,0.17,0.06,0.0,0.0,9.5,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Ousmane Dembélé,FRA,"MF,FW",26,Paris S-G,Ligue 1,16.7,3,43,14.0,32.6,2.57,0.84,0.07,0.21,17.1,0.0,0,0,4.4,4.4,0.1,-1.4,-1.4
Gonçalo Ramos,POR,FW,22,Paris S-G,Ligue 1,15.8,11,54,20.0,37.0,3.42,1.27,0.19,0.5,13.2,0.0,1,1,10.9,10.2,0.19,0.1,-0.2
Fabián Ruiz Peña,ESP,MF,27,Paris S-G,Ligue 1,13.3,1,19,6.0,31.6,1.43,0.45,0.05,0.17,21.7,0.0,0,0,2.0,2.0,0.1,-1.0,-1.0
Randal Kolo Muani,FRA,"FW,MF",24,Paris S-G,Ligue 1,14.1,6,22,12.0,54.5,1.56,0.85,0.27,0.5,11.0,0.0,0,0,6.1,6.1,0.28,-0.1,-0.1
Marco Asensio,ESP,"MF,FW",27,Paris S-G,Ligue 1,12.4,4,27,10.0,37.0,2.18,0.81,0.15,0.4,19.2,1.0,0,0,3.2,3.2,0.12,0.8,0.8
Carlos Soler,ESP,"MF,DF",26,Paris S-G,Ligue 1,12.1,2,14,5.0,35.7,1.16,0.41,0.14,0.4,15.0,0.0,0,0,1.5,1.5,0.11,0.5,0.5
Lucas Beraldo,BRA,DF,19,Paris S-G,Ligue 1,11.2,1,5,2.0,40.0,0.45,0.18,0.2,0.5,10.8,0.0,0,0,1.0,1.0,0.2,0.0,0.0
Nordi Mukiele,FRA,DF,25,Paris S-G,Ligue 1,8.8,0,9,5.0,55.6,1.02,0.57,0.0,0.0,12.5,0.0,0,0,1.3,1.3,0.14,-1.3,-1.3
Arnau Tenas,ESP,GK,22,Paris S-G,Ligue 1,5.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Yoram Zague,FRA,DF,17,Paris S-G,Ligue 1,4.1,1,2,1.0,50.0,0.48,0.24,0.5,1.0,19.3,0.0,0,0,0.3,0.3,0.15,0.7,0.7
Keylor Navas,CRC,GK,36,Paris S-G,Ligue 1,4.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Senny Mayulu,FRA,"FW,MF",17,Paris S-G,Ligue 1,3.6,0,3,0.0,0.0,0.83,0.0,0.0,0.0,23.4,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Nuno Mendes,POR,DF,21,Paris S-G,Ligue 1,3.0,1,4,1.0,25.0,1.35,0.34,0.25,1.0,21.6,1.0,0,0,0.3,0.3,0.08,0.7,0.7
Ethan Mbappé,FRA,"MF,DF",16,Paris S-G,Ligue 1,0.5,0,2,1.0,50.0,3.75,1.87,0.0,0.0,15.7,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
Cher Ndour,ITA,MF,19,Paris S-G,Ligue 1,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Hugo Ekitike,FRA,FW,21,Paris S-G,Ligue 1,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Layvin Kurzawa,FRA,DF,30,Paris S-G,Ligue 1,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Youssouf Fofana,FRA,MF,24,Monaco,Ligue 1,30.0,4,52,13.0,25.0,1.74,0.43,0.08,0.31,19.6,0.0,0,0,5.0,5.0,0.1,-1.0,-1.0
Wissam Ben Yedder,FRA,FW,32,Monaco,Ligue 1,25.7,16,63,29.0,46.0,2.45,1.13,0.24,0.52,11.5,0.0,1,1,12.4,11.6,0.18,3.6,3.4
Aleksandr Golovin,RUS,"MF,FW",27,Monaco,Ligue 1,23.9,6,44,19.0,43.2,1.84,0.8,0.14,0.32,21.5,6.0,0,0,3.4,3.4,0.08,2.6,2.6
Takumi Minamino,JPN,MF,28,Monaco,Ligue 1,23.5,9,60,28.0,46.7,2.55,1.19,0.15,0.32,17.1,0.0,0,0,5.9,5.9,0.1,3.1,3.1
Wilfried Singo,CIV,DF,22,Monaco,Ligue 1,24.3,1,19,7.0,36.8,0.78,0.29,0.05,0.14,16.1,0.0,0,0,0.8,0.8,0.04,0.2,0.2
Denis Zakaria,SUI,"MF,DF",26,Monaco,Ligue 1,23.7,4,26,10.0,38.5,1.09,0.42,0.15,0.4,21.6,0.0,0,0,1.4,1.4,0.05,2.6,2.6
Philipp Köhn,SUI,GK,25,Monaco,Ligue 1,22.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Guillermo Maripán,CHI,DF,29,Monaco,Ligue 1,19.6,1,11,5.0,45.5,0.56,0.25,0.09,0.2,16.6,0.0,0,0,0.4,0.4,0.04,0.6,0.6
Vanderson,BRA,DF,22,Monaco,Ligue 1,18.2,3,30,10.0,33.3,1.65,0.55,0.1,0.3,21.6,0.0,0,0,2.1,2.1,0.07,0.9,0.9
Folarin Balogun,USA,FW,22,Monaco,Ligue 1,18.8,7,63,26.0,41.3,3.35,1.38,0.11,0.27,14.0,0.0,0,3,11.0,8.5,0.14,-4.0,-1.5
Maghnes Akliouche,FRA,"MF,FW",21,Monaco,Ligue 1,17.9,7,36,22.0,61.1,2.01,1.23,0.19,0.32,15.7,1.0,0,0,5.4,5.4,0.15,1.6,1.6
Ismail Jakobs,SEN,DF,23,Monaco,Ligue 1,16.3,1,21,7.0,33.3,1.29,0.43,0.05,0.14,15.8,1.0,0,0,1.3,1.3,0.06,-0.3,-0.3
Soungoutou Magassa,FRA,"DF,MF",19,Monaco,Ligue 1,15.0,0,8,2.0,25.0,0.53,0.13,0.0,0.0,19.0,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6
Thilo Kehrer,GER,DF,26,Monaco,Ligue 1,14.7,1,12,4.0,33.3,0.82,0.27,0.08,0.25,11.1,0.0,0,0,0.7,0.7,0.06,0.3,0.3
Mohamed Camara,MLI,MF,23,Monaco,Ligue 1,11.5,1,13,3.0,23.1,1.13,0.26,0.0,0.0,26.0,0.0,1,1,1.5,0.7,0.05,-0.5,-0.7
Krépin Diatta,SEN,"DF,FW",24,Monaco,Ligue 1,13.4,0,9,0.0,0.0,0.67,0.0,0.0,0.0,23.5,1.0,0,0,0.5,0.5,0.06,-0.5,-0.5
Radosław Majecki,POL,GK,23,Monaco,Ligue 1,12.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Mohammed Salisu,GHA,DF,24,Monaco,Ligue 1,11.5,0,4,1.0,25.0,0.35,0.09,0.0,0.0,14.3,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Kassoum Ouattara,FRA,"DF,FW",18,Monaco,Ligue 1,7.1,1,8,5.0,62.5,1.13,0.71,0.13,0.2,15.2,0.0,0,0,1.3,1.3,0.16,-0.3,-0.3
Caio Henrique Oliveira Silva,BRA,DF,26,Monaco,Ligue 1,6.9,0,6,1.0,16.7,0.87,0.14,0.0,0.0,26.9,1.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Eliesse Ben Seghir,MAR,"MF,FW",18,Monaco,Ligue 1,4.8,2,14,4.0,28.6,2.94,0.84,0.14,0.5,19.8,1.0,0,0,0.8,0.8,0.06,1.2,1.2
Chrislain Matsima,FRA,DF,21,Monaco,Ligue 1,3.3,0,2,0.0,0.0,0.6,0.0,0.0,0.0,8.7,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
Breel Embolo,SUI,FW,26,Monaco,Ligue 1,2.0,1,6,3.0,50.0,2.97,1.48,0.17,0.33,15.9,0.0,0,0,0.7,0.7,0.12,0.3,0.3
Mamadou Coulibaly,FRA,MF,19,Monaco,Ligue 1,1.3,0,2,0.0,0.0,1.53,0.0,0.0,0.0,20.4,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2
Edan Diop,FRA,"MF,DF",18,Monaco,Ligue 1,1.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Eliot Matazo,BEL,MF,21,Monaco,Ligue 1,1.1,0,1,1.0,100.0,0.88,0.88,0.0,0.0,22.6,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1
Myron Boadu,NED,FW,22,Monaco,Ligue 1,0.9,1,2,2.0,100.0,2.12,2.12,0.5,0.5,10.7,0.0,0,0,0.4,0.4,0.22,0.6,0.6
