player,nationality,position,age,club,league,minutes_90s,Y,R,YR,fouls,fouled,offsides,crosses,interceptions,tklw,pens_won,pens_conceded,OG,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Elves Baldé,POR,"FW,MF",23,Farense,Primeira Liga,10.8,0,0,0,15,17,4,72,1,5,0,0,0,43,9,8,52.9
Rafael Barbosa,POR,"MF,FW",27,Farense,Primeira Liga,9.5,1,0,0,8,23,2,53,4,9,0,0,0,51,0,9,0.0
Rui Costa,POR,"FW,MF",27,Farense,Primeira Liga,7.8,2,0,0,7,15,6,8,0,2,0,0,0,31,15,36,29.4
Vítor Gonçalves,POR,MF,31,Farense,Primeira Liga,7.7,0,0,0,11,18,3,14,4,7,0,0,0,40,14,10,58.3
Fran Delgado,ESP,DF,22,Farense,Primeira Liga,5.5,1,0,0,10,2,0,10,2,2,0,2,0,21,4,1,80.0
Zé Luís,CPV,"FW,MF",32,Farense,Primeira Liga,6.6,2,0,0,10,12,1,3,1,3,0,1,0,18,42,25,62.7
Artur Jorge Marques Amorim,POR,DF,28,Farense,Primeira Liga,5.5,3,0,0,9,1,0,0,7,4,1,1,1,22,11,11,50.0
Miguel Carvalho,POR,GK,27,Farense,Primeira Liga,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Cristian Ponde,POR,"MF,FW",28,Farense,Primeira Liga,2.5,0,0,0,7,2,2,5,3,3,0,0,0,14,6,6,50.0
André Seruca,POR,MF,22,Farense,Primeira Liga,0.4,0,0,0,6,1,0,1,0,2,0,0,0,3,3,4,42.9
Jhon Velásquez,COL,"FW,MF",28,Farense,Primeira Liga,0.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
Costinha,POR,"MF,DF",23,Rio Ave,Primeira Liga,33.9,4,0,0,55,60,13,115,40,60,2,1,0,193,56,58,49.1
Aderlan Santos,BRA,DF,34,Rio Ave,Primeira Liga,31.6,8,1,1,29,19,2,0,45,44,0,1,0,140,106,71,59.9
Fábio Conceição,POR,"MF,FW",22,Rio Ave,Primeira Liga,28.2,3,0,0,26,61,1,36,17,24,1,0,0,129,22,20,52.4
Amine Oudrhiri,MAR,MF,30,Rio Ave,Primeira Liga,24.7,7,0,0,31,37,0,7,30,22,0,0,0,123,11,9,55.0
Jhonatan,BRA,GK,32,Rio Ave,Primeira Liga,26.0,4,0,0,0,9,0,0,1,0,0,0,0,33,11,1,91.7
Josué Sá,POR,DF,31,Rio Ave,Primeira Liga,21.8,6,0,0,25,4,0,13,23,20,0,1,1,96,34,23,59.6
Joca,POR,"FW,MF",27,Rio Ave,Primeira Liga,19.0,2,0,0,17,28,2,29,13,5,0,0,0,87,8,10,44.4
Emmanuel Boateng,GHA,FW,27,Rio Ave,Primeira Liga,20.7,10,2,2,35,56,17,7,5,9,1,0,0,60,59,74,44.4
Miguel Nóbrega,POR,DF,23,Rio Ave,Primeira Liga,18.0,8,0,0,23,10,0,19,22,20,0,1,0,66,29,17,63.0
Gonçalo Rodrigues,POR,MF,26,Rio Ave,Primeira Liga,13.7,2,0,0,17,26,0,64,4,12,0,0,0,62,4,3,57.1
Renato Pantalon,CRO,DF,25,Rio Ave,Primeira Liga,14.9,7,1,1,24,2,0,4,9,10,0,0,0,50,21,17,55.3
João Graça,POR,MF,28,Rio Ave,Primeira Liga,13.3,10,0,0,43,28,0,26,9,25,0,0,0,62,16,17,48.5
Abdul-Aziz Yakubu,GHA,FW,24,Rio Ave,Primeira Liga,12.4,0,0,0,24,9,21,8,0,2,1,0,0,17,23,33,41.1
Patrick,BRA,DF,26,Rio Ave,Primeira Liga,12.4,5,0,0,20,6,0,9,26,8,0,0,0,63,19,14,57.6
Umaro Embaló,POR,"MF,FW",22,Rio Ave,Primeira Liga,8.8,1,0,0,16,11,7,35,3,4,0,0,0,38,2,2,50.0
João Teixeira,POR,"MF,FW",29,Rio Ave,Primeira Liga,8.0,2,0,0,14,21,2,35,4,10,1,0,0,38,5,6,45.5
Leonardo Ruíz,COL,FW,27,Rio Ave,Primeira Liga,8.3,1,0,0,15,12,4,8,4,6,0,0,0,27,16,23,41.0
Magrão,BRA,GK,23,Rio Ave,Primeira Liga,7.0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,100.0
Mateo Tanlongo,ARG,MF,19,Rio Ave,Primeira Liga,6.8,5,0,0,17,10,0,2,8,8,0,0,0,28,1,4,20.0
André Pereira,POR,FW,28,Rio Ave,Primeira Liga,6.5,3,0,0,26,17,2,3,2,7,0,0,0,33,13,16,44.8
Marious Vrousai,GRE,"MF,DF",25,Rio Ave,Primeira Liga,7.4,0,0,0,7,8,0,13,6,13,1,0,0,40,8,9,47.1
Bruno Ventura,POR,"FW,MF",22,Rio Ave,Primeira Liga,5.8,1,0,0,6,1,3,23,2,1,0,0,0,24,1,9,10.0
Zé Manuel,POR,"FW,MF",32,Rio Ave,Primeira Liga,6.6,2,0,0,11,18,2,10,4,8,0,0,0,24,4,16,20.0
Hernâni Fortes,POR,FW,31,Rio Ave,Primeira Liga,3.8,0,0,0,2,5,2,36,1,0,0,0,0,11,1,3,25.0
Adrien Silva,POR,MF,34,Rio Ave,Primeira Liga,3.8,2,0,0,7,11,1,16,5,4,0,0,0,21,5,7,41.7
Savio,BRA,"DF,MF",28,Rio Ave,Primeira Liga,2.8,1,0,0,1,2,0,17,2,2,0,0,0,21,3,2,60.0
Vítor Gomes,POR,MF,35,Rio Ave,Primeira Liga,3.6,3,0,0,10,5,0,0,3,4,0,0,0,25,0,5,0.0
Cezary Miszta,POL,GK,21,Rio Ave,Primeira Liga,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0
Ukra,POR,"FW,MF",35,Rio Ave,Primeira Liga,0.9,1,0,0,1,3,0,3,0,0,0,0,0,2,1,3,25.0
Cristian Castro,COL,DF,22,Rio Ave,Primeira Liga,0.8,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.0
Helder Sá,POR,"DF,MF",20,Rio Ave,Primeira Liga,0.5,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,100.0
Nuno Namora,POR,"DF,MF",25,Rio Ave,Primeira Liga,0.3,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0,100.0
Julien Lomboto,FRA,MF,21,Rio Ave,Primeira Liga,0.1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0.0
Andrew,BRA,GK,22,Gil Vicente FC,Primeira Liga,32.0,0,0,0,0,6,0,0,0,0,0,0,1,49,9,0,100.0
Gabriel Pereira,BRA,DF,23,Gil Vicente FC,Primeira Liga,30.9,8,1,0,39,29,1,6,26,24,2,0,0,155,61,36,62.9
Rúben Fernandes,POR,DF,37,Gil Vicente FC,Primeira Liga,29.0,4,0,0,16,16,0,4,35,11,0,0,0,112,61,36,62.9
Maxime Dominguez,SUI,"MF,FW",27,Gil Vicente FC,Primeira Liga,25.9,8,0,0,48,51,9,88,28,26,0,0,0,152,4,16,20.0
Félix Correia,POR,FW,22,Gil Vicente FC,Primeira Liga,24.1,4,0,0,17,56,14,55,21,22,1,0,0,113,9,25,26.5
Murilo Costa,BRA,FW,28,Gil Vicente FC,Primeira Liga,22.1,3,0,0,7,24,5,71,16,15,0,0,0,87,14,30,31.8
Leonardo Buta,POR,DF,21,Gil Vicente FC,Primeira Liga,24.3,3,0,0,24,48,3,47,28,30,1,1,0,113,17,13,56.7
Kanya Fujimoto,JPN,MF,24,Gil Vicente FC,Primeira Liga,22.2,0,0,0,20,20,6,21,11,15,0,0,0,75,7,8,46.7
José Carlos,POR,DF,25,Gil Vicente FC,Primeira Liga,21.4,7,0,0,30,41,4,40,30,34,0,1,0,116,22,21,51.2
Mory Gbane,CIV,MF,22,Gil Vicente FC,Primeira Liga,21.2,7,0,0,43,19,0,1,27,36,0,2,0,141,53,27,66.3
Martim Carvalho,POR,MF,20,Gil Vicente FC,Primeira Liga,20.7,7,0,0,34,15,1,7,18,23,0,1,0,148,17,16,51.5
Pedro Tiba,POR,MF,34,Gil Vicente FC,Primeira Liga,16.6,7,0,0,29,30,0,37,15,35,0,0,1,124,5,7,41.7
Alexandre Pinto,POR,DF,25,Gil Vicente FC,Primeira Liga,11.8,2,0,0,12,8,1,28,15,17,0,0,0,49,23,11,67.6
Ali Alipour,IRN,FW,27,Gil Vicente FC,Primeira Liga,8.9,1,0,0,7,10,11,5,0,4,0,0,0,17,19,34,35.8
Roko Baturina,CRO,FW,23,Gil Vicente FC,Primeira Liga,7.9,0,0,0,9,17,4,1,0,1,1,0,0,11,28,26,51.9
Tidjany Chabrol,FRA,"FW,MF",21,Gil Vicente FC,Primeira Liga,12.0,6,1,1,12,37,2,28,3,8,1,0,0,49,8,17,32.0
Depú,ANG,FW,23,Gil Vicente FC,Primeira Liga,8.6,2,1,1,6,17,4,0,2,4,1,0,0,16,29,43,40.3
Kiko Vilas Boas,POR,DF,23,Gil Vicente FC,Primeira Liga,6.3,1,0,0,10,10,0,16,7,11,0,0,0,27,12,13,48.0
Jonathan Buatu Mananga,ANG,DF,29,Gil Vicente FC,Primeira Liga,5.0,1,0,0,1,4,0,0,1,4,0,0,0,12,10,6,62.5
Marlon,BRA,"FW,MF",25,Gil Vicente FC,Primeira Liga,4.8,2,0,0,12,4,0,10,3,3,0,1,0,31,0,10,0.0
Felipe Silva Lipe,BRA,DF,21,Gil Vicente FC,Primeira Liga,3.0,0,0,0,4,2,0,0,2,2,0,1,0,12,5,1,83.3
Né lopes,POR,DF,23,Gil Vicente FC,Primeira Liga,2.9,0,0,0,4,3,0,0,4,3,0,0,0,13,7,4,63.6
Jesús Castillo,PER,MF,22,Gil Vicente FC,Primeira Liga,2.7,1,0,0,7,2,0,1,4,5,0,0,0,21,1,2,33.3
Vinicius Dias,BRA,GK,26,Gil Vicente FC,Primeira Liga,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
Miguel Monteiro,POR,FW,20,Gil Vicente FC,Primeira Liga,2.5,0,0,0,1,1,1,0,1,0,0,0,0,5,6,14,30.0
Miro,ANG,"FW,MF",20,Gil Vicente FC,Primeira Liga,1.8,0,0,0,7,4,1,0,1,2,0,0,0,1,4,7,36.4
Roan Wilson,CRC,"MF,DF",21,Gil Vicente FC,Primeira Liga,1.4,0,0,0,1,0,0,0,2,4,0,0,0,9,4,0,100.0
Kazu,BRA,"DF,FW",23,Gil Vicente FC,Primeira Liga,0.6,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0.0
Afonso Bastardo,POR,"FW,DF",18,Gil Vicente FC,Primeira Liga,0.5,0,0,0,1,0,0,2,1,1,0,0,0,4,0,0,0.0
Thomas Luciano,BRA,DF,21,Gil Vicente FC,Primeira Liga,0.3,1,0,0,1,0,0,3,0,1,0,0,0,0,2,2,50.0
André Simões,POR,FW,19,Gil Vicente FC,Primeira Liga,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
Rafik Guitane,FRA,"FW,MF",24,Estoril,Primeira Liga,30.1,0,0,0,11,56,6,64,7,9,0,0,0,129,0,12,0.0
Bernardo Vital,POR,DF,22,Estoril,Primeira Liga,28.3,5,1,0,35,31,0,4,23,21,0,1,0,125,42,39,51.9
Tiago Araújo,POR,"DF,MF",22,Estoril,Primeira Liga,25.0,4,0,0,13,16,4,106,27,22,0,0,0,132,17,23,42.5
Rodrigo Gomes,POR,"MF,DF",20,Estoril,Primeira Liga,27.2,5,1,0,24,18,3,48,25,30,0,0,0,113,9,26,25.7
Mateus Fernandes,POR,MF,19,Estoril,Primeira Liga,24.8,6,0,0,51,70,1,90,25,46,0,0,0,150,17,13,56.7
Marcelo Carné,BRA,GK,33,Estoril,Primeira Liga,22.0,3,1,0,0,1,0,0,0,1,0,0,1,25,7,1,87.5
João Marques,POR,"MF,FW",21,Estoril,Primeira Liga,21.9,8,0,0,34,50,3,29,11,25,0,0,0,86,26,36,41.9
Pedro Álvaro,POR,DF,23,Estoril,Primeira Liga,19.9,6,1,0,28,6,1,2,23,7,0,0,1,70,40,40,50.0
Cassiano,BRA,FW,34,Estoril,Primeira Liga,17.9,2,0,0,34,20,14,5,0,20,0,0,0,25,32,54,37.2
Volnei Feltes,BRA,DF,23,Estoril,Primeira Liga,16.4,4,0,0,20,5,0,19,21,15,0,1,1,81,27,19,58.7
Heriberto Tavares,POR,"FW,MF",26,Estoril,Primeira Liga,13.9,5,0,0,24,22,9,41,4,9,0,1,0,56,7,18,28.0
Jordan Holsgrove,SCO,MF,23,Estoril,Primeira Liga,13.0,6,1,0,17,15,0,50,15,25,0,0,0,78,8,18,30.8
Alejandro Marqués,VEN,FW,22,Estoril,Primeira Liga,15.1,3,0,0,34,8,4,1,3,7,0,0,0,22,17,49,25.8
João Othavio Basso,BRA,DF,26,Estoril,Primeira Liga,13.4,2,0,0,17,5,0,4,16,18,0,0,0,50,28,30,48.3
Vinícius Zanocelo,BRA,MF,22,Estoril,Primeira Liga,12.4,3,0,0,14,7,1,3,10,9,0,0,0,65,12,8,60.0
Daniel Leite,POR,GK,25,Estoril,Primeira Liga,12.0,1,0,0,0,0,0,0,0,2,0,0,0,19,2,0,100.0
Eliaquim Mangala,FRA,DF,32,Estoril,Primeira Liga,11.6,3,0,0,13,0,0,0,21,7,0,0,0,38,16,13,55.2
Wagner Pina,CPV,"MF,DF",20,Estoril,Primeira Liga,12.2,3,0,0,22,17,8,19,8,24,0,0,0,57,15,16,48.4
Raúl Parra,ESP,DF,23,Estoril,Primeira Liga,6.3,1,0,0,7,6,0,26,2,5,0,0,0,21,1,1,50.0
Koba Koindredi,FRA,MF,21,Estoril,Primeira Liga,6.3,0,0,0,16,12,0,16,11,5,0,0,0,48,3,9,25.0
Erick Cabaco,URU,DF,28,Estoril,Primeira Liga,3.7,0,0,0,4,1,0,0,7,4,0,0,0,16,5,7,41.7
Fabrício Garcia,CPV,"FW,MF",22,Estoril,Primeira Liga,3.7,1,0,0,6,17,0,4,1,10,0,0,0,16,0,3,0.0
Michel Costa,BRA,MF,21,Estoril,Primeira Liga,3.3,0,0,0,6,8,0,4,2,4,0,0,0,19,3,2,60.0
Mor Ndiaye,SEN,MF,22,Estoril,Primeira Liga,2.8,2,0,0,2,6,0,0,1,3,0,0,0,11,5,6,45.5
Ivan Pavlic,BEL,MF,21,Estoril,Primeira Liga,2.0,0,0,0,9,3,0,8,1,2,0,0,0,8,5,5,50.0
Alexandre Miguel Barros Soares,POR,MF,32,Estoril,Primeira Liga,2.8,0,0,0,3,6,0,2,3,4,0,0,0,17,1,4,20.0
João Carlos,BRA,"FW,DF",28,Estoril,Primeira Liga,3.5,4,0,0,15,6,0,1,1,1,0,0,0,9,21,23,47.7
Frederik Winther,DEN,DF,22,Estoril,Primeira Liga,1.3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,25.0
Nemanja Jović,SRB,MF,20,Estoril,Primeira Liga,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Harouna Sy,FRA,FW,27,Estoril,Primeira Liga,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
Rodrigo Martins,POR,"DF,FW",24,Estoril,Primeira Liga,0.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0
Leo Cordeiro,BRA,MF,27,Estrela,Primeira Liga,29.0,5,0,0,37,42,1,12,19,40,0,0,0,186,16,17,48.5
Léo Jabá,BRA,"FW,MF",24,Estrela,Primeira Liga,24.7,3,1,0,42,42,16,80,12,23,0,0,0,110,28,30,48.3
Gaspar,ANG,DF,25,Estrela,Primeira Liga,26.1,9,0,0,32,16,1,12,40,36,0,1,0,154,81,29,73.6
Bruno Brigido,BRA,GK,32,Estrela,Primeira Liga,26.0,0,0,0,0,7,0,0,0,2,0,0,1,29,4,0,100.0
Hevertton Santos,BRA,"DF,MF",22,Estrela,Primeira Liga,21.9,3,1,0,16,14,1,106,20,18,0,0,0,99,39,32,54.9
Aloísio Souza Genézio,BRA,MF,27,Estrela,Primeira Liga,16.6,6,0,0,30,17,0,6,24,30,0,0,0,96,21,14,60.0
Miguel Lopes,POR,DF,36,Estrela,Primeira Liga,14.7,2,1,0,14,10,1,3,18,24,0,0,0,66,26,22,54.2
João Reis,POR,"DF,MF",31,Estrela,Primeira Liga,16.1,3,0,0,10,25,1,35,24,24,0,0,0,90,17,17,50.0
Ronald,BRA,"MF,FW",22,Estrela,Primeira Liga,14.7,4,0,0,23,50,9,23,4,8,0,0,0,69,10,22,31.3
Kikas,POR,"FW,MF",24,Estrela,Primeira Liga,17.3,4,0,0,21,16,20,35,1,3,0,0,0,50,21,56,27.3
Mansur,BRA,DF,30,Estrela,Primeira Liga,15.6,6,2,2,19,4,0,18,13,19,0,1,0,92,44,39,53.0
André Inácio,BRA,"FW,MF",21,Estrela,Primeira Liga,13.3,2,0,0,9,38,8,24,4,10,0,0,0,51,19,17,52.8
Ronaldo Tavares,POR,FW,26,Estrela,Primeira Liga,12.8,2,0,0,21,8,7,18,2,4,0,0,0,24,39,39,50.0
Joneston Omurwa,KEN,DF,24,Estrela,Primeira Liga,12.7,3,0,0,10,5,1,0,21,12,0,0,0,67,21,14,60.0
Rúben Lima,POR,"DF,MF",33,Estrela,Primeira Liga,10.3,3,0,0,10,9,1,36,8,8,0,0,0,36,15,11,57.7
Pedro Mendes,POR,DF,32,Estrela,Primeira Liga,9.0,1,0,0,10,14,0,0,15,9,0,1,0,27,16,12,57.1
Jean Felipe,BRA,"MF,DF",29,Estrela,Primeira Liga,12.8,0,0,0,5,9,1,87,10,18,0,0,0,60,8,7,53.3
Régis N’Do,BFA,"FW,MF",22,Estrela,Primeira Liga,11.0,7,1,1,19,19,5,31,3,9,0,0,0,62,12,23,34.3
Leonel Bucca,ARG,"MF,FW",24,Estrela,Primeira Liga,9.1,4,0,0,21,14,0,12,4,23,0,0,0,65,9,8,52.9
Vitó Ferreira,POR,MF,25,Estrela,Primeira Liga,6.4,0,0,0,14,4,0,16,4,7,0,0,0,49,6,3,66.7
Eulânio Ângelo Chipela Gomes,GNB,MF,29,Estrela,Primeira Liga,6.5,2,0,0,6,7,1,12,5,5,0,0,0,27,7,8,46.7
Nilton Varela,POR,"DF,MF",22,Estrela,Primeira Liga,6.2,2,0,0,8,14,0,35,4,15,0,0,0,25,10,1,90.9
Nkanyiso Shinga,RSA,"DF,MF",23,Estrela,Primeira Liga,5.7,0,0,0,4,2,0,12,7,11,0,0,0,24,5,7,41.7
Pedro Sá,POR,MF,29,Estrela,Primeira Liga,7.2,1,0,0,10,13,0,14,6,4,0,0,0,43,7,6,53.8
Almeida,BRA,DF,23,Estrela,Primeira Liga,5.4,1,0,0,9,4,0,0,3,5,0,0,0,24,11,9,55.0
Diogo Fonseca,POR,DF,21,Estrela,Primeira Liga,4.8,0,0,0,7,0,0,0,4,4,0,0,0,16,17,8,68.0
Wagner Santos,BRA,GK,25,Estrela,Primeira Liga,4.7,0,1,0,1,2,0,0,0,0,0,1,0,8,1,0,100.0
Rodrigo Pinho,BRA,FW,32,Estrela,Primeira Liga,3.5,2,0,0,4,6,3,2,1,2,0,0,0,5,6,14,30.0
António Filipe de Carvalho,POR,GK,38,Estrela,Primeira Liga,3.0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,100.0
Gustavo Henrique,BRA,"DF,MF",24,Estrela,Primeira Liga,1.4,0,0,0,2,1,1,3,0,2,0,0,0,7,1,10,9.1
Alioune Ndour,SEN,"FW,MF",22,Estrela,Primeira Liga,1.9,1,0,0,1,5,3,1,0,3,0,0,0,12,8,12,40.0
Keliano,ANG,MF,20,Estrela,Primeira Liga,1.3,0,0,0,3,1,0,1,4,3,0,0,0,4,1,2,33.3
Tashan Oakley-Boothe,ENG,"MF,DF",23,Estrela,Primeira Liga,0.6,0,0,0,1,1,0,0,1,0,0,0,0,2,0,1,0.0
Cambila,ANG,GK,21,Estrela,Primeira Liga,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
João Gonçalves,POR,GK,22,Boavista,Primeira Liga,34.0,4,0,0,0,4,0,0,0,1,0,0,0,26,9,3,75.0
Salvador Agra,POR,"FW,DF",31,Boavista,Primeira Liga,27.3,7,0,0,42,46,9,174,16,9,1,0,0,123,5,18,21.7
Róbert Boženík,SVK,FW,23,Boavista,Primeira Liga,28.6,4,0,0,65,57,24,13,4,10,0,0,0,56,52,73,41.6
Rodrigo Abascal,URU,DF,29,Boavista,Primeira Liga,27.5,8,0,0,35,5,0,41,34,26,0,1,1,132,45,17,72.6
Sebastián Pérez Cardona,COL,MF,30,Boavista,Primeira Liga,24.3,15,2,2,39,50,0,6,22,39,0,1,0,150,14,21,40.0
Gaius Makouta,CGO,MF,26,Boavista,Primeira Liga,25.9,9,0,0,28,52,2,28,20,22,0,0,0,147,46,35,56.8
Miguel Reisinho,POR,MF,24,Boavista,Primeira Liga,23.3,8,0,0,48,33,4,5,21,30,1,1,0,112,58,52,52.7
Bruno Lourenço,POR,"FW,MF",25,Boavista,Primeira Liga,22.4,4,1,0,29,38,6,67,15,15,0,0,0,80,14,21,40.0
Pedro Malheiro,POR,"DF,MF",22,Boavista,Primeira Liga,21.9,9,1,1,39,11,0,71,24,33,0,2,0,123,11,15,42.3
Bruno Onyemaechi,NGA,"DF,MF",24,Boavista,Primeira Liga,21.9,3,0,0,19,25,6,93,24,37,0,0,0,127,21,12,63.6
Chidozie Awaziem,NGA,DF,26,Boavista,Primeira Liga,21.7,7,1,1,24,13,1,1,18,18,0,1,0,123,60,34,63.8
Filipe Ferreira,POR,DF,32,Boavista,Primeira Liga,19.2,4,0,0,17,12,0,45,18,22,0,0,0,85,17,21,44.7
Tiago Fonseca Morais,POR,"FW,MF",19,Boavista,Primeira Liga,15.3,5,2,2,22,41,3,47,10,17,0,0,0,78,1,13,7.1
Vincent Sasso,FRA,DF,32,Boavista,Primeira Liga,14.2,3,0,0,6,13,1,2,14,10,1,0,0,52,32,23,58.2
Ilija Vukotić,MNE,MF,24,Boavista,Primeira Liga,11.1,5,0,0,16,8,0,9,3,16,0,0,0,43,19,11,63.3
Luís Santos,POR,"DF,FW",23,Boavista,Primeira Liga,7.6,3,0,0,9,8,6,30,11,9,0,0,0,38,8,6,57.1
Martim Tavares,POR,"FW,MF",19,Boavista,Primeira Liga,6.0,1,0,0,13,10,1,6,2,3,0,0,0,16,6,11,35.3
Ibrahima Camará,GUI,"MF,DF",24,Boavista,Primeira Liga,5.3,1,1,0,5,4,0,8,4,4,0,0,0,17,5,8,38.5
Masaki Watai,JPN,"FW,MF",24,Boavista,Primeira Liga,4.8,0,0,0,8,3,0,12,5,4,0,0,0,24,1,7,12.5
Joel silva,POR,MF,20,Boavista,Primeira Liga,4.1,1,0,0,10,7,1,8,3,7,0,0,0,22,8,7,53.3
Berna,POR,"FW,DF",19,Boavista,Primeira Liga,3.6,2,0,0,11,7,1,14,5,11,0,0,0,16,7,12,36.8
Jeriel Córdova,VEN,FW,21,Boavista,Primeira Liga,1.7,2,0,0,13,4,3,1,0,0,1,0,0,10,5,6,45.5
Tiago Machado,POR,"MF,FW",19,Boavista,Primeira Liga,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
Carlinhos,BRA,MF,29,Portimonense,Primeira Liga,31.6,11,0,0,37,42,4,127,8,27,0,0,1,170,18,18,50.0
Filipe Relvas,POR,DF,23,Portimonense,Primeira Liga,31.1,4,1,0,22,9,2,17,58,32,0,1,3,118,83,61,57.6
Hélio Varela,CPV,"FW,MF",21,Portimonense,Primeira Liga,30.5,7,0,0,26,69,2,82,15,22,1,0,0,140,30,54,35.7
Pedrão,BRA,DF,26,Portimonense,Primeira Liga,29.3,8,1,0,36,24,1,10,50,29,0,1,0,164,33,28,54.1
Alemão,BRA,DF,20,Portimonense,Primeira Liga,26.3,7,0,0,35,13,3,0,30,34,1,2,0,115,47,32,59.5
Dener,BRA,MF,31,Portimonense,Primeira Liga,19.6,11,0,0,37,13,0,14,26,31,0,0,0,106,25,30,45.5
Nonoca,BRA,MF,25,Portimonense,Primeira Liga,21.3,7,0,0,46,33,0,2,20,54,0,0,0,130,16,20,44.4
Kosuke Nakamura,JPN,GK,28,Portimonense,Primeira Liga,20.0,1,0,0,0,2,0,0,0,0,0,0,1,20,6,0,100.0
Sylvester Jasper,BUL,"FW,MF",21,Portimonense,Primeira Liga,18.6,2,0,0,25,46,6,69,15,12,0,0,0,74,4,26,13.3
Gonçalo Costa,POR,"DF,MF",23,Portimonense,Primeira Liga,19.0,5,1,0,31,14,5,93,27,38,1,0,0,121,22,14,61.1
Guga,POR,"DF,MF",19,Portimonense,Primeira Liga,17.0,6,0,0,18,21,2,38,16,34,0,1,0,85,8,19,29.6
Igor Marques,BRA,"DF,MF",24,Portimonense,Primeira Liga,16.5,5,0,0,29,14,0,48,41,34,0,0,0,117,24,20,54.5
Vinicius Silvestre,BRA,GK,29,Portimonense,Primeira Liga,14.0,1,0,0,0,2,0,0,0,0,0,0,0,6,8,0,100.0
Ronie Carrillo,ECU,"FW,MF",26,Portimonense,Primeira Liga,14.6,1,1,0,23,22,7,4,3,4,0,0,0,32,28,58,32.6
Moustapha Seck,SEN,"DF,MF",27,Portimonense,Primeira Liga,9.8,2,0,0,17,9,4,28,11,19,0,0,0,36,28,22,56.0
Hildeberto Pereira,POR,FW,27,Portimonense,Primeira Liga,9.4,3,0,0,11,17,15,7,2,2,0,0,0,36,13,37,26.0
Taichi Fukui,JPN,MF,19,Portimonense,Primeira Liga,6.6,0,0,0,8,5,0,8,5,5,0,0,0,29,5,3,62.5
Maurício,BRA,MF,34,Portimonense,Primeira Liga,5.0,1,0,0,11,4,0,0,9,8,0,1,0,23,8,4,66.7
Rildo,BRA,"FW,MF",23,Portimonense,Primeira Liga,5.7,3,0,0,17,9,6,3,1,3,0,0,0,16,5,26,16.1
Luan Campos,BRA,"FW,MF",21,Portimonense,Primeira Liga,5.2,2,0,0,6,3,4,9,5,5,0,0,0,14,8,15,34.8
Paulo Estrela Moreira,POR,"MF,FW",24,Portimonense,Primeira Liga,5.9,1,0,0,15,3,0,23,7,7,0,0,0,47,7,8,46.7
Tamble,POR,FW,22,Portimonense,Primeira Liga,4.0,1,0,0,9,3,2,1,1,0,0,0,0,11,6,19,24.0
Midana Cassama,GNB,"FW,MF",20,Portimonense,Primeira Liga,3.2,2,1,0,14,7,2,1,2,3,0,0,0,8,5,13,27.8
Rodrigo Martins,POR,FW,24,Portimonense,Primeira Liga,2.6,1,0,0,6,5,2,8,0,3,0,0,0,19,2,6,25.0
Rafael Alcobia,POR,DF,20,Portimonense,Primeira Liga,2.3,0,0,0,1,2,0,0,1,3,0,0,0,9,4,5,44.4
Paulinho,POR,"FW,MF",23,Portimonense,Primeira Liga,1.9,0,0,0,1,2,1,1,0,0,0,0,0,6,5,2,71.4
Steve Mvoué,CMR,MF,21,Portimonense,Primeira Liga,0.8,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0.0
Zinho,BRA,"FW,MF",20,Portimonense,Primeira Liga,1.6,1,0,0,3,2,1,1,1,3,0,0,0,16,0,8,0.0
Jose Souza,POR,MF,22,Portimonense,Primeira Liga,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Dennis Adeniran,ENG,MF,24,Portimonense,Primeira Liga,0.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0
Davis Nascimento,BRA,MF,20,Portimonense,Primeira Liga,0.0,1,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0.0
Samu,POR,MF,27,Vizela,Primeira Liga,30.7,7,0,0,60,35,1,152,20,37,0,0,0,165,27,32,45.8
Samuel Essende,RDC,FW,25,Vizela,Primeira Liga,29.6,5,0,0,59,48,22,11,3,7,2,0,0,61,120,110,52.2
