player,nationality,position,age,club,league,minutes_90s,GA,PK_scored,FK_scored,CK_scored,OG,psxg,psxg_per_sot,psxg_net,psxg_net90,launched_c,launched,launched_pct,passes,throws,launch_pct,avg_len,gk,gk_launched,gk_avg_len,crosses,crosses_stopped,crosses_stopped_pct,OPA,OPA_per90,avg_dist
Raúl Gudiño,MEX,GK,27,Necaxa,Liga MX,9.5,15,1,0,2,4,13.5,0.31,2.5,0.26,55,158,34.8,196,26,49.0,40.7,96,64.6,50.8,166,4,2.4,1,0.11,8.7
Raúl Lizoain,ESP,GK,33,Cartagena,Segunda Division,19.0,16,0,1,3,0,23.6,0.31,7.6,0.4,157,398,39.4,500,82,45.8,38.2,196,86.2,56.6,389,21,5.4,21,1.11,12.3
Rebollo,ESP,GK,24,Zaragoza,Segunda Division,9.0,10,0,0,3,0,7.4,0.25,-2.6,-0.29,61,114,53.5,181,37,40.9,36.5,69,58.0,42.3,118,5,4.2,10,1.11,13.9
Ricardo Gutiérrez,MEX,GK,26,Mazatlán,Liga MX,5.7,11,2,0,0,1,9.4,0.24,-0.6,-0.11,25,51,49.0,159,26,25.2,30.3,36,30.6,34.1,88,2,2.3,4,0.7,13.5
Riccardo Gagno,ITA,GK,26,Modena,Serie B,21.4,24,2,1,1,1,21.2,0.28,-1.8,-0.08,119,316,37.7,634,75,39.6,35.7,126,51.6,41.4,329,23,7.0,20,0.93,13.0
Riccardo Melgrati,ITA,GK,29,Calcio Lecco 1912,Serie B,22.5,50,5,1,12,0,40.6,0.28,-9.4,-0.42,134,329,40.7,575,84,40.0,35.9,191,51.8,41.9,327,9,2.8,16,0.71,12.9
Robert Kwasigroch,GER,GK,19,Hertha BSC,2. Bundesliga,1.0,0,0,0,0,0,0.8,0.28,0.8,0.84,8,16,50.0,29,3,51.7,37.1,3,33.3,31.0,19,1,5.3,0,0.0,4.3
Robin Himmelmann,GER,GK,34,Kaiserslautern,2. Bundesliga,3.0,7,0,0,0,0,5.9,0.5,-1.1,-0.36,19,62,30.6,105,10,51.4,37.7,13,61.5,49.3,38,1,2.6,1,0.33,13.9
Rodolfo Cota,MEX,GK,36,León,Liga MX,32.0,45,6,0,5,1,41.7,0.29,-2.3,-0.07,96,263,36.5,667,164,27.4,31.9,239,33.5,33.7,458,28,6.1,33,1.03,13.8
Roman Bürki,SUI,GK,32,St. Louis,MLS,33.0,42,7,0,1,2,49.1,0.28,9.1,0.28,192,592,32.4,912,156,48.9,39.9,245,59.6,49.0,466,29,6.2,56,1.7,15.5
