player,nationality,position,age,club,league,minutes_90s,GA,PK_scored,FK_scored,CK_scored,OG,psxg,psxg_per_sot,psxg_net,psxg_net90,launched_c,launched,launched_pct,passes,throws,launch_pct,avg_len,gk,gk_launched,gk_avg_len,crosses,crosses_stopped,crosses_stopped_pct,OPA,OPA_per90,avg_dist
Marvin Schwäbe,GER,GK,28,Köln,Bundesliga,34.0,60,3,0,10,0,62.0,0.36,2.0,0.06,135,372,36.3,1148,101,28.4,31.4,149,30.9,34.3,504,14,2.8,21,0.62,13.4
Marcel Schuhen,GER,GK,30,Darmstadt 98,Bundesliga,31.0,76,1,2,7,2,68.0,0.34,-6.0,-0.19,245,618,39.6,1204,182,36.3,34.8,289,62.6,48.5,453,24,5.3,51,1.65,16.5
Alexander Brunst,GER,GK,28,Darmstadt 98,Bundesliga,3.0,10,0,0,2,0,6.3,0.37,-3.7,-1.25,33,72,45.8,129,13,41.1,36.0,21,90.5,59.6,51,3,5.9,9,3.0,19.1
Walter Benítez,ARG,GK,30,PSV Eindhoven,Eredivisie,32.9,20,3,0,0,2,23.5,0.29,5.5,0.17,122,249,49.0,878,99,23.1,28.0,150,30.7,33.1,301,21,7.0,44,1.34,15.9
Joel Drommel,NED,GK,26,PSV Eindhoven,Eredivisie,1.0,1,0,0,0,0,1.5,0.32,0.5,0.51,4,6,66.7,29,7,10.3,26.9,7,42.9,32.0,7,0,0.0,4,4.0,31.2
Boy Waterman,NED,GK,39,PSV Eindhoven,Eredivisie,0.1,0,0,0,0,0,0.1,0.07,0.1,1.01,1,1,100.0,3,1,0.0,20.7,2,50.0,50.0,2,0,0.0,0,0.0,0.0
Timon Wellenreuther,GER,GK,27,Feyenoord,Eredivisie,17.8,12,1,0,3,0,12.8,0.27,0.8,0.04,71,193,36.8,660,85,25.9,29.3,46,47.8,42.7,170,20,11.8,41,2.31,19.2
Justin Bijlow,NED,GK,25,Feyenoord,Eredivisie,16.2,14,0,0,1,0,13.7,0.35,-0.3,-0.02,57,138,41.3,656,64,17.8,25.6,52,40.4,39.9,142,19,13.4,50,3.08,19.2
Lars Unnerstall,GER,GK,33,Twente,Eredivisie,32.0,34,5,1,4,1,40.1,0.28,7.1,0.22,128,426,30.0,932,156,37.1,34.2,197,40.6,35.6,359,20,5.6,54,1.69,18.6
Przemysław Tytoń,POL,GK,36,Twente,Eredivisie,2.0,2,0,0,0,1,1.9,0.32,0.9,0.47,6,24,25.0,41,9,43.9,40.0,9,66.7,53.7,14,1,7.1,1,0.5,19.0
Mathew Ryan,AUS,GK,31,AZ Alkmaar,Eredivisie,29.0,28,3,1,2,0,31.3,0.27,3.3,0.11,168,352,47.7,988,172,29.4,31.6,124,50.0,41.5,344,30,8.7,42,1.45,17.5
Rome-Jayden Owusu-Oduro,NED,GK,19,AZ Alkmaar,Eredivisie,4.0,7,0,0,1,1,6.0,0.36,0.0,-0.01,22,59,37.3,125,13,39.2,35.3,17,58.8,47.5,44,0,0.0,5,1.25,16.4
Hobie Verhulst,NED,GK,30,AZ Alkmaar,Eredivisie,1.0,4,1,0,0,0,3.5,0.32,-0.5,-0.47,13,26,50.0,37,3,48.6,38.4,9,88.9,65.0,12,0,0.0,0,0.0,11.8
Diant Ramaj,GER,GK,21,Ajax,Eredivisie,20.3,32,1,0,0,1,32.4,0.33,1.4,0.07,123,322,38.2,893,113,32.3,33.0,114,29.8,32.7,263,21,8.0,30,1.48,16.0
Jay Gorter,NED,GK,23,Ajax,Eredivisie,7.4,17,0,0,1,0,13.8,0.41,-3.2,-0.44,33,87,37.9,259,38,30.5,30.2,45,17.8,28.3,91,7,7.7,7,0.95,13.6
Gerónimo Rulli,ARG,GK,31,Ajax,Eredivisie,6.3,12,1,0,1,0,11.4,0.37,-0.6,-0.09,49,104,47.1,305,40,27.9,29.9,36,52.8,43.5,66,6,9.1,13,2.05,15.8
Jasper Cillessen,NED,GK,34,NEC Nijmegen,Eredivisie,29.3,46,5,1,4,0,46.2,0.28,0.2,0.01,170,492,34.6,776,141,45.0,37.0,275,52.0,41.9,535,28,5.2,23,0.78,12.4
Robin Roefs,NED,GK,20,NEC Nijmegen,Eredivisie,4.7,5,0,0,0,0,5.5,0.32,0.5,0.11,36,87,41.4,136,21,44.1,36.9,48,56.3,46.6,88,10,11.4,3,0.64,11.2
Vasilios Barkas,GRE,GK,29,Utrecht,Eredivisie,29.0,42,4,0,5,1,43.6,0.27,2.6,0.09,155,426,36.4,792,137,38.0,34.7,231,54.1,42.3,392,36,9.2,29,1.0,14.7
Mattijs Branderhorst,NED,GK,29,Utrecht,Eredivisie,5.0,5,1,0,0,0,5.1,0.26,0.1,0.02,25,63,39.7,120,20,38.3,35.7,25,68.0,49.0,72,8,11.1,4,0.8,13.6
Nick Olij,NED,GK,27,Sparta R'dam,Eredivisie,34.0,48,3,1,4,1,49.0,0.28,2.0,0.06,307,731,42.0,1242,123,44.0,37.0,236,78.0,58.0,629,37,5.9,38,1.12,14.4
Jeffrey De Lange,NED,GK,25,Go Ahead Eag,Eredivisie,34.0,46,2,0,4,1,46.2,0.25,1.2,0.04,219,651,33.6,1211,127,45.0,37.3,223,47.5,40.7,670,17,2.5,32,0.94,15.3
Ivor Pandur,CRO,GK,23,Fortuna Sittard,Eredivisie,16.0,28,2,1,2,1,25.9,0.31,-1.1,-0.07,89,247,36.0,426,65,37.3,34.2,125,70.4,51.1,225,23,10.2,13,0.81,12.9
Michael Verrips,NED,GK,26,Fortuna Sittard,Eredivisie,12.0,22,0,0,5,1,15.9,0.31,-5.1,-0.43,73,253,28.9,268,21,70.1,49.3,84,77.4,55.2,170,11,6.5,8,0.67,12.5
Luuk Koopmans,NED,GK,29,Fortuna Sittard,Eredivisie,5.0,6,0,0,1,0,7.1,0.38,1.1,0.22,28,105,26.7,116,15,62.1,45.4,35,94.3,66.7,56,7,12.5,9,1.8,21.3
Tom Hendriks,NED,GK,21,Fortuna Sittard,Eredivisie,1.0,0,0,0,0,0,0.3,0.09,0.3,0.28,4,10,40.0,19,6,36.8,34.0,5,60.0,51.0,11,3,27.3,2,2.0,19.8
Andries Noppert,NED,GK,29,Heerenveen,Eredivisie,22.0,43,3,0,2,1,40.4,0.37,-1.6,-0.07,106,269,39.4,574,114,32.9,32.2,137,58.4,44.8,322,20,6.2,16,0.73,12.1
Mickey van der Hart,NED,GK,29,Heerenveen,Eredivisie,12.0,27,1,0,5,1,20.2,0.34,-5.8,-0.48,69,189,36.5,339,43,40.7,34.8,86,59.3,47.7,184,7,3.8,4,0.33,10.0
Jasper Schendelaar,NED,GK,22,Zwolle,Eredivisie,32.0,64,7,0,9,4,60.1,0.28,0.1,0.0,248,633,39.2,1115,183,45.2,37.4,240,53.8,45.9,549,33,6.0,30,0.94,12.5
Mike Hauptmeijer,NED,GK,26,Zwolle,Eredivisie,2.0,3,1,0,0,0,3.9,0.26,0.9,0.44,8,33,24.2,77,15,31.2,32.5,22,40.9,36.9,36,5,13.9,6,3.0,15.6
Nordin Bakker,NED,GK,25,Almere City,Eredivisie,28.8,53,3,0,9,1,55.3,0.32,3.3,0.12,266,838,31.7,844,77,74.3,50.0,234,90.2,65.0,396,28,7.1,32,1.11,12.8
Samuel Şahin-Radlinger,AUT,GK,30,Almere City,Eredivisie,5.2,6,0,0,0,0,6.8,0.29,0.8,0.16,42,163,25.8,150,14,80.0,49.6,43,100.0,66.3,70,3,4.3,13,2.52,16.1
Michael Brouwer,NED,GK,30,Heracles Almelo,Eredivisie,34.0,74,5,2,11,1,68.8,0.29,-4.2,-0.12,207,688,30.1,1037,160,49.5,40.0,308,56.8,47.2,580,30,5.2,18,0.53,10.0
Etienne Vaessen,SUR,GK,28,RKC Waalwijk,Eredivisie,29.4,49,4,1,3,2,50.3,0.27,3.3,0.11,222,617,36.0,1117,144,42.1,37.3,219,67.1,53.9,502,40,8.0,39,1.33,14.7
Jeroen Houwen,NED,GK,27,RKC Waalwijk,Eredivisie,3.6,5,1,0,1,0,5.4,0.27,0.4,0.11,23,79,29.1,118,23,45.8,38.6,37,67.6,53.1,64,0,0.0,3,0.84,15.5
Mark Spenkelink,NED,GK,26,RKC Waalwijk,Eredivisie,1.0,2,0,0,1,0,3.9,0.38,1.9,1.9,7,17,41.2,31,4,32.3,34.2,12,58.3,46.7,17,1,5.9,1,1.0,11.5
Stijn van Gassel,NED,GK,26,Excelsior,Eredivisie,34.0,73,2,0,18,1,60.6,0.3,-11.4,-0.33,332,944,35.2,1311,186,54.4,43.5,266,86.8,61.1,545,42,7.7,20,0.59,10.8
Mio Backhaus,GER,GK,19,Volendam,Eredivisie,32.0,79,1,2,9,0,77.4,0.31,-1.6,-0.05,237,713,33.2,1109,164,43.1,36.7,288,81.6,58.6,513,40,7.8,40,1.25,12.8
Barry Lauwers,NED,GK,23,Volendam,Eredivisie,1.0,7,0,1,1,0,3.9,0.39,-3.1,-3.07,8,26,30.8,42,5,52.4,40.6,4,100.0,57.0,32,4,12.5,1,1.0,10.6
Kayne van Oevelen,NED,GK,19,Volendam,Eredivisie,1.0,2,0,0,0,0,2.8,0.28,0.0,0.0,5,14,35.7,41,9,0.0,34.6,3,0.0,13.7,11,1,9.1,2,2.02,12.4
Eloy Room,CUW,GK,34,Vitesse,Eredivisie,34.0,74,5,0,11,1,70.2,0.29,-2.8,-0.08,235,698,33.7,1137,153,45.0,36.6,262,71.0,51.2,450,18,4.0,25,0.74,13.2
Andriy Lunin,UKR,GK,24,Real Madrid,La Liga,21.0,17,1,0,2,0,21.2,0.31,4.2,0.2,35,99,35.4,548,95,13.7,25.2,116,20.7,28.7,283,27,9.5,23,1.1,12.2
Kepa Arrizabalaga,ESP,GK,28,Real Madrid,La Liga,13.3,9,0,0,0,1,10.0,0.28,2.0,0.15,34,92,37.0,386,57,19.2,27.0,70,25.7,30.6,157,6,3.8,10,0.75,14.7
Thibaut Courtois,BEL,GK,31,Real Madrid,La Liga,3.7,0,0,0,0,0,3.1,0.22,3.1,0.85,10,19,52.6,105,25,16.2,26.7,18,11.1,27.8,47,2,4.3,5,1.36,15.3
Marc-André ter Stegen,GER,GK,31,Barcelona,La Liga,28.0,27,2,0,1,0,27.7,0.25,0.7,0.03,92,167,55.1,871,115,14.4,26.3,163,25.8,30.9,334,13,3.9,31,1.11,15.6
Iñaki Peña,ESP,GK,24,Barcelona,La Liga,10.0,17,0,0,0,0,13.9,0.36,-3.1,-0.31,21,49,42.9,249,46,13.3,23.7,48,33.3,35.5,116,2,1.7,5,0.5,10.6
Paulo Gazzaniga,ARG,GK,31,Girona,La Liga,38.0,46,5,0,8,0,51.1,0.28,5.1,0.13,155,420,36.9,1140,178,25.6,30.0,246,52.0,44.8,534,41,7.7,33,0.87,13.2
Jan Oblak,SVN,GK,30,Atlético Madrid,La Liga,38.0,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,740,180,27.6,31.5,283,46.6,38.7,579,36,6.2,22,0.58,11.8
Unai Simón,ESP,GK,26,Athletic Club,La Liga,35.4,33,1,0,2,4,38.0,0.28,9.0,0.26,220,679,32.4,982,144,48.5,38.7,240,84.6,60.9,450,31,6.9,46,1.3,16.3
Julen Agirrezabala,ESP,GK,22,Athletic Club,La Liga,2.6,4,0,0,0,0,2.4,0.2,-1.6,-0.61,18,49,36.7,78,20,35.9,32.4,22,95.5,64.5,41,2,4.9,3,1.13,15.3
Alex Remiro,ESP,GK,28,Real Sociedad,La Liga,36.4,36,5,0,5,1,37.9,0.26,2.9,0.08,182,440,41.4,1090,111,30.6,32.0,163,65.6,50.9,383,18,4.7,54,1.48,16.9
Unai Marrero,ESP,GK,21,Real Sociedad,La Liga,1.6,3,1,0,0,0,2.9,0.37,-0.1,-0.09,10,25,40.0,37,5,45.9,37.0,8,100.0,63.4,27,1,3.7,4,2.54,20.1
Rui Silva,POR,GK,29,Betis,La Liga,27.5,36,7,2,3,2,37.5,0.26,3.5,0.13,129,380,33.9,772,119,36.0,33.5,183,55.7,43.0,375,31,8.3,34,1.24,14.9
Claudio Bravo,CHI,GK,40,Betis,La Liga,7.0,5,0,0,0,1,5.5,0.27,1.5,0.21,38,80,47.5,169,30,30.2,30.6,60,48.3,40.1,101,4,4.0,6,0.86,12.6
Fran Vieites,ESP,GK,24,Betis,La Liga,3.5,4,0,1,0,0,4.5,0.25,0.5,0.15,13,50,26.0,82,18,37.8,36.5,35,54.3,46.4,65,3,4.6,2,0.57,10.5
Filip Jørgensen,DEN,GK,21,Villarreal,La Liga,36.0,63,6,1,9,1,59.8,0.27,-2.2,-0.06,144,360,40.0,1055,178,24.5,29.7,245,41.6,37.8,650,34,5.2,36,1.0,13.4
Pepe Reina,ESP,GK,40,Villarreal,La Liga,2.0,2,0,0,0,0,1.9,0.21,-0.1,-0.05,6,18,33.3,58,12,24.1,30.2,11,36.4,38.8,38,1,2.6,0,0.0,5.3
Giorgi Mamardashvili,GEO,GK,22,Valencia,La Liga,36.5,41,3,0,4,2,49.2,0.31,10.2,0.28,185,671,27.6,864,142,57.3,41.4,245,71.8,53.4,530,45,8.5,31,0.85,12.3
Jaume Doménech,ESP,GK,32,Valencia,La Liga,0.9,3,0,1,2,0,1.7,0.14,-1.3,-1.52,4,20,20.0,24,2,62.5,40.5,7,71.4,51.4,19,1,5.3,1,1.14,11.4
Cristian,ESP,GK,25,Valencia,La Liga,0.6,1,0,0,1,0,0.5,0.17,-0.5,-0.75,2,5,40.0,15,4,26.7,29.1,3,33.3,32.7,12,0,0.0,0,0.0,8.3
Antonio Sivera,ESP,GK,26,Alavés,La Liga,34.0,38,8,0,3,2,38.4,0.25,2.4,0.07,279,701,39.8,807,116,62.3,44.6,295,67.1,47.8,501,25,5.0,29,0.85,13.1
Jesús Owono,EQG,GK,22,Alavés,La Liga,4.0,8,0,0,1,0,6.4,0.27,-1.6,-0.4,36,77,46.8,88,9,54.5,41.7,31,93.5,66.8,29,4,13.8,8,2.0,15.2
Sergio Herrera,ESP,GK,30,Osasuna,La Liga,31.9,47,0,0,6,0,45.6,0.34,-1.4,-0.04,282,658,42.9,961,100,52.0,40.4,222,71.2,51.2,468,29,6.2,43,1.35,16.4
Aitor Fernández,ESP,GK,32,Osasuna,La Liga,6.1,9,1,0,2,0,6.1,0.26,-2.9,-0.47,47,113,41.6,174,19,56.3,42.5,22,68.2,49.7,69,1,1.4,15,2.45,24.8
David Soria,ESP,GK,30,Getafe,La Liga,37.9,52,5,0,6,0,53.9,0.29,1.9,0.05,339,908,37.3,979,123,66.2,45.8,310,83.9,57.3,458,17,3.7,62,1.63,17.3
Daniel Fuzato,BRA,GK,26,Getafe,La Liga,0.1,2,0,0,1,0,1.3,0.63,-0.7,-9.63,2,7,28.6,6,1,50.0,39.2,4,100.0,71.8,5,1,20.0,0,0.0,10.7
Vicente Guaita,ESP,GK,36,Celta Vigo,La Liga,26.7,39,4,0,5,2,39.7,0.31,2.7,0.1,137,356,38.5,589,134,39.4,35.5,213,58.2,45.3,420,23,5.5,27,1.01,13.3
Iván Villar,ESP,GK,26,Celta Vigo,La Liga,11.3,18,2,0,2,1,16.3,0.31,-0.7,-0.07,39,138,28.3,223,48,35.4,34.4,98,60.2,45.7,136,5,3.7,9,0.8,13.2
Orjan Nyland,NOR,GK,32,Sevilla,La Liga,24.0,27,3,1,1,1,29.8,0.26,3.8,0.16,166,449,37.0,583,108,49.9,39.4,201,78.6,56.4,359,20,5.6,17,0.71,13.5
Marko Dmitrović,SRB,GK,31,Sevilla,La Liga,13.0,25,2,0,3,1,22.6,0.3,-1.4,-0.11,52,148,35.1,314,70,32.5,32.7,79,58.2,45.9,152,11,7.2,15,1.15,15.4
Yassine Bounou,MAR,GK,32,Sevilla,La Liga,1.0,2,0,0,0,0,1.1,0.37,-0.9,-0.88,6,16,37.5,24,4,41.7,36.1,7,85.7,57.4,9,0,0.0,0,0.0,0.0
Predrag Rajković,SRB,GK,27,Mallorca,La Liga,36.0,43,4,1,4,1,41.8,0.27,-0.2,-0.01,322,795,40.5,946,117,60.9,44.7,300,73.0,54.3,502,33,6.6,28,0.78,13.7
Iván Cuéllar,ESP,GK,39,Mallorca,La Liga,1.0,1,0,0,0,0,1.2,0.19,0.2,0.17,1,11,9.1,32,8,31.3,33.0,3,33.3,35.7,6,1,16.7,0,0.0,7.0
Dominik Greif,SVK,GK,26,Mallorca,La Liga,1.0,0,0,0,0,0,0.7,0.16,0.7,0.66,10,18,55.6,23,3,52.2,42.0,9,66.7,54.2,12,0,0.0,1,1.0,23.0
Alvaro Vallés,ESP,GK,26,Las Palmas,La Liga,36.3,44,5,0,5,3,48.7,0.28,7.7,0.21,137,447,30.6,1762,194,21.7,27.3,151,42.4,39.1,521,29,5.6,96,2.65,17.8
Aarón Escandell,ESP,GK,27,Las Palmas,La Liga,1.7,3,0,0,0,0,2.5,0.62,-0.5,-0.3,9,26,34.6,73,10,27.4,30.4,12,50.0,41.3,24,1,4.2,4,2.35,18.0
Stole Dimitrievski,MKD,GK,29,Rayo Vallecano,La Liga,37.0,47,1,1,5,2,46.9,0.31,1.9,0.05,168,598,28.1,928,171,47.1,39.4,267,60.3,48.4,529,23,4.3,38,1.03,14.6
Cárdenas,ESP,GK,26,Rayo Vallecano,La Liga,1.0,1,0,0,0,0,0.9,0.93,-0.1,-0.07,2,15,13.3,36,5,36.1,36.3,4,50.0,53.5,5,0,0.0,2,2.0,17.0
Jeremías Ledesma,ARG,GK,30,Cádiz,La Liga,33.9,47,2,0,6,0,46.4,0.3,-0.6,-0.02,313,785,39.9,897,115,60.4,44.0,284,85.6,62.1,526,53,10.1,45,1.33,12.9
David Gil,ESP,GK,29,Cádiz,La Liga,4.1,8,0,0,0,1,5.3,0.26,-1.7,-0.4,51,125,40.8,104,8,76.9,49.3,48,93.8,63.5,91,7,7.7,0,0.0,7.0
Luís Maximiano,POR,GK,24,Almería,La Liga,33.0,63,4,0,7,0,59.7,0.32,-3.3,-0.1,158,543,29.1,995,146,38.4,35.5,264,61.0,46.3,551,25,4.5,38,1.15,14.5
Fernando,ESP,GK,33,Almería,La Liga,4.0,10,0,0,1,0,8.5,0.37,-1.5,-0.36,22,67,32.8,133,28,39.8,35.6,26,53.8,44.0,72,4,5.6,7,1.75,14.5
Diego Mariño,ESP,GK,33,Almería,La Liga,1.0,2,2,0,0,0,2.1,0.02,0.1,0.05,1,5,20.0,25,6,20.0,24.1,2,0.0,16.5,6,0,0.0,2,2.0,22.7
Augusto Batalla,ARG,GK,27,Granada,La Liga,17.0,28,0,0,6,0,22.6,0.27,-5.4,-0.32,127,354,35.9,566,78,45.8,39.4,122,77.9,55.9,275,23,8.4,18,1.06,14.2
André Ferreira,POR,GK,27,Granada,La Liga,14.9,29,3,0,2,1,27.8,0.33,-0.2,-0.01,73,186,39.2,388,88,31.4,32.2,110,58.2,44.3,195,6,3.1,13,0.87,12.6
Raúl Fernández,ESP,GK,35,Granada,La Liga,3.1,11,0,0,1,1,7.8,0.46,-2.2,-0.71,14,47,29.8,88,10,37.5,35.7,17,82.4,62.1,36,4,11.1,11,3.54,17.3
Marc Martínez,ESP,GK,33,Granada,La Liga,3.0,11,2,0,3,0,12.1,0.46,1.1,0.37,17,39,43.6,74,9,33.8,33.3,24,58.3,46.3,30,0,0.0,10,3.33,23.0
Gianluigi Donnarumma,ITA,GK,24,Paris S-G,Ligue 1,24.1,20,3,0,2,0,30.3,0.25,10.3,0.43,36,94,38.3,641,113,11.4,24.2,131,16.0,23.0,294,15,5.1,23,0.95,13.2
Arnau Tenas,ESP,GK,22,Paris S-G,Ligue 1,5.9,7,0,0,2,0,6.0,0.24,-1.0,-0.17,14,46,30.4,174,19,23.0,29.6,37,16.2,27.1,71,2,2.8,5,0.85,14.8
Keylor Navas,CRC,GK,36,Paris S-G,Ligue 1,4.0,6,1,0,0,0,4.7,0.31,-1.3,-0.33,4,9,44.4,80,12,10.0,23.5,18,5.6,22.2,37,0,0.0,5,1.25,16.3
Philipp Köhn,SUI,GK,25,Monaco,Ligue 1,22.0,32,5,1,6,1,32.0,0.27,1.0,0.05,82,249,32.9,536,91,32.5,32.1,130,57.7,43.5,282,22,7.8,19,0.86,11.3
Radosław Majecki,POL,GK,23,Monaco,Ligue 1,12.0,10,0,0,0,1,14.7,0.29,5.7,0.47,39,121,32.2,296,68,31.1,32.0,80,36.3,33.4,160,13,8.1,7,0.58,11.0
Marco Bizot,NED,GK,32,Brest,Ligue 1,32.0,34,2,0,4,0,36.2,0.27,2.2,0.07,232,482,48.1,908,134,39.3,35.1,188,66.5,47.3,382,18,4.7,41,1.28,15.7
Grégoire Coudert,FRA,GK,24,Brest,Ligue 1,2.0,0,0,0,0,0,0.3,0.07,0.3,0.13,12,36,33.3,70,10,41.4,37.2,10,70.0,55.4,24,0,0.0,2,0.99,23.0
Lucas Chevalier,FRA,GK,21,Lille,Ligue 1,33.0,32,3,0,2,2,35.7,0.26,5.7,0.17,101,344,29.4,1059,121,26.5,29.6,123,51.2,44.5,388,25,6.4,28,0.85,12.7
Vito Mannone,ITA,GK,35,Lille,Ligue 1,1.0,2,0,0,0,0,1.7,0.35,-0.3,-0.26,5,16,31.3,37,1,40.5,35.9,1,100.0,61.0,11,2,18.2,4,3.96,15.0
Marcin Bułka,POL,GK,23,Nice,Ligue 1,34.0,29,5,0,1,1,30.7,0.22,2.7,0.08,74,189,39.2,1086,158,14.4,23.9,147,22.4,25.5,376,32,8.5,21,0.62,12.2
Anthony Lopes,POR,GK,32,Lyon,Ligue 1,31.0,49,4,1,7,1,43.5,0.25,-4.5,-0.15,132,362,36.5,839,156,34.1,32.4,196,38.8,34.1,438,36,8.2,28,0.9,12.4
Rémy Riou,FRA,GK,35,Lyon,Ligue 1,3.0,6,0,1,0,0,4.7,0.33,-1.3,-0.44,5,24,20.8,81,13,16.0,26.1,23,47.8,39.0,32,3,9.4,3,1.0,13.4
Brice Samba,FRA,GK,29,Lens,Ligue 1,33.0,35,6,0,6,1,42.3,0.27,8.3,0.25,163,369,44.2,948,143,31.8,31.5,170,40.0,33.5,388,32,8.2,39,1.18,14.8
Jean-Louis Leca,FRA,GK,37,Lens,Ligue 1,1.0,2,0,0,0,0,1.0,0.49,-1.0,-1.03,1,10,10.0,22,5,31.8,29.0,4,75.0,60.5,8,0,0.0,0,0.0,9.8
Pau López,ESP,GK,28,Marseille,Ligue 1,32.7,39,3,1,7,1,32.6,0.24,-5.4,-0.17,93,325,28.6,1044,113,24.8,29.4,149,44.3,37.3,406,15,3.7,25,0.77,13.9
Rubén Blanco,ESP,GK,28,Marseille,Ligue 1,1.3,2,0,0,0,0,1.3,0.21,-0.7,-0.55,5,12,41.7,41,6,26.8,28.4,10,10.0,27.0,24,4,16.7,1,0.74,10.4
Yehvann Diouf,FRA,GK,23,Reims,Ligue 1,34.0,47,6,1,4,1,42.7,0.27,-3.3,-0.1,124,353,35.1,1135,179,25.2,30.1,157,42.7,36.9,522,38,7.3,46,1.35,14.2
Steve Mandanda,FRA,GK,38,Rennes,Ligue 1,34.0,46,3,0,5,3,38.2,0.25,-4.8,-0.14,134,416,32.2,1017,149,29.9,31.5,192,58.3,43.1,451,36,8.0,37,1.09,15.1
Guillaume Restes,FRA,GK,18,Toulouse,Ligue 1,34.0,46,4,2,6,0,45.3,0.3,-0.7,-0.02,92,285,32.3,702,93,27.4,29.3,193,48.2,38.9,490,7,1.4,16,0.47,10.7
Benjamin Lecomte,FRA,GK,32,Montpellier,Ligue 1,30.0,37,4,2,3,3,36.8,0.24,2.8,0.09,150,436,34.4,781,137,44.2,36.6,221,41.2,36.4,471,29,6.2,13,0.43,9.5
Dimitry Bertaud,COD,GK,25,Montpellier,Ligue 1,4.0,11,0,0,1,0,10.9,0.32,-0.1,-0.02,18,61,29.5,118,26,42.4,38.0,23,47.8,42.5,56,3,5.4,0,0.0,9.6
Matz Sels,BEL,GK,31,Strasbourg,Ligue 1,19.0,24,1,0,2,2,20.0,0.31,-2.0,-0.11,88,226,38.9,505,68,37.4,34.5,113,32.7,33.7,257,6,2.3,19,1.0,13.9
Alaa Bellaarouch,MAR,GK,21,Strasbourg,Ligue 1,15.0,26,3,0,1,1,19.8,0.25,-5.2,-0.35,56,183,30.6,440,57,36.4,34.4,61,37.7,36.0,203,19,9.4,21,1.4,13.4
Alban Lafont,FRA,GK,24,Nantes,Ligue 1,27.7,43,8,0,2,0,42.4,0.31,-0.6,-0.02,123,388,31.7,839,145,34.2,34.0,166,60.8,46.9,385,33,8.6,33,1.19,13.0
Rémy Descamps,FRA,GK,27,Nantes,Ligue 1,6.0,11,1,0,0,0,12.5,0.35,1.5,0.26,51,125,40.8,141,28,51.1,40.3,71,74.6,49.8,116,8,6.9,0,0.0,7.8
Denis Petrić,SRB,GK,35,Nantes,Ligue 1,0.3,1,0,0,1,0,0.3,0.28,-0.7,-2.71,1,2,50.0,7,2,28.6,30.7,0,0.0,0.0,4,0,0.0,0,0.0,0.0
Arthur Desmas,FRA,GK,29,Le Havre,Ligue 1,33.0,43,1,0,5,2,47.0,0.3,6.0,0.18,155,454,34.1,719,135,46.9,37.1,222,52.7,39.1,470,32,6.8,24,0.73,12.5
Mathieu Gorgelin,FRA,GK,32,Le Havre,Ligue 1,1.0,2,1,0,0,0,2.9,0.39,0.9,0.92,3,9,33.3,17,0,47.1,33.1,2,50.0,32.5,12,0,0.0,1,1.0,14.5
Alexandre Oukidja,ALG,GK,35,Metz,Ligue 1,33.2,57,6,1,7,0,52.3,0.26,-4.7,-0.14,209,666,31.4,708,125,57.3,42.4,292,89.0,59.0,569,46,8.1,22,0.66,10.3
Guillaume Dietsch,FRA,GK,22,Metz,Ligue 1,0.8,1,0,0,0,0,0.8,0.31,-0.2,-0.21,6,16,37.5,19,3,47.4,36.4,7,100.0,63.0,14,1,7.1,0,0.0,3.0
Yvon Mvogo,SUI,GK,29,Lorient,Ligue 1,34.0,66,8,1,8,1,63.1,0.27,-1.9,-0.06,139,378,36.8,921,162,29.1,31.4,228,48.2,38.8,591,24,4.1,13,0.38,8.9
Mory Diaw,SEN,GK,30,Clermont Foot,Ligue 1,30.0,54,6,0,5,1,57.1,0.28,4.1,0.14,206,558,36.9,1065,129,42.8,36.7,176,58.0,44.5,439,39,8.9,46,1.53,14.4
Massamba Ndiaye,SEN,GK,21,Clermont Foot,Ligue 1,4.0,6,1,0,1,0,7.8,0.29,1.8,0.45,20,55,36.4,148,28,29.7,30.9,24,45.8,35.1,75,7,9.3,3,0.75,10.1
Ederson,BRA,GK,29,Manchester City,Premier League,30.9,27,3,0,2,1,27.2,0.3,1.2,0.04,114,246,46.3,1120,137,18.3,27.2,114,36.0,36.3,247,25,10.1,50,1.62,17.3
Stefan Ortega,GER,GK,30,Manchester City,Premier League,7.1,7,0,0,1,0,9.0,0.33,2.0,0.28,28,68,41.2,247,24,24.7,27.9,19,36.8,34.4,65,6,9.2,13,1.84,16.8
David Raya,ESP,GK,27,Arsenal,Premier League,32.0,24,2,1,5,1,20.4,0.26,-2.6,-0.08,138,372,37.1,969,159,32.2,30.7,96,62.5,47.5,329,40,12.2,50,1.56,17.9
Aaron Ramsdale,ENG,GK,25,Arsenal,Premier League,6.0,5,0,0,1,0,3.7,0.26,-1.3,-0.22,19,69,27.5,169,30,34.9,33.3,19,52.6,41.4,46,8,17.4,9,1.5,14.6
Alisson,BRA,GK,30,Liverpool,Premier League,28.0,30,1,0,4,1,28.7,0.26,-0.3,-0.01,60,183,32.8,1021,140,14.1,24.7,116,33.6,33.3,299,13,4.3,33,1.18,17.7
Caoimhín Kelleher,IRL,GK,24,Liverpool,Premier League,10.0,11,0,0,3,1,11.3,0.3,1.3,0.13,32,102,31.4,411,52,22.4,27.3,28,35.7,34.9,77,5,6.5,13,1.3,17.0
