player,nationality,position,age,club,league,minutes_90s,passes,passes_live,passes_dead,passes_fk,through_balls,passes_switches,crosses,throw_ins,CK,CK_in,CK_out,CK_s,passes_completed,passes_offside,passes_blocked
Erick Marcus,BRA,"MF,FW",18,Vasco da Gama,Brazilian League,4.4,182,174,7,1,1,0,27,0,5,4,0,0,134,1,7
Mateus Cocão,BRA,MF,20,Vasco da Gama,Brazilian League,3.9,231,226,5,4,1,1,7,0,1,0,1,0,205,0,2
Rayan Vitor,BRA,"FW,MF",16,Vasco da Gama,Brazilian League,2.9,80,78,2,0,1,2,1,1,0,0,0,0,62,0,1
Cauan Barros,BRA,MF,18,Vasco da Gama,Brazilian League,2.6,83,80,3,2,0,0,1,0,0,0,0,0,72,0,0
José Vitor,BRA,DF,20,Vasco da Gama,Brazilian League,1.2,63,63,0,0,0,1,2,0,0,0,0,0,54,0,1
Gabriel Carabajal,ARG,MF,31,Vasco da Gama,Brazilian League,1.4,108,86,20,13,1,3,20,0,7,5,2,0,66,2,4
Eguinaldo,BRA,"FW,MF",18,Vasco da Gama,Brazilian League,0.7,12,10,1,0,0,0,0,0,0,0,0,0,6,1,0
Rwan,BRA,"MF,FW",21,Vasco da Gama,Brazilian League,0.4,10,9,1,1,0,0,1,0,0,0,0,0,8,0,0
Gabriel Dias,BRA,DF,28,Vasco da Gama,Brazilian League,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Paulo Victor,BRA,DF,21,Vasco da Gama,Brazilian League,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Felipe,BRA,GK,26,Bahia,Brazilian League,37.0,1138,762,373,122,0,6,0,0,0,0,0,0,793,3,1
Thaciano,BRA,"MF,FW",27,Bahia,Brazilian League,32.1,1083,1046,32,25,2,7,21,3,0,0,0,0,880,5,11
Kanu,BRA,DF,25,Bahia,Brazilian League,32.3,1576,1461,111,101,2,25,1,4,0,0,0,0,1411,4,8
Rezende,BRA,"MF,DF",28,Bahia,Brazilian League,30.1,1326,1270,53,40,2,1,11,13,0,0,0,0,1121,3,35
Cauly Oliveira Souza,BRA,"MF,FW",27,Bahia,Brazilian League,28.3,1384,1218,159,58,13,8,130,15,84,26,29,1,1028,7,30
Vitor Hugo,BRA,DF,31,Bahia,Brazilian League,23.7,1045,1006,37,26,1,5,0,2,0,0,0,0,896,2,9
Everaldo Stum,BRA,FW,31,Bahia,Brazilian League,24.2,473,416,55,1,2,5,21,0,0,0,0,0,296,2,13
Nicolás Acevedo,URU,MF,23,Bahia,Brazilian League,21.9,1237,1190,46,40,3,8,11,6,0,0,0,0,1029,1,29
Gilberto,BRA,DF,29,Bahia,Brazilian League,20.6,1204,984,215,27,5,12,50,188,0,0,0,0,979,5,31
Ademir Santos,BRA,"FW,MF",27,Bahia,Brazilian League,19.3,610,547,60,7,1,7,93,19,34,23,6,0,415,3,24
Yago,BRA,MF,27,Bahia,Brazilian League,15.1,673,642,30,24,0,9,12,6,0,0,0,0,569,1,15
Biel,BRA,"FW,MF",21,Bahia,Brazilian League,15.1,404,355,49,9,5,4,51,5,35,13,19,0,292,0,10
Camilo Cándido,URU,DF,27,Bahia,Brazilian League,13.8,739,591,143,22,1,3,46,120,1,1,0,0,544,5,12
Gabriel,BRA,DF,21,Bahia,Brazilian League,10.9,517,491,26,22,0,8,0,2,0,0,0,0,407,0,3
David Duarte,BRA,DF,28,Bahia,Brazilian League,9.6,459,436,20,20,0,1,0,0,0,0,0,0,381,3,1
Cicinho,BUL,DF,34,Bahia,Brazilian League,8.4,384,293,88,16,0,3,23,72,0,0,0,0,305,3,17
Rafael Ratão,BRA,"FW,MF",27,Bahia,Brazilian League,8.7,319,313,6,3,2,1,8,3,0,0,0,0,245,0,6
Vinicius Mingotti,BRA,FW,23,Bahia,Brazilian League,7.3,85,67,18,0,0,0,0,0,0,0,0,0,64,0,0
Vítor Jacaré,BRA,"DF,MF",23,Bahia,Brazilian League,9.5,469,379,88,14,1,5,55,67,7,3,2,0,333,2,14
Jhoanner Chávez,ECU,"DF,MF",20,Bahia,Brazilian League,6.5,334,269,65,5,0,0,15,60,0,0,0,0,258,0,10
Luciano Juba,BRA,"DF,MF",23,Bahia,Brazilian League,7.2,365,275,88,25,0,0,50,40,23,10,11,0,258,2,14
Matheus Bahia,BRA,"DF,MF",23,Bahia,Brazilian League,5.5,269,216,52,3,1,2,19,48,1,0,0,0,187,1,9
Kayky Chagas,BRA,"FW,MF",19,Bahia,Brazilian League,4.6,144,131,13,0,1,0,12,1,12,7,0,1,109,0,5
Ryan Carlos,BRA,DF,20,Bahia,Brazilian League,6.4,408,347,60,6,0,4,34,54,0,0,0,0,311,1,18
Raul Bicalho,BRA,DF,23,Bahia,Brazilian League,3.6,197,190,7,5,0,4,0,2,0,0,0,0,165,0,0
Arthur Sales,BRA,"FW,MF",20,Bahia,Brazilian League,3.2,124,110,14,0,1,0,3,1,3,1,0,0,97,0,4
Lucas Mugni,ARG,"MF,FW",31,Bahia,Brazilian League,4.0,210,190,20,11,0,0,20,2,5,2,1,0,154,0,5
Léo Cittadini,BRA,MF,28,Bahia,Brazilian League,1.5,93,90,3,3,0,0,1,0,0,0,0,0,81,0,1
André,BRA,DF,19,Bahia,Brazilian League,1.4,79,65,14,0,0,0,9,14,0,0,0,0,63,0,1
Danilo Fernandes,BRA,GK,34,Bahia,Brazilian League,0.4,14,9,5,1,0,0,0,0,0,0,0,0,9,0,0
Diego Rosa,BRA,"MF,DF",20,Bahia,Brazilian League,2.7,140,127,13,8,1,3,6,3,2,1,1,0,110,0,3
Danielzinho,BRA,"FW,MF",27,Bahia,Brazilian League,0.9,83,79,3,1,3,0,3,0,2,1,0,0,68,1,1
Mateus Claus,BRA,GK,28,Bahia,Brazilian League,0.6,12,5,7,2,0,0,0,0,0,0,0,0,11,0,0
Marcos Victor,BRA,DF,21,Bahia,Brazilian League,0.1,10,8,2,0,0,0,0,2,0,0,0,0,10,0,0
Patrick Verhon,BRA,FW,18,Bahia,Brazilian League,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
João Paulo,BRA,GK,27,Santos,Brazilian League,35.7,914,533,380,108,0,6,0,0,0,0,0,0,611,1,0
Joaquim,BRA,DF,24,Santos,Brazilian League,30.3,1195,1142,44,33,0,13,7,11,0,0,0,0,860,9,18
Marcos Leonardo,BRA,FW,19,Santos,Brazilian League,28.8,425,356,69,1,5,2,11,1,0,0,0,0,313,0,17
Lucas Lima,BRA,"MF,FW",32,Santos,Brazilian League,24.5,1183,977,198,89,7,19,137,21,85,28,36,0,912,8,33
Messias,BRA,DF,28,Santos,Brazilian League,26.6,853,830,19,18,0,5,0,1,0,0,0,0,640,4,2
Rodrigo Fernández,URU,MF,27,Santos,Brazilian League,22.4,899,851,46,44,0,21,7,2,0,0,0,0,709,2,10
Lucas Braga,BRA,"DF,FW",26,Santos,Brazilian League,22.1,663,517,144,16,1,1,39,127,0,0,0,0,518,2,21
Jean Lucas,BRA,MF,24,Santos,Brazilian League,20.1,951,835,112,55,6,13,80,11,46,19,20,0,768,4,30
Dodi,BRA,MF,26,Santos,Brazilian League,19.1,524,480,44,31,1,1,17,2,9,2,4,0,437,0,12
Stiven Mendoza,COL,"FW,MF",30,Santos,Brazilian League,18.6,613,585,24,5,1,3,51,17,2,0,2,0,464,4,31
Dodô,BRA,DF,30,Santos,Brazilian League,15.8,835,703,127,19,0,0,30,108,0,0,0,0,685,5,15
Yeferson Soteldo,VEN,"FW,MF",25,Santos,Brazilian League,17.3,607,543,61,34,2,4,95,6,17,7,8,0,442,3,25
Tomás Rincón,VEN,MF,35,Santos,Brazilian League,13.2,577,542,33,26,3,5,7,6,0,0,0,0,492,2,6
João Othavio Basso,BRA,DF,26,Santos,Brazilian League,12.8,649,622,27,24,0,4,2,3,0,0,0,0,531,0,3
Gabriel Inocêncio,BRA,DF,28,Santos,Brazilian League,14.2,711,562,145,7,0,0,33,137,1,0,0,0,539,4,8
Kevyson,BRA,DF,18,Santos,Brazilian League,10.8,439,351,86,6,0,0,46,80,0,0,0,0,306,2,22
João Lucas,BRA,DF,24,Santos,Brazilian League,9.0,411,314,95,7,0,0,39,87,1,0,0,0,274,2,21
Nonato,BRA,MF,24,Santos,Brazilian League,7.3,251,248,3,2,0,1,2,1,0,0,0,0,205,0,7
Lucas,BRA,DF,21,Santos,Brazilian League,6.8,341,274,66,9,0,0,13,57,0,0,0,0,260,1,11
Nathan,BRA,DF,21,Santos,Brazilian League,5.5,228,174,54,3,0,0,13,51,0,0,0,0,178,0,7
Julio Furch,ARG,"FW,MF",33,Santos,Brazilian League,6.8,195,186,8,1,0,1,7,0,0,0,0,0,126,1,8
Angelo Borges,BRA,"FW,MF",18,Santos,Brazilian League,6.0,172,167,3,0,2,0,8,3,0,0,0,0,122,2,8
Alex,BRA,DF,23,Santos,Brazilian League,5.1,244,237,7,7,0,1,0,0,0,0,0,0,221,0,2
Deivid Washington,BRA,FW,17,Santos,Brazilian League,4.7,79,69,8,1,0,0,0,0,0,0,0,0,57,2,3
Guilherme Camacho,BRA,MF,32,Santos,Brazilian League,5.0,257,235,19,18,2,1,4,0,1,0,0,0,215,3,4
Maximiliano Silvera,URU,"MF,FW",25,Santos,Brazilian League,5.0,124,122,2,0,0,0,2,1,0,0,0,0,94,0,5
Eduardo Gabriel,BRA,DF,26,Santos,Brazilian League,3.0,106,98,8,7,0,0,0,1,0,0,0,0,89,0,3
Daniel Ruiz Rivera,COL,"FW,MF",21,Santos,Brazilian League,2.7,104,88,15,3,0,1,19,1,11,2,9,0,68,1,7
Vladimir,BRA,GK,33,Santos,Brazilian League,2.3,54,31,22,4,0,0,0,0,0,0,0,0,37,1,0
Sandry,BRA,MF,20,Santos,Brazilian League,2.1,106,101,5,3,0,5,8,0,2,0,0,0,85,0,3
Alison,BRA,MF,29,Santos,Brazilian League,1.5,63,63,0,0,0,0,0,0,0,0,0,0,51,0,1
Luan Dias,BRA,"MF,FW",25,Santos,Brazilian League,2.1,61,50,11,6,0,0,11,0,4,1,2,0,39,0,3
Júnior Caiçara,BRA,DF,33,Santos,Brazilian League,1.9,131,108,23,2,0,0,15,19,2,1,1,0,101,0,5
Lucas Barbosa,BRA,"FW,MF",21,Santos,Brazilian League,1.1,40,40,0,0,0,1,2,0,0,0,0,0,16,0,0
Felipe Jonatan,BRA,DF,24,Santos,Brazilian League,1.0,81,72,9,0,0,0,7,9,0,0,0,0,69,0,2
Alfredo Morelos,COL,"FW,MF",26,Santos,Brazilian League,0.9,44,43,0,0,0,1,1,0,0,0,0,0,31,1,2
Bruno Mezenga,BRA,"FW,MF",34,Santos,Brazilian League,1.9,76,68,8,0,0,0,0,0,0,0,0,0,50,0,5
Weslley Patati,BRA,"FW,MF",19,Santos,Brazilian League,1.5,65,58,4,1,1,2,8,1,2,1,0,0,47,3,3
Maicon,BRA,DF,34,Santos,Brazilian League,0.5,17,17,0,0,0,0,0,0,0,0,0,0,12,0,0
Ed Carlos,BRA,"MF,FW",21,Santos,Brazilian League,0.4,41,37,4,2,0,0,2,1,1,1,0,0,34,0,1
Miguel Terceros,BOL,"MF,FW",18,Santos,Brazilian League,0.4,18,15,3,1,0,0,2,0,2,2,0,0,15,0,1
Jair Paula,BRA,DF,17,Santos,Brazilian League,0.4,17,17,0,0,0,0,0,0,0,0,0,0,13,0,0
Vinicius,BRA,MF,23,Santos,Brazilian League,0.3,6,5,1,1,0,0,0,0,0,0,0,0,2,0,0
Cadu,BRA,DF,20,Santos,Brazilian League,0.2,11,8,3,0,0,0,1,3,0,0,0,0,8,0,1
Ivonei,BRA,MF,20,Santos,Brazilian League,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Luiz Felipe,BRA,DF,29,Santos,Brazilian League,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tadeu,BRA,GK,30,Goiás,Brazilian League,35.0,1205,759,436,143,0,7,0,0,0,0,0,0,837,10,1
Maguinho,BRA,DF,30,Goiás,Brazilian League,31.7,1229,969,258,11,2,7,57,247,0,0,0,0,866,2,35
Bruno Melo,BRA,DF,30,Goiás,Brazilian League,32.1,1436,1343,86,71,0,19,4,7,0,0,0,0,1237,7,12
Everton Morelli,BRA,MF,25,Goiás,Brazilian League,28.7,979,931,45,29,2,5,16,14,0,0,0,0,796,3,22
Lucas Halter,BRA,DF,22,Goiás,Brazilian League,28.7,1229,1163,58,49,1,10,4,2,0,0,0,0,1010,8,12
Willian,BRA,MF,29,Goiás,Brazilian League,24.4,1050,1012,35,32,2,9,2,3,0,0,0,0,885,3,12
Guilherme,BRA,MF,31,Goiás,Brazilian League,20.6,918,729,187,74,3,9,153,16,93,59,24,8,684,2,15
Julián Palacios,ARG,"FW,MF",23,Goiás,Brazilian League,18.1,596,496,93,30,10,1,88,25,33,8,24,0,420,7,20
Anderson,BRA,"FW,MF",24,Goiás,Brazilian League,14.3,484,472,9,4,4,2,19,3,2,1,1,0,360,3,26
Sander,BRA,DF,32,Goiás,Brazilian League,17.1,1004,757,239,33,1,2,111,174,32,3,27,0,755,8,22
Hugo,BRA,DF,25,Goiás,Brazilian League,15.8,737,567,165,19,2,7,46,141,5,1,4,0,517,5,19
Allano,BRA,FW,27,Goiás,Brazilian League,13.7,421,408,10,2,6,2,13,6,2,0,0,0,307,3,19
Vinícius,BRA,FW,29,Goiás,Brazilian League,13.0,496,473,21,2,0,11,55,12,4,4,0,0,326,2,24
Zé Ricardo,BRA,MF,23,Goiás,Brazilian League,11.9,669,620,41,36,3,12,4,5,0,0,0,0,555,8,10
João Magno,BRA,FW,25,Goiás,Brazilian League,10.9,156,134,21,0,1,0,3,0,0,0,0,0,99,1,7
Dieguinho,BRA,"DF,FW",27,Goiás,Brazilian League,12.0,545,462,81,14,1,6,27,59,8,0,8,0,436,2,9
Sidimar,BRA,DF,30,Goiás,Brazilian League,11.2,385,359,25,21,0,4,1,0,0,0,0,0,329,1,1
Matheus Peixoto,BRA,FW,27,Goiás,Brazilian League,9.8,156,134,20,0,1,0,3,0,0,0,0,0,111,2,6
Matheus Babi,BRA,FW,25,Goiás,Brazilian League,9.8,177,157,20,0,0,3,1,0,0,0,0,0,124,0,6
Raphael Guzzo,POR,MF,28,Goiás,Brazilian League,6.4,313,289,23,8,1,2,11,11,4,1,3,0,264,1,7
Luis Oyama,BRA,MF,26,Goiás,Brazilian League,6.2,237,232,5,5,1,4,2,0,0,0,0,0,195,0,5
Bruno Araújo dos Santos,BRA,DF,29,Goiás,Brazilian League,5.0,217,155,61,2,0,3,7,59,0,0,0,0,166,1,6
EDU,BRA,DF,22,Goiás,Brazilian League,4.8,222,211,10,6,0,0,1,1,0,0,0,0,188,1,1
Diego Gonçalves,BRA,"FW,MF",28,Goiás,Brazilian League,4.0,115,106,7,1,1,3,6,1,2,0,0,0,87,2,2
Alesson,BRA,"FW,MF",23,Goiás,Brazilian League,7.3,214,197,14,2,0,2,23,8,3,2,0,0,130,3,20
Marcelo Rangel,BRA,GK,34,Goiás,Brazilian League,3.0,81,43,38,9,0,0,0,0,0,0,0,0,58,0,1
Apodi,BRA,"FW,MF",36,Goiás,Brazilian League,4.2,58,52,6,0,0,0,6,3,0,0,0,0,35,0,3
Higor Meritão,BRA,MF,28,Goiás,Brazilian League,2.5,101,100,1,1,1,0,1,0,0,0,0,0,87,0,1
Pedro Oliveira,BRA,"FW,MF",18,Goiás,Brazilian League,2.2,39,36,3,0,0,0,1,0,0,0,0,0,31,0,3
Matheus Santos,BRA,"FW,MF",24,Goiás,Brazilian League,2.2,70,62,8,1,1,1,6,7,0,0,0,0,50,0,5
Gabriel Novaes,BRA,FW,23,Goiás,Brazilian League,1.1,18,15,3,0,0,0,0,0,0,0,0,0,13,0,1
Dodô,BRA,"MF,FW",21,Goiás,Brazilian League,3.6,152,128,23,9,0,0,22,1,13,5,8,0,120,1,4
Philippe Costa,BRA,FW,22,Goiás,Brazilian League,1.2,18,17,1,0,0,1,0,0,0,0,0,0,16,0,0
Breno Herculano,BRA,"FW,MF",23,Goiás,Brazilian League,0.9,14,12,2,0,0,0,1,0,0,0,0,0,8,0,1
Xavier,BRA,DF,22,Goiás,Brazilian League,0.7,20,15,5,0,0,0,2,5,0,0,0,0,13,0,1
Lucas Emmanuel,BRA,FW,22,Goiás,Brazilian League,0.6,8,8,0,0,0,0,0,0,0,0,0,0,3,0,0
Mina,BRA,DF,19,Goiás,Brazilian League,0.5,17,17,0,0,0,0,0,0,0,0,0,0,11,0,0
Simioni,BRA,MF,19,Goiás,Brazilian League,0.5,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Fellipe Bastos,BRA,MF,32,Goiás,Brazilian League,0.4,14,10,4,4,0,0,2,0,0,0,0,0,12,0,0
Halerrandrio dos Santos,BRA,MF,16,Goiás,Brazilian League,0.3,3,2,1,1,0,0,2,0,0,0,0,0,1,0,0
Denzel,BRA,FW,20,Goiás,Brazilian League,0.3,6,6,0,0,0,0,0,0,0,0,0,0,4,0,2
Jhonny Lucas,BRA,MF,22,Goiás,Brazilian League,0.2,9,9,0,0,0,0,1,0,0,0,0,0,6,0,0
Gabriel,BRA,GK,30,Coritiba,Brazilian League,30.7,1002,649,349,93,0,2,0,0,0,0,0,0,663,4,0
Robson,BRA,"MF,FW",31,Coritiba,Brazilian League,26.1,722,685,31,8,9,3,53,12,5,2,1,0,457,6,21
Natanael,BRA,DF,21,Coritiba,Brazilian League,27.8,1224,913,311,17,1,0,77,288,6,2,4,0,944,0,37
Marcelino Moreno,ARG,MF,28,Coritiba,Brazilian League,25.6,971,787,172,61,12,6,157,27,79,46,23,0,712,12,21
Bruno Gomes,BRA,MF,21,Coritiba,Brazilian League,24.4,901,824,68,39,3,4,30,6,19,8,7,0,682,9,18
Benjamín Kuscevic,CHI,DF,26,Coritiba,Brazilian League,22.5,952,894,55,50,0,13,2,4,0,0,0,0,782,3,6
Henrique,BRA,DF,36,Coritiba,Brazilian League,22.5,726,685,39,35,1,1,0,1,0,0,0,0,643,2,0
Jamerson,BRA,"DF,FW",24,Coritiba,Brazilian League,21.0,923,723,200,12,0,3,61,182,6,5,1,0,706,0,25
Sebastián Gómez,COL,MF,26,Coritiba,Brazilian League,15.9,544,516,24,12,0,2,14,7,5,5,0,0,454,4,8
Victor Luis,BRA,DF,29,Coritiba,Brazilian League,17.4,867,667,196,42,0,7,68,137,17,14,3,0,646,4,15
Matheus Bianqui,BRA,MF,25,Coritiba,Brazilian League,15.8,466,448,17,10,2,9,9,6,0,0,0,0,329,1,18
Andrey Ramos do Nascimento,BRA,MF,24,Coritiba,Brazilian League,12.5,705,661,43,28,2,6,27,3,12,7,3,0,607,1,10
Willian Farias,BRA,MF,33,Coritiba,Brazilian League,10.7,452,438,14,12,2,3,1,2,0,0,0,0,384,0,8
Thalisson Gabriel,BRA,DF,21,Coritiba,Brazilian League,10.5,464,446,17,15,0,3,1,2,0,0,0,0,380,1,5
Islam Slimani,ALG,FW,34,Coritiba,Brazilian League,9.1,216,188,26,0,0,1,2,0,0,0,0,0,157,2,6
Kaio,BRA,"MF,FW",18,Coritiba,Brazilian League,9.8,246,235,8,3,3,2,17,3,2,2,0,0,173,3,7
Bruno Viana,BRA,DF,27,Coritiba,Brazilian League,9.0,427,401,26,24,1,9,2,0,0,0,0,0,356,0,3
Alef Manga,BRA,"FW,MF",28,Coritiba,Brazilian League,8.9,248,228,18,0,0,2,11,3,2,0,1,0,190,2,7
Diogo,BRA,"FW,MF",26,Coritiba,Brazilian League,8.4,175,151,23,0,0,0,7,2,0,0,0,0,120,1,4
Liziero,BRA,MF,24,Coritiba,Brazilian League,6.5,309,298,10,6,0,4,5,4,0,0,0,0,246,1,5
Zé Roberto,BRA,"FW,MF",29,Coritiba,Brazilian League,5.8,134,120,13,1,0,1,2,0,0,0,0,0,86,1,3
Thiago Dombroski,BRA,DF,20,Coritiba,Brazilian League,5.6,260,253,7,7,0,10,0,0,0,0,0,0,197,0,1
Jean Pedroso,BRA,DF,19,Coritiba,Brazilian League,6.5,284,268,16,15,0,1,0,1,0,0,0,0,234,0,3
Diogo Batista,BRA,"DF,MF",19,Coritiba,Brazilian League,5.9,277,222,54,8,0,3,14,44,2,1,1,0,201,1,6
Rodrigo Pinho,BRA,FW,31,Coritiba,Brazilian League,4.3,71,61,10,0,1,0,1,0,0,0,0,0,46,0,5
Maurício Garcez,BRA,"MF,FW",25,Coritiba,Brazilian League,6.6,137,130,6,1,0,0,9,2,0,0,0,0,92,1,9
Fransérgio,BRA,MF,32,Coritiba,Brazilian League,5.9,298,284,14,14,1,3,3,0,0,0,0,0,234,0,10
Luan Polli,BRA,GK,29,Coritiba,Brazilian League,4.3,108,67,41,11,0,0,0,0,0,0,0,0,72,0,0
Andreas Samaris,GRE,MF,33,Coritiba,Brazilian League,2.0,92,83,9,9,0,1,0,0,0,0,0,0,83,0,1
Gabriel Boschilia,BRA,"MF,FW",26,Coritiba,Brazilian League,3.8,182,162,19,5,2,3,15,4,9,4,3,0,145,1,2
Hayner,BRA,"DF,MF",27,Coritiba,Brazilian League,3.4,142,114,28,1,0,2,12,26,1,0,1,0,96,0,3
Jhon Chancellor,VEN,DF,31,Coritiba,Brazilian League,3.4,101,99,2,2,0,0,0,0,0,0,0,0,80,0,0
Pedro Luccas,BRA,GK,19,Coritiba,Brazilian League,3.0,99,63,36,4,0,1,0,0,0,0,0,0,65,0,0
Edu,BRA,"FW,MF",29,Coritiba,Brazilian League,3.6,84,74,10,1,0,0,5,1,0,0,0,0,54,0,5
Júnior Urso,BRA,MF,33,Coritiba,Brazilian League,3.3,122,117,5,5,0,1,1,0,0,0,0,0,109,0,2
Reynaldo Cesar Moraes,BRA,DF,26,Coritiba,Brazilian League,2.7,82,77,5,1,0,1,2,4,0,0,0,0,63,0,0
Maurício Antônio,BRA,DF,30,Coritiba,Brazilian League,2.0,95,90,5,4,0,2,0,0,0,0,0,0,77,0,2
Marcos Vinicius,BRA,"DF,MF",25,Coritiba,Brazilian League,1.9,89,67,22,3,1,0,7,18,1,0,1,0,51,0,9
William Pottker,BRA,"FW,MF",29,Coritiba,Brazilian League,1.3,40,38,2,0,0,0,2,1,0,0,0,0,28,0,2
Gabriel Silva,BRA,"FW,MF",20,Coritiba,Brazilian League,1.0,22,21,1,0,0,0,0,1,0,0,0,0,16,0,0
Gustavo Vilar,BRA,DF,22,Coritiba,Brazilian League,1.0,59,58,1,1,0,0,0,0,0,0,0,0,50,0,0
Lucas Barbosa,BRA,"MF,FW",21,Coritiba,Brazilian League,1.1,46,43,3,2,0,0,1,1,0,0,0,0,34,0,2
Jesé,ESP,MF,29,Coritiba,Brazilian League,1.1,34,34,0,0,0,0,3,0,0,0,0,0,27,0,0
Lucas Ronier,BRA,"FW,MF",18,Coritiba,Brazilian League,0.6,30,29,1,1,0,0,3,0,0,0,0,0,22,0,2
Wesley Pombo,BRA,MF,20,Coritiba,Brazilian League,0.6,12,10,0,0,0,0,1,0,0,0,0,0,9,2,0
Ruan Lucas,BRA,"MF,FW",18,Coritiba,Brazilian League,0.3,13,13,0,0,0,0,1,0,0,0,0,0,12,0,0
Eberth,BRA,FW,19,Coritiba,Brazilian League,0.3,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Juninho,BRA,MF,35,América (MG),Brazilian League,32.5,973,924,41,21,3,2,45,17,0,0,0,0,699,8,21
Leandro Emmanuel Martínez,ARG,MF,28,América (MG),Brazilian League,28.2,1475,1317,154,62,8,6,109,7,79,24,24,0,1177,4,28
Felipe Azevedo,BRA,"FW,MF",36,América (MG),Brazilian League,19.4,497,472,22,6,0,5,29,6,9,3,1,0,325,3,21
Iago Maidana,BRA,DF,26,América (MG),Brazilian League,24.0,775,737,33,25,0,8,1,2,0,0,0,0,578,5,9
Danilo Avelar,BRA,DF,33,América (MG),Brazilian League,22.0,890,777,107,23,1,4,19,83,0,0,0,0,613,6,15
Gonzalo Mastriani,URU,FW,29,América (MG),Brazilian League,19.9,316,278,36,0,1,0,3,1,0,0,0,0,198,2,8
Marlon,BRA,DF,28,América (MG),Brazilian League,18.6,877,696,180,26,0,4,64,146,8,4,3,0,674,1,32
Ricardo Silva,BRA,DF,30,América (MG),Brazilian League,17.9,634,592,40,36,0,10,2,4,0,0,0,0,489,2,8
Eder,BRA,DF,27,América (MG),Brazilian League,17.4,692,659,32,29,1,11,1,0,0,0,0,0,554,1,0
Lucas Kal,BRA,MF,26,América (MG),Brazilian League,13.7,606,572,32,29,3,4,8,1,0,0,0,0,499,2,8
Matheus Cavichioli,BRA,GK,36,América (MG),Brazilian League,15.0,377,224,152,37,0,1,0,0,0,0,0,0,261,1,1
Rodriguinho,BRA,"DF,MF",19,América (MG),Brazilian League,13.9,642,532,110,14,4,10,67,85,11,4,7,0,471,0,22
Everaldo,BRA,"FW,MF",28,América (MG),Brazilian League,13.7,430,405,23,3,1,3,50,15,5,1,2,0,328,2,13
Ale,BRA,MF,32,América (MG),Brazilian League,15.8,878,841,36,26,0,7,11,7,0,0,0,0,770,1,10
Martín Benítez,ARG,"MF,FW",28,América (MG),Brazilian League,12.4,561,470,88,41,7,11,51,7,32,9,17,1,386,3,13
Breno Cascardo,BRA,MF,19,América (MG),Brazilian League,12.9,589,566,19,14,1,5,6,1,0,0,0,0,491,4,9
Jori,BRA,GK,26,América (MG),Brazilian League,11.0,272,147,125,30,0,2,0,0,0,0,0,0,198,0,0
Mateus Pasinato,BRA,GK,30,América (MG),Brazilian League,10.0,246,155,89,20,0,0,0,0,0,0,0,0,184,2,0
Marcinho,BRA,DF,26,América (MG),Brazilian League,8.9,474,397,76,8,2,10,46,65,3,0,2,0,317,1,11
Aloísio dos Santos Gonçalves,CHN,"FW,MF",34,América (MG),Brazilian League,8.0,161,139,20,0,0,2,6,0,0,0,0,0,99,2,9
Daniel Borges,BRA,DF,29,América (MG),Brazilian League,8.9,494,407,87,12,0,8,44,75,0,0,0,0,381,0,9
Nicolas,BRA,DF,25,América (MG),Brazilian League,8.0,287,226,60,3,0,2,26,52,5,1,3,0,188,1,15
Mateus Henrique,BRA,DF,20,América (MG),Brazilian League,6.0,275,226,48,1,0,2,18,47,0,0,0,0,196,1,7
Júlio César,BRA,DF,19,América (MG),Brazilian League,6.6,313,298,14,9,0,1,0,5,0,0,0,0,271,1,1
Wanderson,BRA,DF,31,América (MG),Brazilian League,5.6,166,157,8,8,0,3,0,0,0,0,0,0,121,1,1
Rodrigo Varanda,BRA,"FW,MF",20,América (MG),Brazilian League,5.7,173,158,14,1,2,0,10,10,0,0,0,0,136,1,7
Renato Marques,BRA,"FW,MF",19,América (MG),Brazilian League,5.7,118,99,17,1,1,1,3,1,0,0,0,0,73,2,6
Pedrinho,BRA,"FW,MF",23,América (MG),Brazilian League,4.6,127,119,7,0,1,3,16,5,2,1,0,0,88,1,6
Esteban Burgos,ARG,DF,31,América (MG),Brazilian League,3.3,89,80,9,9,0,2,0,0,0,0,0,0,67,0,0
Oscar Méndez,URU,MF,28,América (MG),Brazilian League,2.9,74,72,2,1,1,0,1,0,0,0,0,0,57,0,1
Matheusinho,BRA,"MF,FW",24,América (MG),Brazilian League,2.5,103,100,2,0,0,0,12,1,1,0,1,0,73,1,4
Nino Paraíba,BRA,DF,37,América (MG),Brazilian League,2.2,109,91,17,2,0,3,17,15,0,0,0,0,81,1,2
Washington Aguerre,URU,GK,29,América (MG),Brazilian League,2.0,41,17,24,8,0,0,0,0,0,0,0,0,31,0,0
Henrique Almeida,BRA,FW,31,América (MG),Brazilian League,1.7,29,23,6,0,0,0,2,0,0,0,0,0,24,0,1
Paulinho Bóia,BRA,FW,24,América (MG),Brazilian League,1.5,50,50,0,0,0,0,4,0,0,0,0,0,39,0,1
