player,nationality,position,age,club,league,minutes_90s,passes,passes_live,passes_dead,passes_fk,through_balls,passes_switches,crosses,throw_ins,CK,CK_in,CK_out,CK_s,passes_completed,passes_offside,passes_blocked
Junior Kadile,FRA,"FW,MF",20,Stade Laval,Ligue 2,16.1,389,375,14,1,1,3,39,3,0,0,0,0,280,0,21
Junior Moreno,VEN,MF,29,FC Cincinnati,MLS,25.0,1120,1097,21,19,1,3,4,2,0,0,0,0,1011,2,13
Junior Olaitan,BEN,"FW,MF",21,Troyes,Ligue 2,7.6,323,301,19,4,7,4,9,9,5,3,1,0,242,3,12
Junior Senneville,GLP,DF,32,Dunkerque,Ligue 2,0.4,18,18,0,0,0,1,0,0,0,0,0,0,18,0,0
Junior Tchamadeu,CMR,"DF,FW",19,Stoke City,EFL,9.7,389,292,95,4,0,5,17,91,0,0,0,0,278,2,7
Justen Glad,USA,DF,25,RSL,MLS,30.2,1756,1682,70,59,1,39,3,10,0,0,0,0,1541,4,6
Justin Haak,USA,"DF,MF",21,NYCFC,MLS,10.1,533,512,19,19,0,2,1,0,0,0,0,0,475,2,7
Justin Heekeren,GER,GK,22,Schalke 04,2. Bundesliga,2.0,106,90,16,8,0,2,0,0,0,0,0,0,80,0,0
Justin Meram,IRQ,"FW,MF",34,Charlotte,MLS,14.8,662,607,54,7,5,15,70,14,33,18,6,2,516,1,19
Justin Meram,IRQ,"FW,MF",34,RSL,MLS,2.0,86,77,9,4,0,3,10,2,3,3,0,0,61,0,5
Justin Rasmussen,USA,DF,24,Portland Timbers,MLS,3.7,169,128,41,7,0,1,8,33,1,1,0,0,111,0,7
Justin Rennicks,USA,"FW,MF",23,NE Revolution,MLS,4.3,96,93,3,0,0,0,5,1,0,0,0,0,71,0,1
Justin-Noël Kalumba,FRA,"FW,MF",18,Angers,Ligue 2,7.9,200,197,1,0,1,0,19,0,1,1,0,0,148,2,6
Jáder Obrian,COL,"FW,MF",27,FC Dallas,MLS,21.0,485,456,27,4,4,1,16,14,1,0,0,0,358,2,21
Ján Greguš,SVK,MF,32,Nashville,MLS,2.5,196,180,16,13,0,6,1,2,1,0,0,0,165,0,4
Ján Greguš,SVK,MF,32,Minnesota Utd,MLS,10.0,602,550,51,34,1,2,22,3,12,6,5,0,534,1,5
Jérémie Broh,ITA,MF,26,Südtirol,Serie B,8.6,283,265,14,10,2,6,7,2,0,0,0,0,214,4,8
Jérémy Blasco,FRA,DF,25,Huesca,Segunda Division,24.7,1132,1059,69,32,1,7,3,29,0,0,0,0,950,4,5
Jérémy Gélin,FRA,MF,26,Amiens,Ligue 2,20.7,1077,1009,57,49,8,13,23,4,4,2,2,0,839,11,13
Jérémy Livolant,FRA,FW,25,Bordeaux,Ligue 2,25.6,834,778,54,14,5,3,107,15,23,12,9,0,562,2,40
Jérémy Mellot,FRA,DF,30,Tenerife,Segunda Division,31.9,1718,1447,265,27,0,8,66,238,0,0,0,0,1291,6,24
Jérémy Ménez,FRA,"FW,MF",36,Bari,Serie B,4.2,157,147,9,3,1,2,10,0,5,1,3,0,125,1,10
Jérôme Gondorf,GER,MF,35,Karlsruher,2. Bundesliga,25.8,1140,1095,40,26,1,7,16,4,0,0,0,0,901,5,22
Júnior Brumado,BRA,FW,24,Hansa Rostock,2. Bundesliga,16.5,361,348,11,1,2,3,6,0,0,0,0,0,237,2,15
Júnior Urso,BRA,"MF,FW",33,Orlando City,MLS,2.8,116,114,1,1,0,1,0,0,0,0,0,0,90,1,7
Jürgen Damm,MEX,"FW,MF",30,Atlético,Liga MX,5.1,220,214,5,3,0,1,35,2,0,0,0,0,164,1,11
Jürgen Locadia,CUW,"FW,MF",30,Amorebieta,Segunda Division,0.6,18,17,1,0,0,0,0,0,0,0,0,0,13,0,0
Kaan Caliskaner,GER,"FW,MF",23,Braunschweig,2. Bundesliga,4.1,117,113,4,1,0,1,5,0,0,0,0,0,89,0,3
Kacper Przybyłko,POL,FW,29,Fire,MLS,10.8,307,283,20,0,1,0,9,2,1,0,0,0,218,4,5
Kai Andrews,WAL,MF,16,Coventry City,EFL,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1
Kai Klefisch,GER,MF,23,Paderborn 07,2. Bundesliga,21.7,1345,1310,34,33,4,10,6,0,1,0,0,0,1193,1,11
