player,nationality,position,age,club,league,MP,starts,mins,minutes_90s,GA,GA90,shotsOT_a,saves,save_pct,W,D,L,CS,CS_pct,PKatt,PK_scored,PK_save,PK_missed,PK_pct
Matías Dituro,ARG,GK,37,Elche,Segunda Division,21,21,"1,890",21.0,24,1.14,71,47,67.6,8,5,8,8,38.1,1,1,0,0,0.0
Mauro Vigorito,ITA,GK,33,Como,Serie B,1,0,22,0.2,0,0.0,1,1,100.0,0,0,0,1,0.0,0,0,0,0,0.0
Max O'Leary,IRL,GK,26,Bristol City,EFL,46,46,"4,140",46.0,51,1.11,188,138,75.0,17,11,18,13,28.3,5,4,1,0,20.0
Max Weiß,GER,GK,19,Karlsruher,2. Bundesliga,2,2,180,2.0,2,1.0,9,7,77.8,1,0,1,1,50.0,0,0,0,0,0.0
Maxime Crépeau,CAN,GK,28,LAFC,MLS,7,7,630,7.0,7,1.0,17,10,58.8,3,3,1,2,28.6,2,0,1,1,100.0
Maxime Hautbois,FRA,GK,32,Stade Laval,Ligue 2,2,2,180,2.0,1,0.5,4,3,100.0,1,1,0,1,50.0,1,1,0,0,0.0
Mehdi Jeannin,ALG,GK,32,Pau FC,Ligue 2,2,2,180,2.0,2,1.0,7,5,71.4,0,2,0,1,50.0,0,0,0,0,0.0
Melvin Zinga,FRA,GK,21,Angers,Ligue 2,5,5,450,5.0,7,1.4,17,10,64.7,2,0,3,0,0.0,1,1,0,0,0.0
Michael Cooper,ENG,GK,23,Plymouth Argyle,EFL,19,19,"1,710",19.0,24,1.26,84,61,72.6,6,4,9,6,31.6,2,1,1,0,50.0
Michael Langer,AUT,GK,38,Schalke 04,2. Bundesliga,3,2,226,2.5,7,2.79,15,8,66.7,0,0,2,0,0.0,2,2,0,0,0.0
Michele Avella,ITA,GK,23,Brescia,Serie B,5,4,405,4.5,6,1.33,27,20,85.2,1,2,1,1,25.0,3,2,1,0,33.3
Miguel Jiménez Ponce,MEX,GK,33,Guadalajara,Liga MX,16,15,"1,425",15.8,21,1.33,68,46,75.0,7,2,6,5,33.3,5,4,1,0,20.0
Mirko Pigliacelli,ITA,GK,30,Palermo,Serie B,36,36,"3,240",36.0,51,1.42,153,102,68.0,14,10,12,9,25.0,3,2,1,0,33.3
Mohamed Koné,CIV,GK,21,Dunkerque,Ligue 2,15,14,"1,329",14.8,17,1.15,65,48,75.4,6,4,4,4,28.6,2,1,1,0,50.0
