player,nationality,position,age,club,league,MP,starts,mins,minutes_90s,GA,GA90,shotsOT_a,saves,save_pct,W,D,L,CS,CS_pct,PKatt,PK_scored,PK_save,PK_missed,PK_pct
Wéverton,BRA,GK,35,Palmeiras,Brazilian League,35,35,"3,150",35.0,30,0.86,133,103,79.7,19,10,6,15,42.9,4,3,1,0,25.0
Marcelo Lomba,BRA,GK,36,Palmeiras,Brazilian League,3,3,270,3.0,3,1.0,16,13,87.5,1,0,2,1,33.3,1,1,0,0,0.0
Gabriel Chapecó,BRA,GK,22,Grêmio,Brazilian League,31,31,"2,790",31.0,51,1.65,159,109,70.4,14,5,12,5,16.1,4,4,0,0,0.0
Caíque,BRA,GK,25,Grêmio,Brazilian League,4,4,360,4.0,3,0.75,17,14,88.2,4,0,0,2,50.0,1,1,0,0,0.0
Adriel,BRA,GK,22,Grêmio,Brazilian League,2,2,180,2.0,1,0.5,8,7,87.5,2,0,0,1,50.0,0,0,0,0,0.0
Brenno,BRA,GK,23,Grêmio,Brazilian League,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,0.0
Everson,BRA,GK,32,Atlético Mineiro,Brazilian League,36,36,"3,240",36.0,31,0.86,132,102,78.0,17,9,10,14,38.9,2,2,0,0,0.0
Matheus Mendes,BRA,GK,23,Atlético Mineiro,Brazilian League,2,2,180,2.0,1,0.5,8,7,87.5,2,0,0,1,50.0,0,0,0,0,0.0
Matheus Cunha,BRA,GK,21,Flamengo,Brazilian League,19,18,"1,580",17.6,22,1.25,98,75,80.6,9,6,3,5,27.8,4,3,1,0,25.0
Agustín Rossi,ARG,GK,27,Flamengo,Brazilian League,15,15,"1,350",15.0,12,0.8,54,42,81.5,8,3,4,8,53.3,2,2,0,0,0.0
Santos,BRA,GK,32,Flamengo,Brazilian League,6,5,490,5.4,8,1.47,24,16,70.8,2,0,3,2,40.0,1,1,0,0,0.0
Lucas Perri,BRA,GK,25,Botafogo (RJ),Brazilian League,38,38,"3,375",37.5,36,0.96,166,131,78.3,18,10,10,15,39.5,1,0,0,1,0.0
Gatito Fernández,PAR,GK,34,Botafogo (RJ),Brazilian League,1,0,45,0.5,1,2.0,4,3,75.0,0,0,0,0,0.0,0,0,0,0,0.0
Cleiton Schwengber,BRA,GK,25,Red Bull Bragantino,Brazilian League,33,33,"2,970",33.0,27,0.82,116,89,81.9,15,9,9,16,48.5,7,6,1,0,14.3
Lucão,BRA,GK,21,Red Bull Bragantino,Brazilian League,5,5,450,5.0,8,1.6,14,6,50.0,2,2,1,1,20.0,1,1,0,0,0.0
Fábio,BRA,GK,42,Fluminense,Brazilian League,35,35,"3,150",35.0,41,1.17,145,105,75.2,16,7,12,12,34.3,6,5,0,1,0.0
Pedro Rangel,BRA,GK,22,Fluminense,Brazilian League,2,2,180,2.0,5,2.5,10,5,50.0,0,1,1,0,0.0,0,0,0,0,0.0
Vitor Eudes,BRA,GK,24,Fluminense,Brazilian League,1,1,90,1.0,1,1.0,5,4,80.0,0,0,1,0,0.0,0,0,0,0,0.0
Bento,BRA,GK,23,Ath Paranaense,Brazilian League,33,33,"2,970",33.0,37,1.12,140,101,76.4,12,11,10,9,27.3,6,4,2,0,33.3
Leonardo Linck,BRA,GK,21,Ath Paranaense,Brazilian League,5,5,450,5.0,6,1.2,30,23,80.0,2,3,0,1,20.0,1,0,1,0,100.0
Sergio Rochet,URU,GK,29,Internacional,Brazilian League,19,19,"1,710",19.0,25,1.32,82,58,75.6,8,5,6,5,26.3,5,5,0,0,0.0
Keiller,BRA,GK,26,Internacional,Brazilian League,10,10,900,10.0,15,1.5,43,27,67.4,2,2,6,1,10.0,2,1,1,0,50.0
John,BRA,GK,26,Internacional,Brazilian League,9,9,810,9.0,5,0.56,39,34,87.2,5,3,1,5,55.6,0,0,0,0,0.0
João Ricardo Riedi,BRA,GK,34,Fortaleza,Brazilian League,32,32,"2,868",31.9,39,1.22,131,92,72.5,13,5,14,8,25.0,6,3,2,1,40.0
Fernando Miguel,BRA,GK,37,Fortaleza,Brazilian League,6,5,462,5.1,5,0.97,28,23,82.1,2,3,0,1,20.0,1,0,0,1,0.0
Maurício Kozlinski,BRA,GK,31,Fortaleza,Brazilian League,1,1,90,1.0,0,0.0,1,1,100.0,0,1,0,1,100.0,0,0,0,0,0.0
Rafael Pires,BRA,GK,33,São Paulo,Brazilian League,33,33,"2,970",33.0,34,1.03,117,84,76.1,13,8,12,13,39.4,7,6,0,1,0.0
Jandrei,BRA,GK,29,São Paulo,Brazilian League,5,5,450,5.0,4,0.8,17,13,88.2,1,3,1,2,40.0,2,2,0,0,0.0
Walter,BRA,GK,35,Cuiabá,Brazilian League,35,35,"3,150",35.0,35,1.0,139,106,77.7,13,9,13,12,34.3,4,4,0,0,0.0
João Carlos,BRA,GK,34,Cuiabá,Brazilian League,3,3,270,3.0,4,1.33,12,8,66.7,1,0,2,1,33.3,0,0,0,0,0.0
Cássio,BRA,GK,35,Corinthians,Brazilian League,37,37,"3,310",36.8,48,1.31,181,134,76.8,11,14,12,8,21.6,7,6,0,1,0.0
Carlos Miguel,BRA,GK,24,Corinthians,Brazilian League,2,1,110,1.2,0,0.0,6,6,100.0,1,0,0,2,200.0,0,0,0,0,0.0
Rafael Cabral,BRA,GK,32,Cruzeiro,Brazilian League,37,37,"3,330",37.0,32,0.86,139,107,78.4,11,13,13,15,40.5,3,2,0,1,0.0
Anderson,BRA,GK,24,Cruzeiro,Brazilian League,1,1,90,1.0,0,0.0,1,1,100.0,0,1,0,1,100.0,0,0,0,0,0.0
Léo Jardim,BRA,GK,27,Vasco da Gama,Brazilian League,38,38,"3,420",38.0,51,1.34,182,130,74.2,12,9,17,9,23.7,5,4,1,0,20.0
Marcos Felipe,BRA,GK,26,Bahia,Brazilian League,37,37,"3,330",37.0,51,1.38,183,132,75.4,12,8,17,9,24.3,6,6,0,0,0.0
Mateus Claus,BRA,GK,28,Bahia,Brazilian League,1,0,53,0.6,2,3.4,3,1,33.3,0,0,0,0,0.0,0,0,0,0,0.0
João Paulo,BRA,GK,27,Santos,Brazilian League,36,36,"3,211",35.7,51,1.43,181,130,74.0,11,10,15,8,22.2,6,4,1,1,20.0
Vladimir,BRA,GK,33,Santos,Brazilian League,3,2,209,2.3,13,5.6,21,10,38.1,0,0,2,0,0.0,0,0,0,0,0.0
Tadeu,BRA,GK,30,Goiás,Brazilian League,35,35,"3,150",35.0,45,1.29,162,117,74.1,8,11,16,10,28.6,3,3,0,0,0.0
Marcelo Rangel,BRA,GK,34,Goiás,Brazilian League,3,3,270,3.0,8,2.67,14,7,57.1,1,0,2,0,0.0,2,2,0,0,0.0
Gabriel,BRA,GK,30,Coritiba,Brazilian League,31,31,"2,765",30.7,60,1.95,169,110,68.6,7,5,19,6,19.4,8,7,1,0,12.5
Luan Polli,BRA,GK,29,Coritiba,Brazilian League,5,4,385,4.3,9,2.1,30,21,73.3,1,0,3,0,0.0,1,1,0,0,0.0
Pedro Luccas,BRA,GK,19,Coritiba,Brazilian League,3,3,270,3.0,4,1.33,21,17,85.7,0,1,2,0,0.0,1,1,0,0,0.0
Matheus Cavichioli,BRA,GK,36,América (MG),Brazilian League,15,15,"1,348",15.0,31,2.07,76,45,61.8,2,1,12,1,6.7,4,2,2,0,50.0
Jori,BRA,GK,26,América (MG),Brazilian League,11,11,990,11.0,25,2.27,72,48,68.1,1,3,7,0,0.0,2,2,0,0,0.0
Mateus Pasinato,BRA,GK,30,América (MG),Brazilian League,10,10,900,10.0,20,2.0,59,39,67.8,2,4,4,1,10.0,2,1,0,1,0.0
Washington Aguerre,URU,GK,29,América (MG),Brazilian League,2,2,180,2.0,4,2.0,7,3,42.9,0,1,1,0,0.0,0,0,0,0,0.0
Yann Sommer,SUI,GK,34,Inter,Serie A,34,34,"3,060",34.0,19,0.56,98,78,82.7,27,6,1,19,55.9,4,2,1,1,33.3
Emil Audero,ITA,GK,26,Inter,Serie A,4,4,337,3.7,3,0.8,11,8,72.7,2,1,1,2,50.0,0,0,0,0,0.0
Raffaele Di Gennaro,ITA,GK,29,Inter,Serie A,1,0,23,0.3,0,0.0,4,4,100.0,0,0,0,0,0.0,0,0,0,0,0.0
Mike Maignan,FRA,GK,28,Milan,Serie A,29,29,"2,609",29.0,34,1.17,120,86,77.5,19,5,5,10,34.5,7,7,0,0,0.0
Marco Sportiello,ITA,GK,31,Milan,Serie A,7,7,630,7.0,11,1.57,33,23,69.7,3,3,1,2,28.6,1,1,0,0,0.0
Antonio Mirante,ITA,GK,40,Milan,Serie A,2,2,177,2.0,3,1.53,8,5,62.5,0,1,1,0,0.0,0,0,0,0,0.0
Lapo Nava,ITA,GK,19,Milan,Serie A,1,0,3,0.0,1,30.0,2,1,50.0,0,0,0,0,0.0,0,0,0,0,0.0
Wojciech Szczęsny,POL,GK,33,Juventus,Serie A,35,35,"3,150",35.0,30,0.86,108,79,74.1,17,13,5,15,42.9,3,2,1,0,33.3
Mattia Perin,ITA,GK,30,Juventus,Serie A,3,3,225,2.5,1,0.4,5,4,80.0,2,1,0,1,33.3,0,0,0,0,0.0
Carlo Pinsoglio,ITA,GK,33,Juventus,Serie A,1,0,45,0.5,0,0.0,3,3,100.0,0,0,0,1,0.0,0,0,0,0,0.0
Marco Carnesecchi,ITA,GK,23,Atalanta,Serie A,27,27,"2,425",26.9,30,1.11,107,75,75.7,15,5,7,8,29.6,7,4,2,1,33.3
Juan Musso,ARG,GK,29,Atalanta,Serie A,11,11,990,11.0,12,1.09,34,23,70.6,6,1,4,6,54.5,2,2,0,0,0.0
Francesco Rossi,ITA,GK,32,Atalanta,Serie A,1,0,5,0.1,0,0.0,1,1,100.0,0,0,0,1,0.0,0,0,0,0,0.0
Lukasz Skorupski,POL,GK,32,Bologna,Serie A,32,32,"2,880",32.0,29,0.91,106,77,75.5,14,13,5,13,40.6,6,3,1,2,25.0
Federico Ravaglia,ITA,GK,23,Bologna,Serie A,6,6,535,5.9,3,0.5,18,13,83.3,4,1,1,4,66.7,1,0,1,0,100.0
Nicola Bagnolini,ITA,GK,19,Bologna,Serie A,1,0,5,0.1,0,0.0,1,1,100.0,0,0,0,0,0.0,0,0,0,0,0.0
Rui Patrício,POR,GK,35,Roma,Serie A,23,23,"2,070",23.0,27,1.17,74,49,66.2,11,5,7,6,26.1,3,2,0,1,0.0
Mile Svilar,SRB,GK,23,Roma,Serie A,15,15,"1,350",15.0,19,1.27,77,58,76.6,7,4,4,5,33.3,2,1,1,0,50.0
Ivan Provedel,ITA,GK,29,Lazio,Serie A,30,30,"2,699",30.0,33,1.1,119,86,73.9,12,6,12,9,30.0,3,2,0,1,0.0
Christos Mandas,GRE,GK,21,Lazio,Serie A,9,8,721,8.0,6,0.75,29,23,79.3,6,1,1,4,50.0,0,0,0,0,0.0
Pietro Terracciano,ITA,GK,34,Fiorentina,Serie A,33,33,"2,970",33.0,35,1.06,126,90,77.0,15,8,10,8,24.2,7,6,1,0,14.3
Oliver Christensen,DEN,GK,25,Fiorentina,Serie A,4,4,360,4.0,9,2.25,19,10,63.2,1,1,2,0,0.0,2,2,0,0,0.0
Vanja Milinković-Savić,SRB,GK,26,Torino,Serie A,36,36,"3,240",36.0,31,0.86,134,103,81.3,13,14,9,18,50.0,6,6,0,0,0.0
Luca Gemello,ITA,GK,23,Torino,Serie A,2,2,180,2.0,5,2.5,9,4,55.6,0,0,2,0,0.0,1,1,0,0,0.0
Alex Meret,ITA,GK,26,Napoli,Serie A,31,31,"2,773",30.8,40,1.3,104,62,63.5,10,13,8,5,16.1,4,2,2,0,50.0
Pierluigi Gollini,ITA,GK,28,Napoli,Serie A,7,7,630,7.0,8,1.14,24,16,66.7,3,1,3,1,14.3,0,0,0,0,0.0
Nikita Contini Baranovsky,ITA,GK,27,Napoli,Serie A,1,0,17,0.2,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0
Josep Martinez,ESP,GK,25,Genoa,Serie A,36,36,"3,239",36.0,43,1.19,130,87,69.2,11,13,12,8,22.2,4,3,1,0,25.0
Nicola Leali,ITA,GK,30,Genoa,Serie A,3,2,176,2.0,2,1.02,9,7,77.8,1,0,1,0,0.0,0,0,0,0,0.0
Daniele Sommariva,ITA,GK,26,Genoa,Serie A,1,0,5,0.1,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0
Michele Di Gregorio,ITA,GK,26,Monza,Serie A,33,33,"2,872",31.9,35,1.1,159,122,79.9,11,11,11,12,36.4,5,3,2,0,40.0
Alessandro Sorrentino,ITA,GK,21,Monza,Serie A,7,5,548,6.1,16,2.63,32,16,62.5,0,1,4,0,0.0,4,4,0,0,0.0
Lorenzo Montipò,ITA,GK,27,Hellas Verona,Serie A,37,37,"3,330",37.0,49,1.32,153,105,69.3,9,10,18,8,21.6,2,2,0,0,0.0
Simone Perilli,ITA,GK,28,Hellas Verona,Serie A,1,1,90,1.0,2,2.0,10,8,80.0,0,1,0,0,0.0,0,0,0,0,0.0
Wladimiro Falcone,ITA,GK,28,Lecce,Serie A,38,38,"3,420",38.0,54,1.42,173,119,71.7,8,14,16,7,18.4,6,5,1,0,16.7
Maduka Okoye,NGA,GK,23,Udinese,Serie A,21,21,"1,890",21.0,25,1.19,89,65,75.3,5,8,8,5,23.8,3,3,0,0,0.0
Marco Silvestri,ITA,GK,32,Udinese,Serie A,17,17,"1,530",17.0,28,1.65,68,40,67.6,1,11,5,4,23.5,6,6,0,0,0.0
Simone Scuffet,ITA,GK,27,Cagliari,Serie A,31,31,"2,789",31.0,55,1.77,129,76,59.7,8,10,13,3,9.7,3,3,0,0,0.0
Boris Radunović,SRB,GK,27,Cagliari,Serie A,7,7,630,7.0,12,1.71,27,16,55.6,0,2,5,2,28.6,1,0,0,1,0.0
Simone Aresti,ITA,GK,37,Cagliari,Serie A,1,0,1,0.0,1,90.0,1,0,100.0,0,0,0,0,0.0,1,1,0,0,0.0
Elia Caprile,ITA,GK,21,Empoli,Serie A,23,23,"2,070",23.0,27,1.17,106,78,78.3,6,6,11,5,21.7,5,4,1,0,20.0
Etrit Berisha,ALB,GK,34,Empoli,Serie A,14,14,"1,260",14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3
Samuele Perisan,ITA,GK,25,Empoli,Serie A,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,0.0
Stefano Turati,ITA,GK,21,Frosinone,Serie A,31,31,"2,745",30.5,58,1.9,152,94,65.1,6,9,16,4,12.9,7,5,1,1,16.7
Michele Cerofolini,ITA,GK,24,Frosinone,Serie A,8,7,675,7.5,11,1.47,28,18,60.7,2,2,3,3,42.9,1,0,0,1,0.0
Andrea Consigli,ITA,GK,36,Sassuolo,Serie A,35,35,"3,150",35.0,68,1.94,159,93,61.6,6,8,21,3,8.6,10,7,1,2,12.5
Alessio Cragno,ITA,GK,29,Sassuolo,Serie A,3,3,270,3.0,7,2.33,14,8,57.1,1,1,1,0,0.0,1,1,0,0,0.0
Guillermo Ochoa,MEX,GK,38,Salernitana,Serie A,21,21,"1,890",21.0,44,2.1,115,72,67.8,0,6,15,1,4.8,7,7,0,0,0.0
Benoît Costil,FRA,GK,36,Salernitana,Serie A,13,13,"1,170",13.0,29,2.23,66,38,60.6,2,3,8,1,7.7,3,3,0,0,0.0
Vincenzo Fiorillo,ITA,GK,33,Salernitana,Serie A,4,4,360,4.0,8,2.0,26,18,69.2,0,2,2,0,0.0,0,0,0,0,0.0
Lukáš Hrádecký,FIN,GK,33,Leverkusen,Bundesliga,33,33,"2,970",33.0,24,0.73,102,78,76.5,28,5,0,15,45.5,0,0,0,0,0.0
Matej Kovar,CZE,GK,23,Leverkusen,Bundesliga,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,0,0,0,0,0.0
Alexander Nübel,GER,GK,26,Stuttgart,Bundesliga,30,30,"2,700",30.0,36,1.2,107,74,69.2,20,3,7,11,36.7,3,3,0,0,0.0
Fabian Bredlow,GER,GK,28,Stuttgart,Bundesliga,4,4,360,4.0,3,0.75,22,19,86.4,3,1,0,1,25.0,0,0,0,0,0.0
Manuel Neuer,GER,GK,37,Bayern Munich,Bundesliga,23,23,"2,053",22.8,33,1.45,93,59,66.7,16,1,6,6,26.1,3,2,1,0,33.3
Sven Ulreich,GER,GK,34,Bayern Munich,Bundesliga,11,11,990,11.0,12,1.09,31,19,64.5,7,2,2,4,36.4,1,1,0,0,0.0
Janis Blaswich,GER,GK,32,RB Leipzig,Bundesliga,21,21,"1,890",21.0,30,1.43,76,46,65.8,10,4,7,5,23.8,4,4,0,0,0.0
Péter Gulácsi,HUN,GK,33,RB Leipzig,Bundesliga,13,13,"1,170",13.0,9,0.69,41,33,78.0,9,4,0,5,38.5,1,0,0,1,0.0
Gregor Kobel,SUI,GK,25,Dortmund,Bundesliga,27,27,"2,365",26.3,34,1.29,118,84,75.4,14,8,5,7,25.9,6,5,1,0,16.7
Alexander Meyer,GER,GK,32,Dortmund,Bundesliga,8,7,695,7.7,9,1.17,27,19,66.7,4,1,2,3,42.9,0,0,0,0,0.0
Kevin Trapp,GER,GK,33,Eint Frankfurt,Bundesliga,32,32,"2,880",32.0,48,1.5,137,87,71.5,10,13,9,7,21.9,11,9,2,0,18.2
Jens Grahl,GER,GK,34,Eint Frankfurt,Bundesliga,2,2,180,2.0,2,1.0,9,7,77.8,1,1,0,0,0.0,0,0,0,0,0.0
Oliver Baumann,GER,GK,33,Hoffenheim,Bundesliga,34,34,"3,060",34.0,66,1.94,211,143,69.7,13,7,14,2,5.9,5,2,3,0,60.0
Kevin Müller,GER,GK,32,Heidenheim,Bundesliga,34,34,"3,060",34.0,55,1.62,174,121,72.4,10,12,12,6,17.6,10,7,1,2,12.5
Michael Zetterer,GER,GK,28,Werder Bremen,Bundesliga,27,27,"2,430",27.0,37,1.37,128,92,74.2,9,9,9,6,22.2,4,4,0,0,0.0
Jiří Pavlenka,CZE,GK,31,Werder Bremen,Bundesliga,7,7,630,7.0,17,2.43,38,21,60.5,2,0,5,1,14.3,2,2,0,0,0.0
Noah Atubolu,GER,GK,21,Freiburg,Bundesliga,34,34,"3,060",34.0,58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0
Finn Dahmen,GER,GK,25,Augsburg,Bundesliga,31,31,"2,790",31.0,52,1.68,158,106,71.5,10,9,12,3,9.7,10,7,2,1,22.2
Tomáš Koubek,CZE,GK,30,Augsburg,Bundesliga,3,3,270,3.0,8,2.67,25,17,68.0,0,0,3,0,0.0,0,0,0,0,0.0
Koen Casteels,BEL,GK,31,Wolfsburg,Bundesliga,25,25,"2,250",25.0,39,1.56,115,78,67.8,8,6,11,4,16.0,3,2,0,1,0.0
Pavao Pervan,AUT,GK,35,Wolfsburg,Bundesliga,9,9,810,9.0,17,1.89,36,20,52.8,2,1,6,2,22.2,0,0,0,0,0.0
Robin Zentner,GER,GK,28,Mainz 05,Bundesliga,30,30,"2,700",30.0,48,1.6,128,81,64.8,7,12,11,7,23.3,4,3,0,1,0.0
Daniel Batz,GER,GK,32,Mainz 05,Bundesliga,4,4,360,4.0,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,0,0,0.0
Moritz Nicolas,GER,GK,25,Gladbach,Bundesliga,27,27,"2,430",27.0,49,1.81,160,111,71.9,6,11,10,4,14.8,4,4,0,0,0.0
Jonas Omlin,SUI,GK,29,Gladbach,Bundesliga,7,7,630,7.0,18,2.57,47,29,66.0,1,2,4,0,0.0,2,2,0,0,0.0
Frederik Rønnow,DEN,GK,30,Union Berlin,Bundesliga,33,33,"2,970",33.0,56,1.7,162,105,68.5,9,6,18,7,21.2,7,5,2,0,28.6
Alexander Schwolow,GER,GK,31,Union Berlin,Bundesliga,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,0.0
Manuel Riemann,GER,GK,34,Bochum,Bundesliga,33,33,"2,970",33.0,70,2.12,185,116,67.0,7,12,14,4,12.1,11,9,2,0,18.2
Andreas Luthe,GER,GK,36,Bochum,Bundesliga,1,1,90,1.0,4,4.0,4,1,0.0,0,0,1,0,0.0,0,0,0,0,0.0
Marvin Schwäbe,GER,GK,28,Köln,Bundesliga,34,34,"3,060",34.0,60,1.76,168,108,66.1,5,12,17,4,11.8,3,3,0,0,0.0
Marcel Schuhen,GER,GK,30,Darmstadt 98,Bundesliga,31,31,"2,790",31.0,76,2.45,198,123,62.1,3,7,21,3,9.7,2,1,1,0,50.0
Alexander Brunst,GER,GK,28,Darmstadt 98,Bundesliga,3,3,270,3.0,10,3.33,17,7,41.2,0,1,2,0,0.0,0,0,0,0,0.0
Walter Benítez,ARG,GK,30,PSV Eindhoven,Eredivisie,33,33,"2,964",32.9,20,0.61,72,54,76.4,29,3,1,18,54.5,3,3,0,0,0.0
Joel Drommel,NED,GK,26,PSV Eindhoven,Eredivisie,1,1,90,1.0,1,1.0,5,4,80.0,0,1,0,0,0.0,0,0,0,0,0.0
Boy Waterman,NED,GK,39,PSV Eindhoven,Eredivisie,1,0,6,0.1,0,0.0,1,1,100.0,0,0,0,0,0.0,0,0,0,0,0.0
Timon Wellenreuther,GER,GK,27,Feyenoord,Eredivisie,19,17,"1,598",17.8,12,0.68,44,32,75.0,14,3,0,11,64.7,1,1,0,0,0.0
Justin Bijlow,NED,GK,25,Feyenoord,Eredivisie,17,17,"1,462",16.2,14,0.86,41,27,65.9,12,3,2,6,35.3,0,0,0,0,0.0
Lars Unnerstall,GER,GK,33,Twente,Eredivisie,32,32,"2,880",32.0,34,1.06,123,89,76.4,19,6,7,10,31.3,6,5,1,0,16.7
Przemysław Tytoń,POL,GK,36,Twente,Eredivisie,2,2,180,2.0,2,1.0,6,5,66.7,2,0,0,0,0.0,0,0,0,0,0.0
Mathew Ryan,AUS,GK,31,AZ Alkmaar,Eredivisie,29,29,"2,610",29.0,28,0.97,109,81,77.1,19,6,4,13,44.8,3,3,0,0,0.0
Rome-Jayden Owusu-Oduro,NED,GK,19,AZ Alkmaar,Eredivisie,4,4,360,4.0,7,1.75,17,11,58.8,0,2,2,0,0.0,0,0,0,0,0.0
Hobie Verhulst,NED,GK,30,AZ Alkmaar,Eredivisie,1,1,90,1.0,4,4.0,8,4,62.5,0,0,1,0,0.0,1,1,0,0,0.0
Diant Ramaj,GER,GK,21,Ajax,Eredivisie,22,20,"1,824",20.3,32,1.58,99,68,68.7,10,7,3,3,15.0,1,1,0,0,0.0
Jay Gorter,NED,GK,23,Ajax,Eredivisie,8,7,665,7.4,17,2.3,35,18,51.4,1,2,4,1,14.3,1,0,0,1,0.0
Gerónimo Rulli,ARG,GK,31,Ajax,Eredivisie,7,7,571,6.3,12,1.89,30,18,63.3,4,2,1,1,14.3,1,1,0,0,0.0
Jasper Cillessen,NED,GK,34,NEC Nijmegen,Eredivisie,30,30,"2,640",29.3,46,1.57,145,98,71.7,13,9,8,5,16.7,6,5,1,0,16.7
Robin Roefs,NED,GK,20,NEC Nijmegen,Eredivisie,5,4,420,4.7,5,1.07,18,13,72.2,1,2,1,2,50.0,0,0,0,0,0.0
Vasilios Barkas,GRE,GK,29,Utrecht,Eredivisie,29,29,"2,610",29.0,42,1.45,146,104,74.0,10,11,8,5,17.2,5,4,1,0,20.0
Mattijs Branderhorst,NED,GK,29,Utrecht,Eredivisie,5,5,450,5.0,5,1.0,16,11,75.0,3,0,2,3,60.0,1,1,0,0,0.0
Nick Olij,NED,GK,27,Sparta R'dam,Eredivisie,34,34,"3,060",34.0,48,1.41,161,113,72.0,14,7,13,8,23.5,5,3,1,1,25.0
Jeffrey De Lange,NED,GK,25,Go Ahead Eag,Eredivisie,34,34,"3,060",34.0,46,1.35,180,135,75.6,12,10,12,11,32.4,2,2,0,0,0.0
Ivor Pandur,CRO,GK,23,Fortuna Sittard,Eredivisie,16,16,"1,440",16.0,28,1.75,78,51,66.7,5,4,7,4,25.0,2,2,0,0,0.0
Michael Verrips,NED,GK,26,Fortuna Sittard,Eredivisie,12,12,"1,080",12.0,22,1.83,51,30,56.9,4,3,5,2,16.7,0,0,0,0,0.0
Luuk Koopmans,NED,GK,29,Fortuna Sittard,Eredivisie,5,5,450,5.0,6,1.2,19,13,68.4,0,3,2,2,40.0,0,0,0,0,0.0
Tom Hendriks,NED,GK,21,Fortuna Sittard,Eredivisie,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,0,0,0,0,0.0
Andries Noppert,NED,GK,29,Heerenveen,Eredivisie,22,22,"1,980",22.0,43,1.95,104,62,61.5,6,4,12,4,18.2,3,3,0,0,0.0
Mickey van der Hart,NED,GK,29,Heerenveen,Eredivisie,12,12,"1,080",12.0,27,2.25,60,34,56.7,4,3,5,3,25.0,1,1,0,0,0.0
Jasper Schendelaar,NED,GK,22,Zwolle,Eredivisie,32,32,"2,880",32.0,64,2.0,185,123,69.2,9,8,15,5,15.6,9,7,2,0,22.2
Mike Hauptmeijer,NED,GK,26,Zwolle,Eredivisie,2,2,180,2.0,3,1.5,11,8,81.8,0,1,1,0,0.0,1,1,0,0,0.0
Nordin Bakker,NED,GK,25,Almere City,Eredivisie,29,29,"2,596",28.8,53,1.84,163,110,69.3,7,9,13,9,31.0,4,3,1,0,25.0
Samuel Şahin-Radlinger,AUT,GK,30,Almere City,Eredivisie,6,5,464,5.2,6,1.16,25,19,76.0,0,4,1,1,20.0,0,0,0,0,0.0
Michael Brouwer,NED,GK,30,Heracles Almelo,Eredivisie,34,34,"3,060",34.0,74,2.18,226,153,69.5,9,6,19,4,11.8,5,5,0,0,0.0
Etienne Vaessen,SUR,GK,28,RKC Waalwijk,Eredivisie,30,30,"2,644",29.4,49,1.67,173,125,74.0,6,8,16,5,16.7,5,4,1,0,20.0
Jeroen Houwen,NED,GK,27,RKC Waalwijk,Eredivisie,4,3,322,3.6,5,1.4,19,14,78.9,1,0,2,0,0.0,1,1,0,0,0.0
Mark Spenkelink,NED,GK,26,RKC Waalwijk,Eredivisie,1,1,90,1.0,2,2.0,12,10,83.3,0,0,1,0,0.0,1,0,0,1,0.0
Stijn van Gassel,NED,GK,26,Excelsior,Eredivisie,34,34,"3,060",34.0,73,2.15,204,132,65.2,6,11,17,6,17.6,2,2,0,0,0.0
Mio Backhaus,GER,GK,19,Volendam,Eredivisie,33,32,"2,881",32.0,79,2.47,253,174,69.2,4,7,21,2,6.3,1,1,0,0,0.0
Barry Lauwers,NED,GK,23,Volendam,Eredivisie,1,1,90,1.0,7,7.0,10,3,30.0,0,0,1,0,0.0,0,0,0,0,0.0
Kayne van Oevelen,NED,GK,19,Volendam,Eredivisie,1,1,89,1.0,2,2.02,10,8,80.0,0,0,1,0,0.0,0,0,0,0,0.0
Eloy Room,CUW,GK,34,Vitesse,Eredivisie,34,34,"3,060",34.0,74,2.18,225,150,69.3,6,6,22,3,8.8,7,5,2,0,28.6
Andriy Lunin,UKR,GK,24,Real Madrid,La Liga,21,21,"1,890",21.0,17,0.81,65,48,75.4,16,5,0,10,47.6,1,1,0,0,0.0
Kepa Arrizabalaga,ESP,GK,28,Real Madrid,La Liga,14,13,"1,198",13.3,9,0.68,38,30,76.3,10,2,1,8,61.5,0,0,0,0,0.0
Thibaut Courtois,BEL,GK,31,Real Madrid,La Liga,4,4,332,3.7,0,0.0,15,15,100.0,3,1,0,3,75.0,0,0,0,0,0.0
Marc-André ter Stegen,GER,GK,31,Barcelona,La Liga,28,28,"2,520",28.0,27,0.96,102,75,75.5,20,5,3,15,53.6,2,2,0,0,0.0
Iñaki Peña,ESP,GK,24,Barcelona,La Liga,10,10,900,10.0,17,1.7,39,22,56.4,6,2,2,2,20.0,0,0,0,0,0.0
