player,nationality,position,age,club,league,minutes_90s,p_tackled,tklw,def_3rd,mid_3rd,att_3rd,d_tackled,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,intr,tkl_intr,clr,err
Ryan One,SCO,FW,17,Sheffield Utd,Premier League,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Brandon Mechele,BEL,DF,30,Club Brugge,Pro League,29.8,51,32,33,14,4,27,39,69.2,12,37,17,20,46,97,111,0
Hans Vanaken,BEL,MF,30,Club Brugge,Pro League,28.2,42,24,8,23,11,17,34,50.0,17,22,4,18,12,54,27,0
Simon Mignolet,BEL,GK,35,Club Brugge,Pro League,27.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,12,0
Andreas Skov Olsen,DEN,FW,23,Club Brugge,Pro League,23.6,34,22,10,10,14,17,42,40.5,25,18,0,18,15,49,11,0
Maxim De Cuyper,BEL,DF,22,Club Brugge,Pro League,24.0,46,27,25,14,7,26,57,45.6,31,29,4,25,36,82,31,0
Hugo Vetlesen,NOR,MF,23,Club Brugge,Pro League,20.6,56,38,17,33,6,24,39,61.5,15,24,2,22,19,75,23,0
Jorne Spileers,BEL,DF,18,Club Brugge,Pro League,22.9,10,6,7,2,1,4,14,28.6,10,16,11,5,26,36,82,0
Thiago,BRA,FW,22,Club Brugge,Pro League,20.4,25,16,3,17,5,7,16,43.8,9,26,3,23,4,29,16,0
Philip Zinckernagel,DEN,"FW,MF",28,Club Brugge,Pro League,16.8,27,19,8,13,6,15,35,42.9,20,16,2,14,6,33,2,0
Raphael Onyedika,NGA,MF,22,Club Brugge,Pro League,17.6,46,33,22,20,4,25,41,61.0,16,27,3,24,11,57,7,2
Bjorn Meijer,NED,DF,20,Club Brugge,Pro League,14.9,15,13,8,6,1,8,13,61.5,5,18,4,14,17,32,27,0
Casper Nielsen,DEN,MF,29,Club Brugge,Pro League,14.2,33,22,9,16,8,15,33,45.5,18,22,6,16,12,45,15,0
Jutglà,ESP,FW,24,Club Brugge,Pro League,13.7,8,8,2,5,1,3,7,42.9,4,8,0,8,5,13,2,0
Tajon Buchanan,CAN,DF,24,Club Brugge,Pro League,9.2,10,6,6,1,3,5,16,31.3,11,13,0,13,6,16,8,1
Antonio Nusa,NOR,"FW,MF",18,Club Brugge,Pro League,11.2,20,17,5,12,3,14,26,53.8,12,13,0,13,7,27,2,0
Joel Ordóñez,ECU,DF,19,Club Brugge,Pro League,5.2,7,4,6,1,0,5,5,100.0,0,6,4,2,2,9,14,0
Denis Odoi,GHA,"DF,MF",35,Club Brugge,Pro League,6.4,15,10,10,5,0,10,14,71.4,4,7,3,4,4,19,12,0
Kyriani Sabbe,BEL,DF,18,Club Brugge,Pro League,6.3,12,9,8,3,1,6,11,54.5,5,8,4,4,7,19,6,0
Eder Álvarez Balanta,COL,MF,30,Club Brugge,Pro League,5.5,12,6,4,6,2,6,14,42.9,8,11,2,9,16,28,12,0
Michał Skóraś,POL,"FW,MF",23,Club Brugge,Pro League,5.0,7,4,1,5,1,3,9,33.3,6,9,2,7,6,13,4,0
Nordin Jackers,BEL,GK,25,Club Brugge,Pro League,2.9,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,5,1
Dedryck Boyata,BEL,"DF,MF",32,Club Brugge,Pro League,2.0,1,0,1,0,0,0,1,0.0,1,1,1,0,2,3,4,0
Mats Rits,BEL,MF,30,Club Brugge,Pro League,0.9,0,0,0,0,0,0,0,0.0,0,1,0,1,3,3,2,0
Roman Yaremchuk,UKR,FW,27,Club Brugge,Pro League,0.7,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,2,0
Víctor Barberá,ESP,"FW,MF",18,Club Brugge,Pro League,0.4,1,1,0,1,0,0,0,0.0,0,1,0,1,1,2,0,0
Chemsdine Talbi,BEL,"DF,FW",18,Club Brugge,Pro League,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Romeo Vermant,BEL,FW,19,Club Brugge,Pro League,0.1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0
Shion Homma,JPN,FW,22,Club Brugge,Pro League,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Abdoul Kader Yaméogo,CIV,DF,18,Club Brugge,Pro League,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Anthony Moris,LUX,GK,33,Union SG,Pro League,28.8,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,8,3
Cameron Puertas,SUI,MF,24,Union SG,Pro League,26.9,77,47,14,37,26,24,67,35.8,43,39,1,38,19,96,10,0
Christian Burgess,ENG,DF,31,Union SG,Pro League,27.5,46,25,33,13,0,28,45,62.2,17,28,18,10,33,79,133,1
Charles Vanhoutte,BEL,MF,24,Union SG,Pro League,24.8,49,38,20,25,4,23,59,39.0,36,44,2,42,50,99,30,0
Loïc Lapoussin,MAD,"DF,MF",27,Union SG,Pro League,23.0,46,30,22,16,8,33,73,45.2,40,38,1,37,26,72,10,0
Koki Machida,JPN,DF,25,Union SG,Pro League,22.2,43,30,28,14,1,32,54,59.3,22,30,10,20,33,76,74,2
Alessio Castro-Montes,BEL,DF,26,Union SG,Pro League,20.8,62,42,29,20,13,38,63,60.3,25,35,6,29,30,92,32,0
Kevin Mac Allister,ARG,DF,25,Union SG,Pro League,21.0,63,44,38,21,4,37,64,57.8,27,41,12,29,42,105,68,1
Mathias Rasmussen,NOR,MF,25,Union SG,Pro League,17.5,38,30,9,23,6,24,44,54.5,20,22,6,16,21,59,13,0
Gustaf Nilsson,SWE,FW,26,Union SG,Pro League,16.1,11,9,1,4,6,5,11,45.5,6,14,1,13,7,18,17,0
Mohamed Amoura,ALG,FW,23,Union SG,Pro League,15.9,17,8,2,6,9,9,28,32.1,19,9,0,9,4,21,0,0
Jean Thierry Lazare,CIV,"MF,FW",25,Union SG,Pro League,15.1,38,25,13,19,6,19,31,61.3,12,27,1,26,11,49,8,0
Ross Sykes,ENG,DF,24,Union SG,Pro League,14.1,24,16,12,11,1,14,25,56.0,11,17,11,6,23,47,63,3
Dennis Eckert,GER,FW,26,Union SG,Pro League,12.6,4,4,2,1,1,1,2,50.0,1,5,1,4,3,7,10,0
Noah Sadiki,BEL,MF,18,Union SG,Pro League,12.7,37,22,10,20,7,14,29,48.3,15,18,3,15,17,54,14,0
Casper Terho,FIN,DF,20,Union SG,Pro League,10.9,32,18,12,14,6,17,36,47.2,19,16,0,16,13,45,10,1
Fedde Leysen,BEL,DF,20,Union SG,Pro League,3.7,6,3,4,1,1,2,6,33.3,4,8,3,5,4,10,17,0
Kevin Rodríguez,ECU,FW,23,Union SG,Pro League,4.9,2,0,1,1,0,1,3,33.3,2,2,1,1,1,3,2,0
Henok Teklab,GER,DF,24,Union SG,Pro League,3.8,13,12,7,5,1,4,9,44.4,5,4,0,4,3,16,3,0
Senne Lynen,BEL,MF,24,Union SG,Pro League,2.0,1,1,1,0,0,0,3,0.0,3,4,0,4,4,5,3,0
Bart Nieuwkoop,NED,DF,27,Union SG,Pro League,2.0,2,2,0,2,0,1,8,12.5,7,2,0,2,4,6,3,0
Heinz Lindner,AUT,GK,33,Union SG,Pro League,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Guillaume François,BEL,DF,33,Union SG,Pro League,0.8,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0
Elton Kabangu,BEL,"FW,MF",25,Union SG,Pro League,1.4,7,5,3,4,0,3,4,75.0,1,1,0,1,0,7,1,0
Joachim Imbrechts,SWE,GK,21,Union SG,Pro League,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Nathan Huygevelde,BEL,MF,19,Union SG,Pro League,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Zeno Debast,BEL,DF,19,Anderlecht,Pro League,27.5,43,29,30,11,2,18,30,60.0,12,35,24,11,22,65,127,1
Kasper Dolberg,DEN,FW,25,Anderlecht,Pro League,23.9,13,8,3,6,4,4,16,25.0,12,18,3,15,4,17,29,0
Jan Vertonghen,BEL,DF,36,Anderlecht,Pro League,26.9,21,10,10,10,1,7,12,58.3,5,29,22,7,22,43,120,4
Anders Dreyer,DEN,"FW,MF",25,Anderlecht,Pro League,24.9,17,8,8,6,3,8,25,32.0,17,20,1,19,10,27,16,0
Mats Rits,BEL,MF,30,Anderlecht,Pro League,23.7,34,16,14,19,1,19,40,47.5,21,36,12,24,21,55,50,0
Kasper Schmeichel,DEN,GK,36,Anderlecht,Pro League,23.0,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,6,1
Killian Sardella,BEL,DF,21,Anderlecht,Pro League,22.0,41,19,25,11,5,21,41,51.2,20,27,9,18,16,57,70,0
Theo Leoni,BEL,MF,23,Anderlecht,Pro League,21.1,65,39,24,32,9,32,62,51.6,30,38,2,36,40,105,21,1
Mario Stroeykens,BEL,"MF,FW",18,Anderlecht,Pro League,18.8,53,38,17,25,11,23,40,57.5,17,24,6,18,14,67,12,0
Ludwig Augustinsson,SWE,DF,29,Anderlecht,Pro League,18.1,34,19,19,9,6,17,28,60.7,11,11,1,10,25,59,40,0
Thorgan Hazard,BEL,"FW,MF",30,Anderlecht,Pro League,15.3,41,31,14,14,13,16,32,50.0,16,20,2,18,8,49,10,0
Yari Verschaeren,BEL,"MF,FW",22,Anderlecht,Pro League,10.3,32,16,11,19,2,6,21,28.6,15,18,2,16,11,43,12,0
Thomas Delaney,DEN,"MF,DF",31,Anderlecht,Pro League,10.1,21,15,12,6,3,8,20,40.0,12,12,3,9,16,37,34,0
Louis Patris,BEL,DF,22,Anderlecht,Pro League,10.4,42,20,21,14,7,18,33,54.5,15,20,4,16,25,67,26,1
Maxime Dupé,FRA,GK,30,Anderlecht,Pro League,7.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Moussa N'Diaye,SEN,DF,21,Anderlecht,Pro League,7.2,19,15,16,3,0,10,15,66.7,5,12,4,8,11,30,20,0
Kristian Arnstad,NOR,"DF,MF",19,Anderlecht,Pro League,7.2,12,5,9,1,2,9,14,64.3,5,6,2,4,5,17,21,1
Amadou Diawara,GUI,MF,26,Anderlecht,Pro League,6.6,17,8,10,6,1,12,14,85.7,2,2,0,2,12,29,8,0
Francis Amuzu,BEL,FW,23,Anderlecht,Pro League,6.3,6,2,2,1,3,4,6,66.7,2,3,1,2,1,7,2,0
Alexis Flips,FRA,"FW,MF",23,Anderlecht,Pro League,4.2,14,8,3,6,5,9,22,40.9,13,5,0,5,3,17,0,0
Luis Vázquez,ARG,FW,22,Anderlecht,Pro League,7.7,10,4,3,4,3,4,10,40.0,6,2,1,1,1,11,8,0
Benito Raman,BEL,FW,28,Anderlecht,Pro League,3.1,3,3,1,0,2,2,11,18.2,9,3,1,2,4,7,2,0
Majeed Ashimeru,GHA,MF,25,Anderlecht,Pro League,1.3,5,4,1,3,1,2,5,40.0,3,1,1,0,6,11,3,1
Federico Gattoni,ARG,DF,24,Anderlecht,Pro League,1.1,3,1,1,2,0,1,1,100.0,0,2,2,0,1,4,4,0
Nilson Angulo,ECU,"FW,MF",20,Anderlecht,Pro League,0.5,0,0,0,0,0,0,0,0.0,0,2,0,2,2,2,0,0
Justin Lonwijk,SUR,"MF,FW",23,Anderlecht,Pro League,0.5,1,1,1,0,0,1,5,20.0,4,1,0,1,1,2,2,0
Marco Kana,BEL,MF,20,Anderlecht,Pro League,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Antoine Colassin,BEL,FW,22,Anderlecht,Pro League,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Hannes Delcroix,BEL,DF,24,Anderlecht,Pro League,0.1,1,1,0,1,0,0,0,0.0,0,1,0,1,1,2,1,0
Mohamed Bouchouari,BEL,DF,22,Anderlecht,Pro League,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Tristan Degreef,BEL,MF,18,Anderlecht,Pro League,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Luca Monticelli,BEL,MF,18,Anderlecht,Pro League,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Warleson,BRA,GK,26,Cercle Brugge,Pro League,30.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,22,1
Jesper Daland,NOR,DF,23,Cercle Brugge,Pro League,28.1,50,36,28,18,4,33,47,70.2,14,33,13,20,43,93,118,0
Kévin Denkey,TOG,FW,22,Cercle Brugge,Pro League,27.7,16,7,1,7,8,5,12,41.7,7,19,0,19,3,19,8,0
Thibo Somers,BEL,"FW,MF",24,Cercle Brugge,Pro League,25.5,58,40,26,17,15,26,63,41.3,37,51,5,46,20,78,36,0
Boris Popović,SRB,DF,23,Cercle Brugge,Pro League,22.2,35,25,17,17,1,10,19,52.6,9,21,10,11,42,77,73,1
Hannes Van der Bruggen,BEL,MF,30,Cercle Brugge,Pro League,20.7,54,28,15,31,8,29,81,35.8,52,37,3,34,25,79,49,0
Leonardo da Silva Lopes,POR,"MF,DF",24,Cercle Brugge,Pro League,19.8,37,21,14,16,7,13,28,46.4,15,38,6,32,30,67,28,0
Hugo Siquet,BEL,DF,21,Cercle Brugge,Pro League,18.0,68,45,42,16,10,52,101,51.5,49,45,5,40,35,103,38,0
Edgaras Utkus,LTU,DF,23,Cercle Brugge,Pro League,15.9,62,40,35,24,3,34,55,61.8,21,18,3,15,28,90,69,3
Félix Lemaréchal,FRA,"MF,FW",19,Cercle Brugge,Pro League,17.4,49,29,23,18,8,18,37,48.6,19,34,5,29,13,62,19,0
Alan Minda,ECU,"FW,MF",20,Cercle Brugge,Pro League,16.8,10,6,1,3,6,5,16,31.3,11,14,0,14,1,11,2,0
Yann Gboho,FRA,"MF,FW",22,Cercle Brugge,Pro League,15.4,16,11,2,7,7,5,16,31.3,11,20,0,20,8,24,3,0
Flávio Nazinho,POR,"DF,FW",20,Cercle Brugge,Pro League,12.6,29,14,10,16,3,17,37,45.9,20,25,1,24,12,41,24,1
Christiaan Ravych,BEL,DF,21,Cercle Brugge,Pro League,11.9,35,27,21,12,2,21,37,56.8,16,17,5,12,18,53,29,1
Nils De Wilde,BEL,MF,20,Cercle Brugge,Pro League,8.0,19,8,5,12,2,11,31,35.5,20,16,0,16,5,24,5,0
Senna Miangue,BEL,DF,26,Cercle Brugge,Pro League,8.0,17,12,9,8,0,11,24,45.8,13,9,2,7,11,28,30,1
Jordan Semedo,FRA,DF,20,Cercle Brugge,Pro League,5.4,11,10,7,3,1,7,11,63.6,4,9,1,8,7,18,10,0
Francis Abu,GHA,MF,22,Cercle Brugge,Pro League,4.5,18,8,4,12,2,11,13,84.6,2,7,0,7,8,26,2,0
Felipe Augusto,BRA,"FW,MF",19,Cercle Brugge,Pro League,4.9,4,3,1,2,1,2,6,33.3,4,10,0,10,1,5,4,0
Olivier Deman,BEL,"DF,MF",23,Cercle Brugge,Pro League,4.2,15,11,7,3,5,5,15,33.3,10,19,2,17,9,24,10,0
Kazeem Olaigbe,BEL,"FW,MF",20,Cercle Brugge,Pro League,6.7,10,8,2,4,4,4,17,23.5,13,8,0,8,3,13,6,0
Malamine Efekele,FRA,"FW,MF",19,Cercle Brugge,Pro League,2.0,6,4,3,2,1,2,4,50.0,2,3,0,3,0,6,5,0
Jonas Lietaert,BEL,"DF,MF",19,Cercle Brugge,Pro League,1.9,11,8,3,6,2,5,11,45.5,6,7,1,6,4,15,10,0
Kader Ouattara,BFA,"FW,MF",18,Cercle Brugge,Pro League,0.5,0,0,0,0,0,0,0,0.0,0,2,0,2,1,1,1,0
Emilio Kehrer,GER,"MF,DF",21,Cercle Brugge,Pro League,0.4,2,2,1,1,0,1,3,33.3,2,4,1,3,0,2,0,0
Romaric Etonde,FRA,MF,18,Cercle Brugge,Pro League,0.1,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
Robbe Decostere,BEL,DF,25,Cercle Brugge,Pro League,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Maarten Vandevoordt,BEL,GK,21,Genk,Pro League,30.0,0,0,0,0,0,0,0,0.0,0,1,0,1,1,1,8,3
Bilal El Khannouss,MAR,MF,19,Genk,Pro League,24.2,52,34,20,16,16,23,40,57.5,17,24,1,23,7,59,12,0
Bryan Heynen,BEL,MF,26,Genk,Pro League,23.5,53,31,16,27,10,22,41,53.7,19,31,9,22,29,82,52,0
Carlos Cuesta,COL,DF,24,Genk,Pro League,22.8,37,21,22,12,3,15,23,65.2,8,14,3,11,35,72,62,1
Patrik Hrošovský,SVK,MF,31,Genk,Pro League,23.7,25,16,12,11,2,13,27,48.1,14,27,4,23,18,43,33,0
Mark McKenzie,USA,DF,24,Genk,Pro League,20.9,20,13,11,9,0,5,10,50.0,5,33,20,13,26,46,86,1
Joseph Paintsil,GHA,FW,25,Genk,Pro League,19.8,14,9,3,6,5,5,10,50.0,5,10,1,9,6,20,8,0
Daniel Muñoz,COL,DF,27,Genk,Pro League,16.0,49,28,27,13,9,15,24,62.5,9,19,6,13,26,75,35,0
Mujaid Sadick,ESP,DF,23,Genk,Pro League,16.0,31,22,22,9,0,11,17,64.7,6,31,19,12,19,50,68,1
Matías Galarza,ARG,MF,21,Genk,Pro League,14.4,31,15,19,12,0,12,37,32.4,25,21,2,19,20,51,26,0
Gerardo Arteaga,MEX,DF,24,Genk,Pro League,13.4,20,13,10,8,2,10,18,55.6,8,8,3,5,22,42,25,0
Christopher Bonsu Baah,GHA,FW,18,Genk,Pro League,13.2,34,23,8,18,8,14,26,53.8,12,15,0,15,7,41,6,0
Yira Sor,NGA,FW,23,Genk,Pro League,11.9,8,4,0,6,2,2,7,28.6,5,5,0,5,4,12,8,0
Joris Kayembe,COD,DF,28,Genk,Pro League,14.1,34,22,20,9,5,19,29,65.5,10,21,4,17,14,48,23,1
Zakaria El Ouahdi,MAR,DF,21,Genk,Pro League,11.8,30,22,11,12,7,23,41,56.1,18,20,4,16,14,44,22,0
Alieu Fadera,GAM,"FW,DF",21,Genk,Pro League,10.7,25,15,8,9,8,6,24,25.0,18,11,0,11,5,30,3,0
Tolu Arokodare,NGA,FW,22,Genk,Pro League,14.5,6,2,1,3,2,3,14,21.4,11,10,0,10,6,12,33,0
Luca Oyen,BEL,"FW,MF",20,Genk,Pro League,7.1,5,2,0,3,2,1,4,25.0,3,8,0,8,4,9,3,0
Andi Zeqiri,SUI,"FW,MF",24,Genk,Pro League,7.6,1,1,0,0,1,0,3,0.0,3,10,0,10,2,3,5,0
Eduard Sobol,UKR,DF,28,Genk,Pro League,3.6,7,3,6,1,0,4,7,57.1,3,6,0,6,9,16,19,0
Aziz Ouattara,CIV,MF,22,Genk,Pro League,3.2,6,4,4,2,0,2,4,50.0,2,5,2,3,9,15,20,0
Anouar Ait El Hadj,BEL,"MF,FW",21,Genk,Pro League,3.1,6,5,1,5,0,1,7,14.3,6,2,0,2,1,7,0,0
Mike Trésor,BEL,FW,24,Genk,Pro League,1.3,1,0,0,0,1,0,0,0.0,0,3,0,3,2,3,0,0
Angelo Preciado,ECU,"DF,FW",25,Genk,Pro League,0.7,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Ken Nkuba,BEL,"DF,FW",21,Genk,Pro League,0.5,3,3,2,0,1,2,4,50.0,2,0,0,0,1,4,0,0
Noah Adedeji,BEL,"MF,FW",18,Genk,Pro League,0.2,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,1,0
Jean Butez,FRA,GK,28,Antwerp,Pro League,30.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,8,1
Toby Alderweireld,BEL,DF,34,Antwerp,Pro League,28.9,34,19,19,13,2,16,29,55.2,13,32,18,14,24,58,112,0
Vincent Janssen,NED,"FW,MF",29,Antwerp,Pro League,25.6,25,18,9,6,10,11,22,50.0,11,12,4,8,7,32,7,0
Jurgen Ekkelenkamp,NED,MF,23,Antwerp,Pro League,23.5,34,16,12,20,2,21,33,63.6,12,19,4,15,10,44,19,2
Jelle Bataille,BEL,DF,24,Antwerp,Pro League,24.2,69,38,35,24,10,40,76,52.6,36,31,2,29,33,102,36,1
Arthur Vermeeren,BEL,MF,18,Antwerp,Pro League,20.8,36,23,19,15,2,16,41,39.0,25,27,6,21,24,60,35,0
Michel-Ange Balikwisha,BEL,"FW,MF",22,Antwerp,Pro League,19.8,56,44,18,25,13,11,20,55.0,9,24,0,24,21,77,10,0
Owen Wijndal,NED,DF,23,Antwerp,Pro League,17.1,27,18,20,6,1,17,38,44.7,21,18,2,16,12,39,32,1
Mandela Keita,BEL,MF,21,Antwerp,Pro League,16.5,48,27,28,20,0,26,47,55.3,21,25,4,21,33,81,16,0
Soumaïla Coulibaly,FRA,DF,19,Antwerp,Pro League,15.1,14,9,8,6,0,8,12,66.7,4,19,13,6,26,40,54,0
Chidera Ejuke,NGA,"FW,DF",25,Antwerp,Pro League,14.7,15,8,3,8,4,7,14,50.0,7,6,0,6,9,24,11,0
Arbnor Muja,ALB,"FW,MF",24,Antwerp,Pro League,13.4,22,14,12,7,3,11,33,33.3,22,12,0,12,3,25,6,0
Ritchie De Laet,BEL,DF,34,Antwerp,Pro League,10.9,22,14,9,10,3,12,18,66.7,6,9,4,5,17,39,30,0
Zeno Van den Bosch,BEL,DF,20,Antwerp,Pro League,14.8,28,19,17,11,0,11,19,57.9,8,14,7,7,30,58,41,1
Alhassan Yusuf,NGA,MF,23,Antwerp,Pro League,12.2,37,23,18,15,4,18,41,43.9,23,8,1,7,15,52,15,0
Gyrano Kerk,SUR,"FW,MF",27,Antwerp,Pro League,9.8,23,15,6,14,3,9,22,40.9,13,17,2,15,3,26,4,0
Jacob Ondrejka,SWE,"FW,MF",20,Antwerp,Pro League,7.7,7,4,2,4,1,3,7,42.9,4,2,1,1,3,10,3,0
George Ilenikhena,FRA,FW,16,Antwerp,Pro League,10.8,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,6,0
Mahamadou Doumbia,MLI,MF,19,Antwerp,Pro League,4.1,10,7,1,8,1,5,11,45.5,6,4,0,4,1,11,1,0
Sam Vines,USA,DF,24,Antwerp,Pro League,2.3,3,3,1,1,1,1,4,25.0,3,2,0,2,0,3,2,0
Gastón Ávila,ARG,DF,21,Antwerp,Pro League,2.0,5,3,3,1,1,3,9,33.3,6,3,2,1,0,5,2,0
Anthony Valencia,ECU,"FW,MF",20,Antwerp,Pro League,2.1,4,2,0,3,1,3,7,42.9,4,0,0,0,3,7,0,0
Milan Smits,BEL,MF,18,Antwerp,Pro League,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
Kobe Corbanie,BEL,"DF,MF",18,Antwerp,Pro League,1.6,11,6,5,3,3,3,3,100.0,0,2,0,2,2,13,3,0
Victor Udoh,NGA,"FW,MF",18,Antwerp,Pro League,0.8,3,3,1,2,0,1,4,25.0,3,2,0,2,0,3,0,0
Eliot Matazo,BEL,MF,21,Antwerp,Pro League,0.2,3,2,2,1,0,0,2,0.0,2,0,0,0,0,3,0,0
Christopher Scott,GER,MF,21,Antwerp,Pro League,0.1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Julien De Sart,BEL,MF,28,Gent,Pro League,28.3,110,74,49,54,7,43,74,58.1,31,38,10,28,62,172,63,2
Matisse Samoise,BEL,DF,21,Gent,Pro League,25.9,86,52,44,33,9,60,84,71.4,24,36,10,26,32,118,51,0
Tsuyoshi Watanabe,JPN,DF,26,Gent,Pro League,25.8,26,21,19,7,0,10,20,50.0,10,39,25,14,22,48,106,0
Ismaël Kandouss,MAR,DF,25,Gent,Pro League,24.0,62,39,35,21,6,37,51,72.5,14,19,8,11,30,92,78,2
Sven Kums,BEL,MF,35,Gent,Pro League,21.5,34,22,16,15,3,17,50,34.0,33,18,6,12,20,54,39,0
Jordan Torunarigha,GER,DF,25,Gent,Pro League,20.5,48,29,31,14,3,27,45,60.0,18,26,17,9,37,85,75,0
Archie Brown,ENG,DF,21,Gent,Pro League,18.3,24,15,13,8,3,13,26,50.0,13,32,7,25,21,45,18,0
Hong Hyunseok,KOR,MF,24,Gent,Pro League,17.5,29,16,9,18,2,17,35,48.6,18,20,1,19,18,47,6,0
Hugo Cuypers,BEL,FW,26,Gent,Pro League,18.1,28,19,6,15,7,10,39,25.6,29,12,0,12,7,35,13,0
Tarik Tissoudali,MAR,"FW,MF",30,Gent,Pro League,17.1,16,11,2,7,7,5,11,45.5,6,13,0,13,4,20,2,0
Malick Fofana,BEL,"DF,MF",18,Gent,Pro League,12.7,17,13,6,5,6,9,13,69.2,4,7,2,5,11,28,9,1
Davy Roef,BEL,GK,29,Gent,Pro League,12.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,4,1
Pieter Gerkens,BEL,"MF,FW",27,Gent,Pro League,10.1,14,8,5,4,5,8,16,50.0,8,16,2,14,10,24,20,0
Paul Nardi,FRA,GK,29,Gent,Pro League,10.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Gift Orban,NGA,"FW,MF",21,Gent,Pro League,9.2,10,6,0,6,4,2,3,66.7,1,7,0,7,2,12,0,0
Andrew Hjulsager,DEN,"MF,DF",28,Gent,Pro League,7.9,21,14,5,9,7,8,22,36.4,14,10,1,9,4,25,2,0
Daniel Schmidt,JPN,GK,31,Gent,Pro League,8.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1
Stefan Mitrović,SRB,DF,33,Gent,Pro League,5.2,8,4,4,4,0,3,4,75.0,1,5,4,1,6,14,24,0
Núrio Fortuna,ANG,"DF,MF",28,Gent,Pro League,4.4,14,11,13,0,1,11,12,91.7,1,5,1,4,9,23,19,0
Laurent Depoitre,BEL,FW,34,Gent,Pro League,4.3,2,1,1,0,1,0,2,0.0,2,0,0,0,0,2,5,0
Daisuke Yokota,JPN,"FW,MF",23,Gent,Pro League,3.5,2,1,0,2,0,0,3,0.0,3,4,0,4,6,8,0,0
Noah Fadiga,SEN,"DF,FW",23,Gent,Pro League,4.6,11,8,5,5,1,9,12,75.0,3,2,1,1,7,18,3,0
Brian Agbor,CMR,DF,22,Gent,Pro League,2.3,2,1,2,0,0,0,1,0.0,1,5,4,1,5,7,12,1
Matias Fernandez-Pardo,BEL,"FW,MF",18,Gent,Pro League,2.1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0
Momodou Sonko,SWE,FW,18,Gent,Pro League,1.3,3,1,0,1,2,1,3,33.3,2,0,0,0,0,3,0,0
Bram Lagae,BEL,DF,19,Gent,Pro League,1.5,2,1,2,0,0,1,1,100.0,0,2,1,1,4,6,5,1
Alessio Castro-Montes,BEL,DF,26,Gent,Pro League,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
Franck Surdez,SUI,"FW,DF",21,Gent,Pro League,0.6,2,1,0,2,0,0,0,0.0,0,2,0,2,1,3,0,0
Tibe De Vlieger,BEL,"MF,FW",17,Gent,Pro League,0.4,2,1,2,0,0,0,0,0.0,0,0,0,0,1,3,1,0
Ahmed Abdullahi,NGA,FW,19,Gent,Pro League,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Abdoul Rachid Ayinde,BFA,"DF,MF",18,Gent,Pro League,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Gaëtan Coucke,BEL,GK,24,Mechelen,Pro League,30.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,2
Kerim Mrabti,SWE,"MF,FW",29,Mechelen,Pro League,28.2,41,28,25,13,3,23,49,46.9,26,44,12,32,25,66,25,0
Daam Foulon,BEL,"DF,MF",24,Mechelen,Pro League,28.2,72,51,39,24,9,40,65,61.5,25,38,8,30,25,97,56,0
