player,nationality,position,age,club,league,minutes_90s,p_tackled,tklw,def_3rd,mid_3rd,att_3rd,d_tackled,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,intr,tkl_intr,clr,err
Andrea Cambiaso,ITA,"DF,FW",24,Juventus,Serie A,26.4,47,30,23,15,9,25,43,58.1,18,28,3,25,11,58,26,1
Danilo,BRA,DF,32,Juventus,Serie A,27.2,60,36,38,18,4,32,48,66.7,16,34,15,19,37,97,94,0
Dušan Vlahović,SRB,FW,24,Juventus,Serie A,25.6,9,5,0,6,3,4,11,36.4,7,4,2,2,1,10,11,0
Filip Kostić,SRB,DF,31,Juventus,Serie A,20.2,37,23,20,13,4,17,33,51.5,16,29,8,21,9,46,43,0
Federico Chiesa,ITA,FW,26,Juventus,Serie A,24.4,20,10,7,6,7,3,13,23.1,10,17,1,16,6,26,4,0
Fabio Miretti,ITA,MF,20,Juventus,Serie A,12.3,18,14,6,8,4,10,26,38.5,16,10,1,9,7,25,6,0
Daniele Rugani,ITA,DF,29,Juventus,Serie A,13.2,11,9,7,3,1,4,5,80.0,1,11,4,7,9,20,42,0
Timothy Weah,USA,"DF,FW",24,Juventus,Serie A,14.0,27,20,16,8,3,15,20,75.0,5,12,1,11,5,32,15,0
Kenan Yıldız,TUR,"FW,DF",19,Juventus,Serie A,10.6,13,9,5,6,2,4,8,50.0,4,6,0,6,1,14,4,0
Alex Sandro,BRA,DF,33,Juventus,Serie A,8.0,13,7,7,6,0,4,5,80.0,1,13,7,6,15,28,23,0
Moise Kean,ITA,FW,24,Juventus,Serie A,7.3,7,4,3,2,2,1,3,33.3,2,4,1,3,2,9,5,0
Arkadiusz Milik,POL,FW,30,Juventus,Serie A,10.2,9,5,2,5,2,3,5,60.0,2,7,1,6,5,14,3,0
Samuel Iling-Junior,ENG,"DF,MF",20,Juventus,Serie A,9.0,23,13,9,11,3,11,18,61.1,7,17,5,12,6,29,19,0
Nicolò Fagioli,ITA,MF,23,Juventus,Serie A,4.9,5,3,1,3,1,3,7,42.9,4,3,0,3,4,9,1,0
Carlos Alcaraz,ARG,MF,21,Juventus,Serie A,4.2,6,6,0,6,0,5,10,50.0,5,5,2,3,5,11,4,0
Hans Nicolussi Caviglia,ITA,MF,23,Juventus,Serie A,3.0,5,2,1,3,1,4,6,66.7,2,5,1,4,0,5,2,0
Mattia Perin,ITA,GK,31,Juventus,Serie A,2.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Mattia De Sciglio,ITA,DF,31,Juventus,Serie A,0.5,0,0,0,0,0,0,0,0.0,0,1,0,1,1,1,2,0
Paul Pogba,FRA,MF,31,Juventus,Serie A,0.6,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,1,0
Carlo Pinsoglio,ITA,GK,34,Juventus,Serie A,0.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Joseph Nonge,BEL,MF,19,Juventus,Serie A,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
