player,nationality,position,age,club,league,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Mattia Caldara,ITA,DF,30,Milan,Serie A,0.4,1,2.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kevin Zeroli,ITA,MF,19,Milan,Serie A,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Chaka Traorè,CIV,FW,19,Milan,Serie A,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Francesco Camarda,ITA,FW,16,Milan,Serie A,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lapo Nava,ITA,GK,20,Milan,Serie A,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gleison Bremer,BRA,DF,27,Juventus,Serie A,35.9,24,0.67,19,0,0,3,0,2,3,0.08,2,0,0,1,0,0
Wojciech Szczęsny,POL,GK,34,Juventus,Serie A,35.0,2,0.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Manuel Locatelli,ITA,MF,26,Juventus,Serie A,33.4,80,2.39,73,2,1,2,1,1,7,0.21,7,0,0,0,0,0
Adrien Rabiot,FRA,MF,29,Juventus,Serie A,29.5,64,2.17,54,0,2,4,4,0,5,0.17,4,0,1,0,0,0
Federico Gatti,ITA,DF,25,Juventus,Serie A,29.3,29,0.99,23,0,2,2,1,1,2,0.07,1,0,0,1,0,0
Weston McKennie,USA,"MF,DF",25,Juventus,Serie A,28.8,82,2.84,64,9,2,2,3,2,9,0.31,8,0,0,1,0,0
Andrea Cambiaso,ITA,"DF,FW",24,Juventus,Serie A,26.4,78,2.96,62,5,4,3,3,1,5,0.19,5,0,0,0,0,0
Danilo,BRA,DF,32,Juventus,Serie A,27.2,48,1.76,41,1,1,2,0,3,3,0.11,1,0,0,1,0,1
Dušan Vlahović,SRB,FW,24,Juventus,Serie A,25.6,73,2.85,49,1,5,15,2,1,9,0.35,6,0,0,3,0,0
Filip Kostić,SRB,DF,31,Juventus,Serie A,20.2,71,3.52,42,22,0,7,0,0,5,0.25,2,2,0,1,0,0
Federico Chiesa,ITA,FW,26,Juventus,Serie A,24.4,117,4.79,70,17,14,7,8,1,9,0.37,5,0,2,0,2,0
Fabio Miretti,ITA,MF,20,Juventus,Serie A,12.3,53,4.33,31,7,6,2,4,3,4,0.33,2,0,0,0,2,0
Daniele Rugani,ITA,DF,29,Juventus,Serie A,13.2,12,0.91,9,0,0,2,0,1,2,0.15,1,0,0,1,0,0
Timothy Weah,USA,"DF,FW",24,Juventus,Serie A,14.0,30,2.15,25,1,0,2,2,0,2,0.14,2,0,0,0,0,0
Kenan Yıldız,TUR,"FW,DF",19,Juventus,Serie A,10.6,39,3.69,26,2,5,2,3,1,4,0.38,0,0,1,1,1,1
Alex Sandro,BRA,DF,33,Juventus,Serie A,8.0,14,1.75,9,0,0,2,1,2,1,0.12,0,0,0,0,1,0
Moise Kean,ITA,FW,24,Juventus,Serie A,7.3,14,1.93,7,0,5,1,0,1,1,0.14,0,0,0,1,0,0
Arkadiusz Milik,POL,FW,30,Juventus,Serie A,10.2,37,3.62,24,0,1,7,4,1,6,0.59,2,0,0,3,0,1
Samuel Iling-Junior,ENG,"DF,MF",20,Juventus,Serie A,9.0,32,3.55,20,9,2,0,1,0,5,0.55,3,2,0,0,0,0
Nicolò Fagioli,ITA,MF,23,Juventus,Serie A,4.9,16,3.29,9,6,0,1,0,0,2,0.41,1,1,0,0,0,0
Carlos Alcaraz,ARG,MF,21,Juventus,Serie A,4.2,6,1.42,6,0,0,0,0,0,1,0.24,1,0,0,0,0,0
Hans Nicolussi Caviglia,ITA,MF,23,Juventus,Serie A,3.0,11,3.69,1,7,0,2,1,0,1,0.34,0,1,0,0,0,0
Mattia Perin,ITA,GK,31,Juventus,Serie A,2.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mattia De Sciglio,ITA,DF,31,Juventus,Serie A,0.5,1,2.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Paul Pogba,FRA,MF,31,Juventus,Serie A,0.6,2,3.33,2,0,0,0,0,0,1,1.67,1,0,0,0,0,0
Carlo Pinsoglio,ITA,GK,34,Juventus,Serie A,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Joseph Nonge,BEL,MF,19,Juventus,Serie A,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tiago Djaló,POR,DF,24,Juventus,Serie A,0.2,1,5.29,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Dean Huijsen,ESP,DF,19,Juventus,Serie A,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nikola Sekulov,ITA,FW,22,Juventus,Serie A,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Leonardo Cerri,ITA,DF,21,Juventus,Serie A,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Berat Djimsiti,ALB,DF,31,Atalanta,Serie A,31.3,18,0.58,16,0,0,1,1,0,1,0.03,1,0,0,0,0,0
Ederson,BRA,MF,24,Atalanta,Serie A,30.9,69,2.23,59,3,5,0,1,1,5,0.16,5,0,0,0,0,0
Giorgio Scalvini,ITA,DF,20,Atalanta,Serie A,27.3,42,1.54,35,0,0,6,0,1,8,0.29,7,0,0,1,0,0
