player,nationality,position,age,club,league,minutes_90s,touches,touches_dpa,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_apa,touches_live_ball,TO,TO_won,TO_won_pct,TO_tkld,TO_tkld_pct,carries,carries_dist,carries_prog_dist,prog_carries,carries_into_final_3rd,carries_into_pa,miscontrols,dispossesed,passes_rec,prog_passes_rec
Alessio da Cruz,CPV,FW,26,FeralpiSalò,Serie B,0.2,6,0,0,3,3,1,6,1,0,0.0,1,100.0,5,71,23,2,1,1,0,0,5,3
Alex Balboa,EQG,MF,23,Huesca,Segunda Division,4.5,167,9,41,97,31,3,167,6,6,100.0,0,0.0,83,479,235,7,6,1,7,3,85,4
Alex Bangura,SLE,DF,24,Middlesbrough,EFL,6.5,391,15,112,158,124,16,391,22,18,81.8,4,18.2,211,1374,734,26,13,6,10,7,252,49
Alex Bono,USA,GK,28,D.C. United,MLS,9.5,443,317,425,19,0,0,443,2,2,100.0,0,0.0,231,1126,624,0,0,0,0,0,208,0
Alex Ferrari,ITA,DF,29,Sampdoria,Serie B,2.7,203,22,132,71,4,1,203,1,1,100.0,0,0.0,124,541,218,0,0,0,2,1,142,0
Alex Gersbach,AUS,"DF,MF",25,Rapids,MLS,2.9,155,11,58,66,32,1,155,3,1,33.3,1,33.3,71,401,177,7,2,0,2,1,79,10
Alex Matos,ENG,MF,18,Huddersfield,EFL,14.2,561,35,138,311,125,17,561,17,8,47.1,7,41.2,231,1284,427,12,8,7,27,11,232,12
Alex McCarthy,ENG,GK,33,Southampton,EFL,5.0,190,152,188,2,0,0,190,0,0,0.0,0,0.0,120,433,264,0,0,0,0,0,123,0
Alex Monis,PHI,FW,19,Fire,MLS,0.1,8,0,2,3,3,0,8,0,0,0.0,0,0.0,4,24,18,1,0,0,1,0,4,1
Alex Mowatt,ENG,MF,28,West Brom,EFL,36.1,2723,102,632,1462,647,27,2722,16,7,43.8,7,43.8,1594,8898,4434,55,60,3,35,19,1891,48
Alex Muyl,USA,"MF,DF",27,Nashville,MLS,22.7,1011,44,259,445,321,49,1011,45,24,53.3,18,40.0,525,2220,974,25,20,7,46,27,598,100
Alex Palmer,ENG,GK,26,West Brom,EFL,46.0,1771,1391,1755,16,0,0,1771,1,1,100.0,0,0.0,1028,4943,2774,0,0,0,3,0,987,0
Alex Pastor,ESP,DF,24,FC Andorra,Segunda Division,23.8,1879,124,723,1005,170,27,1879,24,14,58.3,7,29.2,1082,6337,4015,47,44,2,27,7,1211,15
Alex Petxa,ESP,DF,27,FC Andorra,Segunda Division,25.7,1816,72,493,906,433,21,1816,50,18,36.0,25,50.0,1054,6704,3568,70,53,4,42,15,1146,83
Alex Pritchard,ENG,"MF,FW",30,Birmingham City,EFL,3.7,188,5,27,84,80,9,188,8,3,37.5,5,62.5,97,472,222,9,4,1,7,6,116,9
Alex Pritchard,ENG,"MF,FW",30,Sunderland,EFL,12.5,829,10,71,333,433,24,829,26,9,34.6,15,57.7,473,2323,1085,33,30,5,24,12,577,83
Alex Roldan,SLV,DF,26,Seattle,MLS,26.9,2033,67,431,957,657,33,2033,35,17,48.6,11,31.4,1085,4383,1981,33,29,8,26,15,1309,164
Alexander Bernhardsson,SWE,"FW,MF",24,Holstein Kiel,2. Bundesliga,10.1,330,11,53,145,139,33,330,29,15,51.7,13,44.8,193,1254,516,21,11,8,31,6,222,72
Alexander Freeman,USA,DF,18,Orlando City,MLS,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
Alexander Gilbert,IRL,"MF,FW",21,Middlesbrough,EFL,2.6,205,5,31,92,82,8,205,12,4,33.3,8,66.7,126,627,259,4,8,1,6,2,147,18
Alexander Jallow,SWE,DF,25,Brescia,Serie B,20.2,1039,59,339,451,257,25,1039,20,12,60.0,7,35.0,573,3177,1617,38,25,2,19,8,647,75
Alexander Nollenberger,GER,"MF,FW",26,Magdeburg,2. Bundesliga,7.0,315,12,64,133,125,20,315,15,7,46.7,8,53.3,192,1468,900,32,16,4,17,10,195,46
Alexander Ring,FIN,"DF,MF",31,Austin,MLS,23.9,1665,147,683,839,148,30,1665,9,6,66.7,2,22.2,1027,4758,2785,20,17,5,15,7,1171,40
Alexander Rossipal,GER,DF,27,Hansa Rostock,2. Bundesliga,23.6,1598,132,591,706,313,10,1598,23,15,65.2,7,30.4,688,3074,1583,32,24,1,20,2,732,42
Alexandre Alemão,BRA,FW,26,Oviedo,Segunda Division,16.2,504,17,38,219,252,81,504,45,23,51.1,21,46.7,320,1783,663,26,17,17,78,30,382,97
Alexandre Bonnet,FRA,MF,36,Quevilly-Rouen,Ligue 2,3.1,145,2,13,62,70,4,145,1,1,100.0,0,0.0,116,775,374,10,13,0,3,1,105,23
Alexandre Coeff,FRA,"DF,MF",31,Caen,Ligue 2,11.1,841,48,279,435,131,17,841,7,2,28.6,3,42.9,512,2962,1350,10,14,1,9,3,460,33
Alexandre Mendy,GNB,FW,29,Caen,Ligue 2,35.9,1049,33,51,520,483,182,1044,34,12,35.3,21,61.8,753,3785,883,17,24,8,87,39,879,237
Alexandre Phliponeau,FRA,MF,23,US Concarneau,Ligue 2,30.4,2209,52,520,1435,276,12,2209,33,16,48.5,15,45.5,1724,8999,3604,17,38,0,22,23,1625,32
Alexandru Mățan,ROU,"MF,FW",23,Crew,MLS,25.2,1273,8,122,538,621,109,1273,109,43,39.4,51,46.8,911,5770,2864,100,65,41,58,30,1000,199
Alexandru Pașcanu,ROU,DF,25,Sporting Gijón,Segunda Division,21.2,1332,108,511,640,193,13,1332,7,3,42.9,4,57.1,602,2692,1485,21,16,0,12,5,728,31
Alexei Dominguez,MEX,"FW,MF",18,Pachuca,Liga MX,8.9,496,4,53,172,280,29,496,40,14,35.0,22,55.0,312,2230,1160,42,20,20,35,21,350,107
Alexi Pitu,ROU,"FW,MF",21,Bordeaux,Ligue 2,10.2,516,6,45,234,248,30,516,53,29,54.7,21,39.6,398,3246,1487,50,46,12,15,20,388,84
Alexis Canelo,ARG,FW,31,Tijuana,Liga MX,2.7,134,5,10,64,61,11,134,5,2,40.0,3,60.0,72,419,143,6,9,1,5,8,92,15
Alexis Ferrante,ITA,FW,28,Ternana,Serie B,0.5,8,0,0,1,7,3,8,0,0,0.0,0,0.0,5,48,3,0,0,1,3,0,7,1
Alexis Francisco Peña,MEX,DF,27,Necaxa,Liga MX,34.0,1474,269,827,589,69,22,1474,5,1,20.0,3,60.0,631,2888,1549,8,6,1,11,2,729,12
Alexis Gutiérrez,MEX,"MF,FW",23,Cruz Azul,Liga MX,11.8,583,4,38,341,206,24,583,12,8,66.7,4,33.3,356,1725,780,21,18,6,23,10,446,74
Alexis Lefebvre,FRA,FW,20,Troyes,Ligue 2,3.5,92,2,22,30,45,13,92,10,5,50.0,4,40.0,65,549,257,10,3,6,7,0,57,26
Alexis Sauvage,FRA,GK,31,Amiens,Ligue 2,3.0,62,59,62,0,0,0,62,0,0,0.0,0,0.0,38,224,118,0,0,0,1,0,23,0
Alexis Vega,MEX,FW,25,Guadalajara,Liga MX,4.3,218,0,15,96,111,13,217,17,8,47.1,8,47.1,133,868,288,10,8,3,16,11,158,43
Alexis Vega,MEX,"FW,MF",25,Toluca,Liga MX,10.9,551,10,37,258,263,28,551,32,13,40.6,18,56.3,333,1815,729,19,28,2,33,10,376,65
Alexy Bosetti,FRA,"MF,FW",30,Annecy,Ligue 2,2.0,94,0,9,53,32,2,93,2,0,0.0,2,100.0,53,256,57,0,4,0,5,2,44,6
Aleš Matějů,CZE,DF,27,Palermo,Serie B,15.1,945,58,326,462,167,11,945,6,3,50.0,2,33.3,536,2874,1632,33,15,2,8,4,568,33
Aleš Matějů,CZE,DF,27,Spezia,Serie B,16.5,948,50,310,478,172,24,948,8,2,25.0,6,75.0,484,2260,1119,21,17,0,12,3,560,33
Alfie Devine,ENG,"MF,FW",18,Plymouth Argyle,EFL,9.4,392,14,71,204,121,11,392,19,9,47.4,8,42.1,247,1700,712,24,15,3,11,14,288,33
Alfie Jones,ENG,DF,25,Hull City,EFL,45.0,3951,524,2241,1640,80,31,3951,15,12,80.0,3,20.0,2540,8598,4587,5,13,1,20,7,2990,5
Alfonso Alvarado,MEX,"MF,FW",23,León,Liga MX,16.5,522,15,68,259,199,53,522,27,15,55.6,11,40.7,316,1755,671,16,13,6,37,13,364,57
Alfonso Blanco Antúnez,MEX,GK,36,León,Liga MX,2.0,62,51,62,0,0,0,62,0,0,0.0,0,0.0,34,159,102,0,0,0,0,0,25,0
Alfonso González,MEX,"MF,FW",28,Monterrey,Liga MX,9.8,521,2,49,251,228,27,521,16,9,56.3,6,37.5,241,1367,609,10,17,1,22,12,336,74
Alfredo Donnarumma,ITA,FW,32,Catanzaro,Serie B,6.4,181,2,6,83,93,28,180,10,7,70.0,3,30.0,98,527,201,9,6,5,12,5,139,32
Alfredo Gutierrez,MEX,DF,20,Necaxa,Liga MX,0.9,33,2,19,13,1,1,33,0,0,0.0,0,0.0,15,88,52,0,0,0,0,1,16,0
Alfredo Morales,USA,MF,32,NYCFC,MLS,12.9,684,31,147,440,102,21,684,15,7,46.7,8,53.3,346,1604,578,10,10,0,10,11,482,11
Alfredo Ortuño,ESP,FW,33,Cartagena,Segunda Division,27.0,862,39,87,413,369,104,859,45,20,44.4,24,53.3,483,2011,620,24,20,6,107,45,652,109
Alfredo Talavera,MEX,GK,40,FC Juárez,Liga MX,16.3,582,520,580,3,0,0,582,1,1,100.0,0,0.0,294,1532,867,0,0,0,1,0,237,0
Ali Abdi,TUN,DF,29,Caen,Ligue 2,32.7,2273,83,531,1052,727,115,2273,105,48,45.7,53,50.5,1467,9819,4493,106,95,24,58,37,1341,268
Ali Ahmed,CAN,"MF,DF",22,Vancouver W'caps,MLS,12.5,699,11,95,341,275,37,699,46,24,52.2,14,30.4,487,3098,1850,53,30,9,28,20,485,105
Ali Al Hamadi,IRQ,FW,21,Ipswich Town,EFL,3.3,140,1,9,52,80,36,138,9,6,66.7,2,22.2,74,578,310,13,3,11,10,11,107,34
Ali Dembélé,FRA,"DF,MF",19,Venezia,Serie B,1.9,122,11,32,49,42,7,122,6,3,50.0,3,50.0,60,498,309,17,11,4,7,3,62,20
Ali Loune,MAR,"MF,FW",21,Nürnberg,2. Bundesliga,4.0,221,10,60,135,29,0,221,4,2,50.0,2,50.0,91,385,141,0,3,0,11,3,132,4
Ali Ávila,MEX,FW,19,Monterrey,Liga MX,3.0,60,4,7,23,30,10,60,1,1,100.0,0,0.0,32,113,34,0,0,1,4,2,43,15
Ali Ávila,MEX,"FW,MF",19,UNAM,Liga MX,1.2,36,0,4,12,21,5,36,2,1,50.0,1,50.0,19,70,39,2,0,1,2,2,23,9
Ali-Eren Ersungur,TUR,"MF,FW",17,Karlsruher,2. Bundesliga,0.5,28,0,0,10,18,2,28,0,0,0.0,0,0.0,18,126,86,2,3,0,1,1,21,1
Alimani Gory,MLI,"FW,MF",26,Paris FC,Ligue 2,22.6,923,8,109,352,480,113,923,76,35,46.1,38,50.0,710,5493,2523,93,58,44,48,33,672,227
Aliou Badji,SEN,FW,25,Bordeaux,Ligue 2,6.1,194,8,21,68,107,38,194,7,4,57.1,3,42.9,133,658,202,7,4,4,21,1,136,39
Alioune Ba,FRA,DF,33,Dunkerque,Ligue 2,4.7,263,31,164,98,2,2,263,0,0,0.0,0,0.0,183,1138,562,2,0,0,3,1,164,0
Alistair McCann,NIR,MF,23,Preston,EFL,23.0,1161,61,285,694,190,12,1161,16,9,56.3,6,37.5,455,1675,627,7,8,1,17,11,556,19
Aliyu Ibrahim,NGA,FW,21,Dynamo FC,MLS,13.4,421,3,44,169,213,65,421,28,14,50.0,12,42.9,274,1463,754,30,16,15,51,29,304,97
Aljaž Ivačič,SVN,GK,29,Portland Timbers,MLS,15.0,513,431,509,4,0,0,513,0,0,0.0,0,0.0,232,1218,808,0,0,0,0,0,162,0
Aljosa Vasic,SRB,"MF,FW",21,Palermo,Serie B,7.7,308,14,63,136,114,18,308,13,4,30.8,5,38.5,159,852,370,15,9,3,17,8,186,43
Aljoscha Kemlein,GER,MF,18,St. Pauli,2. Bundesliga,11.0,486,13,90,259,141,24,486,7,1,14.3,5,71.4,270,1096,484,13,8,4,14,9,344,40
Allahyar Sayyadmanesh,IRN,FW,22,Hull City,EFL,0.7,29,0,4,16,11,2,29,7,4,57.1,3,42.9,19,160,87,4,2,1,2,6,18,5
Allan Campbell,SCO,MF,25,Millwall,EFL,8.0,341,10,57,191,94,11,341,7,4,57.1,3,42.9,148,542,184,1,1,2,9,6,192,16
Allan Linguet,FRA,"DF,FW",23,Valenciennes,Ligue 2,25.2,1458,76,401,769,313,35,1458,62,23,37.1,26,41.9,955,6108,3231,60,46,18,59,18,864,108
Allan Nyom,CMR,DF,36,Leganés,Segunda Division,22.3,1146,72,385,528,246,11,1146,14,8,57.1,4,28.6,515,2381,1136,30,24,2,19,4,596,54
Allan Tchaptchet,FRA,DF,21,Grenoble,Ligue 2,1.0,55,6,31,24,0,0,55,0,0,0.0,0,0.0,37,244,86,1,0,0,0,0,34,0
Almamy Touré,MLI,DF,27,Kaiserslautern,2. Bundesliga,9.3,536,48,272,224,47,14,536,7,4,57.1,3,42.9,252,1139,647,3,3,0,8,5,301,10
Alonso Coello,ESP,MF,23,Toronto FC,MLS,14.3,1161,35,343,702,134,6,1161,24,17,70.8,7,29.2,721,3297,1318,10,12,3,15,13,861,12
Alonso Escoboza,MEX,DF,30,Cruz Azul,Liga MX,0.9,56,4,15,25,17,1,56,3,2,66.7,1,33.3,27,194,89,2,2,0,1,0,28,4
Alonso Escoboza,MEX,"DF,MF",30,Mazatlán,Liga MX,4.1,290,5,70,113,110,12,290,12,7,58.3,5,41.7,158,941,522,17,8,5,2,0,175,36
Alonso Martínez,CRC,"FW,DF",24,NYCFC,MLS,0.4,21,0,2,8,11,1,21,3,0,0.0,2,66.7,12,63,16,1,0,0,0,2,13,5
Altube,ESP,GK,24,Albacete,Segunda Division,5.0,145,120,143,2,0,0,145,0,0,0.0,0,0.0,64,404,255,0,0,0,0,0,48,0
Alvaro Sanz,ESP,MF,23,CD Mirandés,Segunda Division,27.8,1449,34,282,843,342,12,1448,22,15,68.2,6,27.3,673,3672,1743,35,23,2,29,19,868,56
Alvas Powell,JAM,DF,28,FC Cincinnati,MLS,10.6,561,50,237,236,94,12,561,25,12,48.0,11,44.0,301,2000,992,21,11,3,21,13,322,26
Aly Sidibé,FRA,MF,18,Troyes,Ligue 2,0.1,8,0,0,2,6,1,8,0,0,0.0,0,0.0,7,44,21,1,0,1,2,0,7,3
Alán Bautista,MEX,"MF,FW",20,Pachuca,Liga MX,8.5,367,3,40,159,176,27,367,24,13,54.2,11,45.8,217,1373,649,23,21,6,24,16,247,54
Alán Montes,MEX,DF,22,Necaxa,Liga MX,27.9,1430,232,869,534,46,32,1430,18,11,61.1,6,33.3,653,3728,2281,12,5,0,20,6,671,3
Amadou Ba-Sy,FRA,FW,22,Dunkerque,Ligue 2,2.7,90,1,3,42,46,26,90,12,6,50.0,6,50.0,63,478,174,7,3,7,8,5,67,26
Amadou Ciss,SEN,"FW,MF",23,Amiens,Ligue 2,2.6,124,3,20,43,63,8,124,10,4,40.0,6,60.0,94,549,174,5,10,1,9,10,84,24
Amadou Sagna,SEN,"MF,FW",24,Guingamp,Ligue 2,22.6,1064,13,114,341,637,127,1064,115,37,32.2,73,63.5,786,5778,2359,90,49,44,66,45,737,286
Amar Sejdic,USA,MF,26,Atlanta Utd,MLS,11.8,598,11,117,376,109,8,598,5,4,80.0,1,20.0,343,1552,524,4,8,0,15,2,410,12
Amar Ćatić,BIH,DF,24,Wehen,2. Bundesliga,10.2,522,30,183,190,154,13,522,18,10,55.6,8,44.4,245,1800,824,22,20,8,17,8,259,43
Amara Conde,GER,MF,26,Magdeburg,2. Bundesliga,21.7,1287,41,220,740,342,43,1287,53,31,58.5,22,41.5,820,4492,2014,51,36,9,45,21,942,79
Amath,SEN,"MF,FW",27,Valladolid,Segunda Division,6.3,280,3,29,107,146,33,280,28,13,46.4,15,53.6,188,1293,526,24,16,12,25,10,197,50
Amaury Escoto,MEX,"FW,MF",30,FC Juárez,Liga MX,6.0,152,5,12,63,79,26,152,7,1,14.3,5,71.4,77,383,118,3,2,0,19,4,105,16
Amaury Morales,MEX,"MF,FW",17,Cruz Azul,Liga MX,0.6,52,0,4,18,30,3,52,6,1,16.7,5,83.3,28,186,55,2,2,1,8,2,35,11
Ambroise Gboho,FRA,FW,28,US Concarneau,Ligue 2,4.4,151,5,12,77,65,16,151,9,3,33.3,4,44.4,117,781,195,6,5,0,20,11,123,35
Amet Korca,USA,DF,22,FC Dallas,MLS,1.7,65,4,30,33,3,0,65,1,1,100.0,0,0.0,35,92,62,0,0,0,2,0,38,0
Amine Bassi,FRA,"MF,FW",25,Dynamo FC,MLS,22.2,1363,7,134,768,478,48,1357,46,23,50.0,20,43.5,953,4498,2159,40,44,4,29,24,1103,96
Amine Chabane,FRA,DF,16,Amiens,Ligue 2,0.1,10,2,5,3,2,1,10,0,0,0.0,0,0.0,3,11,5,1,0,1,0,0,3,0
Amine Cherni,TUN,"DF,MF",22,Stade Laval,Ligue 2,34.7,2112,109,638,858,647,58,2112,60,26,43.3,28,46.7,1212,8298,3950,113,86,7,49,33,1071,205
Amine El Ouazzani,MAR,FW,22,Guingamp,Ligue 2,33.6,963,22,86,400,495,142,961,73,34,46.6,35,47.9,656,4555,1328,48,36,18,94,52,630,177
Amine Salama,FRA,"FW,MF",23,Caen,Ligue 2,8.2,359,6,36,147,188,27,359,35,14,40.0,20,57.1,286,2566,1128,34,30,14,22,19,275,80
Amney Moutassime,ITA,FW,19,Südtirol,Serie B,0.1,8,0,1,4,3,1,8,0,0,0.0,0,0.0,6,22,4,0,0,0,1,1,6,2
Anaitz Arbilla,ESP,DF,37,Eibar,Segunda Division,39.0,3474,389,1685,1724,91,20,3474,23,13,56.5,8,34.8,2028,11017,5773,31,15,1,15,7,2328,3
Anass Zaroury,MAR,"FW,MF",22,Hull City,EFL,7.7,443,7,53,190,209,31,443,34,13,38.2,17,50.0,257,1599,846,35,22,10,14,6,281,50
Ander Cantero,ESP,GK,29,Racing Ferrol,Segunda Division,42.0,1367,1214,1365,1,1,1,1367,1,0,0.0,1,100.0,742,4117,2488,0,0,0,1,0,515,0
Ander Capa,ESP,DF,32,Levante,Segunda Division,17.0,1146,64,380,557,223,20,1146,21,12,57.1,9,42.9,573,3634,1982,47,37,6,18,7,637,57
Ander Madariaga,ESP,"MF,FW",22,Eibar,Segunda Division,0.6,28,1,11,11,6,0,28,1,0,0.0,0,0.0,10,41,15,0,0,0,4,1,13,0
Ander Martin,ESP,"MF,DF",23,Burgos,Segunda Division,15.7,813,21,143,375,307,25,813,25,9,36.0,14,56.0,438,2189,1175,30,33,4,41,13,553,91
Anderson Arroyo,COL,DF,24,Burgos,Segunda Division,14.9,921,70,302,498,132,7,921,19,15,78.9,3,15.8,431,2395,992,13,15,1,18,5,483,19
Anderson Arroyo,COL,DF,24,FC Andorra,Segunda Division,4.7,594,40,221,353,23,1,594,7,4,57.1,3,42.9,331,1553,866,5,1,0,7,2,427,2
Anderson Julio,ECU,FW,26,RSL,MLS,12.8,318,12,28,108,188,73,318,42,18,42.9,20,47.6,195,1578,744,32,14,22,30,16,206,81
Anderson Lucoqui,ANG,DF,26,Hertha BSC,2. Bundesliga,0.5,34,2,7,18,9,0,34,0,0,0.0,0,0.0,17,90,20,1,2,1,2,0,14,2
Anderson Lucoqui,ANG,"DF,FW",26,Braunschweig,2. Bundesliga,4.2,200,9,62,76,64,7,200,8,2,25.0,5,62.5,85,692,441,16,8,2,6,2,97,20
Anderson Santamaría,PER,DF,31,Atlas,Liga MX,16.7,945,139,534,388,32,13,945,6,5,83.3,1,16.7,529,2033,1036,4,8,0,3,2,578,1
Andi Hoti,KVX,DF,20,Magdeburg,2. Bundesliga,8.9,679,61,309,342,28,9,679,1,0,0.0,1,100.0,380,1380,695,3,0,0,3,0,446,8
Andoni Zubiaurre,ESP,GK,27,Eldense,Segunda Division,10.0,318,255,317,0,1,0,318,0,0,0.0,0,0.0,138,783,558,0,0,0,0,0,96,0
Andre Blake,JAM,GK,32,Philadelphia,MLS,26.4,670,599,670,0,0,0,670,2,1,50.0,0,0.0,347,2156,1362,0,0,0,2,0,207,0
Andre Dozzell,ENG,MF,24,QPR,EFL,21.8,954,37,222,509,227,22,954,12,7,58.3,5,41.7,462,1920,766,10,12,3,21,9,626,40
Andre Dozzell,ENG,MF,24,Birmingham City,EFL,7.0,350,8,83,187,83,5,350,4,1,25.0,3,75.0,179,695,249,0,4,0,4,6,243,7
Andre Shinyashiki,BRA,"MF,FW",27,Charlotte,MLS,2.1,110,0,16,53,44,10,110,8,3,37.5,4,50.0,68,369,142,2,3,1,5,8,76,13
Andrea Barberis,ITA,"MF,FW",29,Pisa,Serie B,5.1,334,10,78,196,62,5,334,7,4,57.1,3,42.9,162,832,419,7,8,1,7,4,221,9
Andrea Bertolacci,ITA,MF,32,Cremonese,Serie B,2.9,146,4,34,70,45,4,146,4,2,50.0,1,25.0,72,328,178,6,3,2,2,0,92,4
Andrea Cagnano,ITA,DF,25,Südtirol,Serie B,15.1,944,74,351,459,140,3,944,13,8,61.5,5,38.5,468,2243,1305,19,15,0,8,2,528,31
Andrea Cisco,ITA,MF,24,Südtirol,Serie B,4.3,169,5,36,62,80,11,169,28,14,50.0,12,42.9,113,1385,766,27,17,7,14,12,118,36
Andrea Cistana,ITA,DF,26,Brescia,Serie B,21.7,1386,162,644,678,82,13,1386,19,14,73.7,3,15.8,890,5835,3411,31,23,0,12,5,917,14
Andrea Conti,ITA,DF,29,Sampdoria,Serie B,0.0,2,0,0,0,2,0,2,0,0,0.0,0,0.0,1,1,0,0,0,0,0,1,2,0
Andrea Danzi,ITA,MF,24,Cittadella,Serie B,5.4,300,12,66,187,54,0,300,1,0,0.0,1,100.0,124,510,237,3,2,0,14,1,129,5
Andrea Favilli,ITA,FW,26,Ternana,Serie B,11.3,405,18,40,197,170,42,405,22,5,22.7,16,72.7,249,956,319,11,10,4,44,25,312,84
Andrea Fulignati,ITA,GK,28,Catanzaro,Serie B,37.0,2053,1527,2024,29,1,0,2053,0,0,0.0,0,0.0,1333,6036,3442,1,0,0,1,0,1409,0
Andrea Ghion,ITA,MF,23,Catanzaro,Serie B,17.6,1261,48,301,759,215,8,1261,34,15,44.1,12,35.3,836,3927,1843,28,33,2,32,21,997,34
Andrea Giorgini,ITA,DF,21,Südtirol,Serie B,29.4,1885,149,754,915,232,14,1885,9,3,33.3,6,66.7,803,2551,1031,11,10,0,18,4,1065,19
Andrea La Mantia,ITA,FW,32,FeralpiSalò,Serie B,21.3,685,31,55,324,310,94,682,5,2,40.0,3,60.0,321,1073,272,8,10,2,36,19,568,87
Andrea Magrassi,ITA,FW,30,Cittadella,Serie B,13.0,372,12,36,154,185,59,372,17,4,23.5,9,52.9,160,781,234,10,3,6,35,13,253,71
Andrea Masiello,ITA,DF,37,Südtirol,Serie B,33.5,2090,256,1062,970,74,20,2090,8,7,87.5,1,12.5,1044,4332,2277,16,9,3,10,0,1337,11
Andrea Meroni,ITA,DF,26,Cosenza,Serie B,22.2,1378,193,641,701,43,22,1378,5,3,60.0,2,40.0,712,3468,2049,20,7,1,10,2,799,9
Andrea Oliveri,ITA,"DF,MF",20,Catanzaro,Serie B,8.7,493,17,137,199,160,10,493,23,5,21.7,14,60.9,281,1435,613,10,11,1,22,10,319,50
Andrea Papetti,ITA,DF,21,Brescia,Serie B,28.3,1643,176,803,755,97,16,1643,14,5,35.7,8,57.1,885,4861,2540,28,11,2,22,10,936,22
Andrea Rispoli,ITA,DF,34,Cosenza,Serie B,7.6,432,20,104,190,143,12,432,8,4,50.0,4,50.0,201,1449,723,28,16,4,7,4,240,48
Andrea Sala,ITA,GK,29,Catanzaro,Serie B,1.0,55,46,55,0,0,0,55,0,0,0.0,0,0.0,31,116,68,0,0,0,0,0,36,0
Andrea Seculin,ITA,GK,33,Modena,Serie B,16.5,615,402,606,10,0,0,615,0,0,0.0,0,0.0,355,2436,1515,0,0,0,0,0,352,0
Andrea Tessiore,ITA,"MF,DF",23,Cittadella,Serie B,12.5,495,6,70,186,246,21,495,31,10,32.3,20,64.5,263,1478,592,19,19,4,26,11,291,64
Andreas Albers,DEN,"FW,MF",33,St. Pauli,2. Bundesliga,4.8,165,8,10,69,87,28,165,5,3,60.0,2,40.0,87,330,103,3,4,4,14,9,136,33
Andreas Bouchalakis,GRE,MF,30,Hertha BSC,2. Bundesliga,16.3,972,35,275,598,110,14,972,10,8,80.0,2,20.0,453,2212,974,6,9,0,15,10,644,7
Andreas Bruus,DEN,"MF,FW",24,Troyes,Ligue 2,4.8,148,5,34,57,59,9,148,4,4,100.0,0,0.0,111,755,288,10,6,2,6,3,104,33
Andreas Hountondji,BEN,FW,21,Rodez Aveyron,Ligue 2,25.0,617,8,22,209,394,141,617,65,24,36.9,37,56.9,463,3604,1443,76,29,39,69,24,450,174
Andreas Jungdal,DEN,GK,21,Cremonese,Serie B,18.0,655,540,654,1,0,0,655,0,0,0.0,0,0.0,399,1974,1283,0,0,0,1,0,346,0
Andreas Linde,SWE,GK,30,Greuther Fürth,2. Bundesliga,1.0,50,40,49,1,0,0,50,0,0,0.0,0,0.0,28,93,60,0,0,0,0,0,25,0
Andreas Luthe,GER,GK,36,Kaiserslautern,2. Bundesliga,1.4,88,48,86,3,0,0,88,0,0,0.0,0,0.0,64,214,122,0,0,0,0,0,61,0
Andreas Maxsø,DEN,DF,28,Rapids,MLS,32.5,1668,273,1013,594,65,43,1668,1,0,0.0,1,100.0,909,3790,1834,1,0,0,6,3,1136,5
Andreas Voglsammer,GER,"DF,FW",31,Millwall,EFL,0.5,22,2,5,8,9,1,22,0,0,0.0,0,0.0,11,35,6,1,0,0,0,0,15,3
Andreas Voglsammer,GER,"FW,MF",31,Hannover 96,2. Bundesliga,16.0,560,16,66,218,279,68,560,15,6,40.0,9,60.0,288,1196,426,19,9,9,26,20,387,99
Andreas Weimann,AUT,"FW,MF",31,Bristol City,EFL,9.1,262,9,44,125,97,22,262,6,2,33.3,4,66.7,135,733,305,11,9,5,15,5,166,40
Andreas Weimann,AUT,"FW,MF",31,West Brom,EFL,4.6,122,8,14,58,52,18,122,7,3,42.9,4,57.1,66,316,144,3,3,2,8,3,87,12
Andres Jasson,USA,FW,21,NYCFC,MLS,9.0,371,6,43,148,183,42,371,44,9,20.5,24,54.5,244,1522,709,31,14,13,28,18,254,79
Andres Montaño,MEX,MF,21,Mazatlán,Liga MX,21.2,1188,39,208,675,318,14,1187,52,34,65.4,16,30.8,670,3490,2055,41,47,3,27,18,792,50
Andreu Fontàs,ESP,DF,33,Sporting KC,MLS,26.6,2183,209,1041,1059,92,20,2183,7,6,85.7,1,14.3,1378,6499,4413,14,11,0,9,6,1651,1
Andrew Brody,USA,DF,27,RSL,MLS,25.2,1552,95,438,716,420,23,1552,47,31,66.0,12,25.5,843,5577,3272,82,54,7,24,7,968,133
Andrew Farrell,USA,DF,30,NE Revolution,MLS,21.5,1191,151,604,550,44,4,1191,10,6,60.0,4,40.0,682,3160,1707,7,5,0,6,4,744,10
Andrew Gutman,USA,DF,26,Rapids,MLS,11.2,582,53,213,217,163,25,582,36,19,52.8,16,44.4,298,1724,1042,27,19,7,16,4,290,41
Andrew Gutman,USA,DF,26,Atlanta Utd,MLS,15.4,1047,56,318,511,229,35,1047,39,17,43.6,21,53.8,556,2609,1572,27,23,7,18,7,637,64
Andrew Hughes,WAL,DF,31,Preston,EFL,34.9,2297,145,834,1181,298,26,2297,19,5,26.3,8,42.1,1076,4812,2731,40,31,3,25,7,1253,48
