player,nationality,position,age,club,league,minutes_90s,goals,shots,SOTs,SOTs_pct,shots_per90,SOT_per90,goals_per_shot,goals_per_SOT,avg_shot_dist,shots_fk,pens_scored,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Ridgeciano Haps,SUR,DF,30,Genoa,Serie A,8.6,0,4,0,0.0,0.47,0.0,0.0,0.0,18.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Vitinha,POR,"FW,MF",24,Genoa,Serie A,3.2,2,14,5,35.7,4.42,1.58,0.14,0.4,14.4,0,0,0,1.1,1.1,0.08,0.9,0.9
Nicola Leali,ITA,GK,31,Genoa,Serie A,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
George Pușcaș,ROU,FW,28,Genoa,Serie A,2.1,0,11,5,45.5,5.18,2.36,0.0,0.0,12.9,0,0,0,2.1,2.1,0.19,-2.1,-2.1
Silvan Hefti,SUI,"MF,DF",26,Genoa,Serie A,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Giorgio Cittadini,ITA,DF,22,Genoa,Serie A,1.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Alan Matturro,URU,DF,19,Genoa,Serie A,1.2,0,1,0,0.0,0.85,0.0,0.0,0.0,7.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Davide Biraschi,ITA,DF,29,Genoa,Serie A,1.0,1,1,1,100.0,1.0,1.0,1.0,1.0,9.6,0,0,0,0.1,0.1,0.1,0.9,0.9
Berkan Kutlu,TUR,MF,26,Genoa,Serie A,2.2,0,4,1,25.0,1.81,0.45,0.0,0.0,16.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
David Akpan Ankeye,NGA,FW,22,Genoa,Serie A,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Emil Bohinen,NOR,MF,25,Genoa,Serie A,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Seydou Fini,ITA,"DF,FW",17,Genoa,Serie A,0.4,0,2,0,0.0,5.14,0.0,0.0,0.0,18.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Filip Jagiełło,POL,MF,26,Genoa,Serie A,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Pablo Galdames Millán,CHI,"MF,DF",27,Genoa,Serie A,0.1,0,1,1,100.0,8.18,8.18,0.0,0.0,14.1,0,0,0,0.0,0.0,0.03,0.0,0.0
Daniele Sommariva,ITA,GK,26,Genoa,Serie A,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Christos Papadopoulos,GRE,FW,19,Genoa,Serie A,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Matteo Pessina,ITA,MF,27,Monza,Serie A,35.8,6,22,8,36.4,0.61,0.22,0.09,0.25,20.2,0,4,5,6.3,2.4,0.11,-0.3,-0.4
Andrea Colpani,ITA,"MF,FW",25,Monza,Serie A,29.5,8,65,19,29.2,2.2,0.64,0.12,0.42,19.9,9,0,0,4.8,4.8,0.07,3.2,3.2
Michele Di Gregorio,ITA,GK,26,Monza,Serie A,31.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Pablo Marí,ESP,DF,30,Monza,Serie A,29.1,0,8,1,12.5,0.28,0.03,0.0,0.0,13.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Roberto Gagliardini,ITA,"MF,DF",30,Monza,Serie A,26.2,1,36,9,25.0,1.37,0.34,0.03,0.11,17.8,1,0,0,2.9,2.9,0.08,-1.9,-1.9
Dany Mota,POR,"FW,MF",26,Monza,Serie A,22.8,4,38,11,28.9,1.67,0.48,0.11,0.36,14.4,0,0,0,3.6,3.6,0.09,0.4,0.4
Luca Caldirola,ITA,DF,33,Monza,Serie A,23.8,1,9,2,22.2,0.38,0.08,0.11,0.5,10.8,0,0,0,0.5,0.5,0.05,0.5,0.5
Samuele Birindelli,ITA,DF,24,Monza,Serie A,22.4,0,25,9,36.0,1.12,0.4,0.0,0.0,18.1,0,0,0,1.1,1.1,0.04,-1.1,-1.1
Giorgos Kyriakopoulos,GRE,DF,28,Monza,Serie A,19.0,0,24,2,8.3,1.26,0.11,0.0,0.0,20.8,1,0,0,1.2,1.2,0.05,-1.2,-1.2
Armando Izzo,ITA,DF,32,Monza,Serie A,18.3,0,5,3,60.0,0.27,0.16,0.0,0.0,12.1,0,0,0,0.7,0.7,0.14,-0.7,-0.7
Patrick Ciurria,ITA,"DF,MF",29,Monza,Serie A,17.8,0,28,7,25.0,1.58,0.39,0.0,0.0,22.6,0,0,0,1.5,1.5,0.05,-1.5,-1.5
Danilo D'Ambrosio,ITA,DF,35,Monza,Serie A,17.1,0,14,4,28.6,0.82,0.23,0.0,0.0,15.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Andrea Carboni,ITA,DF,23,Monza,Serie A,16.5,1,18,4,22.2,1.09,0.24,0.06,0.25,15.4,0,0,0,1.2,1.2,0.07,-0.2,-0.2
Lorenzo Colombo,ITA,FW,22,Monza,Serie A,15.1,4,37,10,27.0,2.45,0.66,0.11,0.4,17.2,0,0,0,3.6,3.6,0.1,0.4,0.4
Warren Bondo,FRA,MF,20,Monza,Serie A,16.4,1,17,4,23.5,1.04,0.24,0.06,0.25,20.8,0,0,0,0.9,0.9,0.06,0.1,0.1
Milan Đurić,BIH,FW,34,Monza,Serie A,14.0,4,26,6,23.1,1.86,0.43,0.15,0.67,10.7,0,0,0,3.0,3.0,0.11,1.0,1.0
Valentin Carboni,ARG,"MF,FW",19,Monza,Serie A,13.0,2,23,7,30.4,1.77,0.54,0.09,0.29,18.3,0,0,0,2.3,2.3,0.1,-0.3,-0.3
Pedro Pereira,POR,DF,26,Monza,Serie A,9.3,0,3,0,0.0,0.32,0.0,0.0,0.0,14.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Jean-Daniel Akpa-Akpro,CIV,MF,31,Monza,Serie A,7.8,0,7,3,42.9,0.89,0.38,0.0,0.0,26.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5
Alessio Zerbin,ITA,"DF,FW",25,Monza,Serie A,7.6,0,6,2,33.3,0.79,0.26,0.0,0.0,20.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Alessandro Sorrentino,ITA,GK,22,Monza,Serie A,6.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gianluca Caprari,ITA,"MF,FW",30,Monza,Serie A,3.2,0,8,0,0.0,2.53,0.0,0.0,0.0,19.6,1,0,0,0.7,0.7,0.09,-0.7,-0.7
Samuele Vignato,ITA,"MF,FW",20,Monza,Serie A,3.8,1,7,4,57.1,1.84,1.05,0.14,0.25,15.1,0,0,0,1.7,1.7,0.24,-0.7,-0.7
Daniel Maldini,ITA,"MF,FW",22,Monza,Serie A,3.7,4,12,5,41.7,3.24,1.35,0.33,0.8,20.0,1,0,0,1.3,1.3,0.11,2.7,2.7
Pepín,EQG,"MF,FW",27,Monza,Serie A,2.7,0,5,0,0.0,1.87,0.0,0.0,0.0,26.2,2,0,0,0.2,0.2,0.03,-0.2,-0.2
Mirko Marić,CRO,FW,29,Monza,Serie A,3.2,1,7,2,28.6,2.2,0.63,0.14,0.5,10.4,0,0,0,0.9,0.9,0.12,0.1,0.1
Papu Gómez,ARG,"MF,FW",36,Monza,Serie A,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Giulio Donati,ITA,DF,34,Monza,Serie A,0.4,0,1,1,100.0,2.5,2.5,0.0,0.0,27.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Giorgio Cittadini,ITA,DF,22,Monza,Serie A,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Andrea Ferraris,ITA,MF,21,Monza,Serie A,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Davide Bettella,ITA,MF,24,Monza,Serie A,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lorenzo Montipò,ITA,GK,28,Hellas Verona,Serie A,37.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Michael Folorunsho,ITA,"MF,FW",26,Hellas Verona,Serie A,30.9,5,47,14,29.8,1.52,0.45,0.11,0.36,19.8,0,0,0,4.0,3.9,0.08,1.0,1.1
Ondrej Duda,SVK,MF,29,Hellas Verona,Serie A,27.3,1,23,6,26.1,0.84,0.22,0.04,0.17,23.5,3,0,1,2.2,1.4,0.06,-1.2,-0.4
Giangiacomo Magnani,ITA,DF,28,Hellas Verona,Serie A,27.2,0,11,2,18.2,0.41,0.07,0.0,0.0,13.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Paweł Dawidowicz,POL,DF,29,Hellas Verona,Serie A,23.8,0,9,1,11.1,0.38,0.04,0.0,0.0,11.5,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Tomáš Suslov,SVK,"MF,FW",21,Hellas Verona,Serie A,23.2,3,51,15,29.4,2.19,0.65,0.04,0.13,25.8,4,1,1,3.5,2.6,0.05,-0.5,-0.6
Darko Lazović,SRB,"FW,MF",33,Hellas Verona,Serie A,21.4,3,33,13,39.4,1.54,0.61,0.06,0.15,20.7,2,1,1,2.8,2.0,0.06,0.2,0.0
